x,u_exact,u_approx
0.0,1.0,1.0000936
0.01,1.00792,1.0081284764581915
0.02,1.01583,1.01595634987609
0.03,1.02335,1.0235740892086982
0.04,1.03084,1.0309786474618523
0.05,1.03794,1.0381670629109765
0.06,1.045,1.0451364602857358
0.07,1.05167,1.0518840519201043
0.08,1.05828,1.0584071388673948
0.09,1.06451,1.0647031119798018
0.1,1.07066,1.0707694529520255
0.11,1.07644,1.0766037353285607
0.12,1.08213,1.0822036254742458
0.13,1.08745,1.0875668835076868
0.14,1.09266,1.0926913641971798
0.15,1.09751,1.0975750178187742
0.16,1.10222,1.102215890976136
0.17,1.1066,1.1066121273818796
0.18,1.11081,1.1107619686000587
0.19,1.11471,1.1146637547495162
0.2,1.11841,1.1183159251678156
0.21,1.12182,1.1217170190354846
0.22,1.12501,1.124865675960323
0.23,1.12791,1.1277606365215431
0.24,1.13058,1.130400742773519
0.25,1.13298,1.1327849387089506
0.26,1.13512,1.134912270681253
0.27,1.13702,1.1367818877860012
0.28,1.13863,1.1383930422012811
0.29,1.14001,1.1397450894868084
0.3,1.14109,1.1408374888416961
0.31,1.14196,1.1416698033207673
0.32,1.1425,1.1422417000093277
0.33,1.14285,1.1425529501563267
0.34,1.14285,1.1426034292658562
0.35,1.14269,1.142393117146945
0.36,1.14216,1.1419220979216365
0.37,1.14148,1.1411905599913408
0.38,1.14041,1.1401987959614763
0.39,1.13922,1.1389472025244314
0.4,1.13761,1.1374362803008935
0.41,1.13591,1.1356666336396066
0.42,1.13377,1.13363897037564
0.43,1.13156,1.1313541015472643
0.44,1.12889,1.1288129410715464
0.45,1.12617,1.126016505378795
0.46,1.12299,1.1229659130060017
0.47,1.11977,1.1196623841494415
0.48,1.11607,1.1161072401766108
0.49,1.11236,1.112301903097697
0.5,1.10815,1.1082478949967953
0.51,1.10394,1.1039468374230927
0.52,1.09924,1.0994004507422723
0.53,1.09453,1.0946105534483885
0.54,1.08936,1.0895790614364946
0.55,1.08416,1.0843079872363097
0.56,1.07853,1.0787994392072338
0.57,1.07285,1.0730556206950321
0.58,1.06677,1.0670788291505264
0.59,1.06062,1.0608714552106449
0.6,1.05409,1.0544359817421998
0.61,1.04748,1.047774982848773
0.62,1.04053,1.0408911228411102
0.63,1.03347,1.0337871551714304
0.64,1.0261,1.0264659213320835
0.65,1.0186,1.01893034971899
0.66,1.01082,1.0111834544603222
0.67,1.00291,1.0032283342108932
0.68,0.99473,0.9950681709127355
0.69,0.986409,0.9867062285223679
0.7,0.977847,0.9781458517052554
0.71,0.969132,0.969390464497988
0.72,0.960199,0.9604435689387117
0.73,0.951103,0.9513087436663599
0.74,0.941813,0.9419896424892453
0.75,0.932351,0.932489992923586
0.76,0.922716,0.9228135947025479
0.77,0.912901,0.9129643182564022
0.78,0.902935,0.9029461031644058
0.79,0.892783,0.8927629565790209
0.8,0.882499,0.8824189516231082
0.81,0.872023,0.8719182257607319
0.82,0.861435,0.8612649791422291
0.83,0.85065,0.8504634729242055
0.84,0.83977,0.8395180275651307
0.85,0.828691,0.8284330210972106
0.86,0.817532,0.8172128873752345
0.87,0.806172,0.8058621143030911
0.88,0.794748,0.7943852420386679
0.89,0.783122,0.7827868611778478
0.9,0.771445,0.7710716109183318
0.91,0.759567,0.7592441772040227
0.92,0.74765,0.7473092908507092
0.93,0.735533,0.7352717256538028
0.94,0.723388,0.7231362964788837
0.95,0.711045,0.7109078573358181
0.96,0.698685,0.6985912994372196
0.97,0.686129,0.6861915492420293
0.98,0.673566,0.6737135664849971
0.99,0.66081,0.6611623421928552
1.0,0.648054,0.6485428966879729
