x,u_exact,u_approx
0.0,0.5,0.49999999999999994
0.01,0.503471,0.5034586406393653
0.02,0.506942,0.506892600709651
0.03,0.510364,0.5103019373460693
0.04,0.513783,0.5136867075504179
0.05,0.517156,0.5170469681925415
0.06,0.520525,0.5203827760107149
0.07,0.523849,0.5236941876122403
0.08,0.527167,0.5269812594729079
0.09,0.530442,0.5302440479374648
0.1,0.533709,0.5334826092199986
0.11,0.536936,0.5366969994044241
0.12,0.540152,0.5398872744457136
0.13,0.54333,0.5430534901692649
0.14,0.546496,0.5461957022714756
0.15,0.549625,0.5493139663199665
0.16,0.55274,0.5524083377526681
0.17,0.555821,0.5554788718793097
0.18,0.558886,0.5585256238814863
0.19,0.561919,0.561548648813491
0.2,0.564933,0.5645480016022347
0.21,0.567918,0.5675237370474492
0.22,0.570882,0.5704759098219205
0.23,0.573819,0.5734045744717702
0.24,0.576733,0.5763097854169167
0.25,0.579622,0.5791915969512996
0.26,0.582486,0.5820500632431819
0.27,0.585327,0.5848852383354298
0.28,0.588142,0.5876971761458065
0.29,0.590936,0.590485930467245
0.3,0.593701,0.5932515549681576
0.31,0.596448,0.5959941031927252
0.32,0.599164,0.5987136285611651
0.33,0.601863,0.6014101843700316
0.34,0.604531,0.6040838237925094
0.35,0.607183,0.6067345998786714
0.36,0.609802,0.6093625655557736
0.37,0.612408,0.6119677736285711
0.38,0.614978,0.6145502767795882
0.39,0.617537,0.6171101275694035
0.4,0.620059,0.619647378436935
0.41,0.622573,0.6221620816997099
0.42,0.625047,0.6246542895540668
0.43,0.627514,0.6271240540755448
0.44,0.62994,0.6295714272191387
0.45,0.632361,0.6319964608195634
0.46,0.63474,0.6343992065915307
0.47,0.637116,0.6367797161300229
0.48,0.639448,0.6391380409106195
0.49,0.641778,0.6414742322897712
0.5,0.644063,0.6437883415050001
0.51,0.646348,0.6460804196752126
0.52,0.648587,0.6483505178009727
0.53,0.650825,0.6505986867647743
0.54,0.65302,0.6528249773313185
0.55,0.655211,0.6550294401478333
0.56,0.657362,0.6572121257442834
0.57,0.659507,0.659373084533652
0.58,0.661613,0.6615123668122184
0.59,0.663713,0.6636300227598289
0.6,0.665776,0.6657261024401652
0.61,0.66783,0.6678006558010171
0.62,0.669849,0.66985373267455
0.63,0.671858,0.6718853827775687
0.64,0.673834,0.6738956557117861
0.65,0.675799,0.6758846009640902
0.66,0.677732,0.6778522679068084
0.67,0.679651,0.6797987057979747
0.68,0.681541,0.6817239637815963
0.69,0.683416,0.6836280908879132
0.7,0.685264,0.6855111360336636
0.71,0.687095,0.6873731480223453
0.72,0.688901,0.6892141755444791
0.73,0.690688,0.6910342671778692
0.74,0.692452,0.6928334713878664
0.75,0.694196,0.6946118365276286
0.76,0.695918,0.6963694108383777
0.77,0.697619,0.698106242449659
0.78,0.6993,0.6998223793796013
0.79,0.700957,0.7015178695351736
0.8,0.702597,0.7031927607124431
0.81,0.704212,0.7048471005968392
0.82,0.705811,0.7064809367633988
0.83,0.707383,0.7080943166770237
0.84,0.708941,0.709687287692736
0.85,0.710471,0.7112598970559341
0.86,0.71199,0.7128121919026448
0.87,0.713478,0.7143442192597772
0.88,0.714956,0.7158560260453748
0.89,0.716402,0.717347659068867
0.9,0.71784,0.7188191650313207
0.91,0.719246,0.7202705905256913
0.92,0.720644,0.7217019820370713
0.93,0.722008,0.7231133859429422
0.94,0.723367,0.7245048485134415
0.95,0.72469,0.725876415911591
0.96,0.72601,0.7272281341935466
0.97,0.727293,0.7285600493088495
0.98,0.728574,0.7298722071006752
0.99,0.729816,0.7311646533060799
1.0,0.731059,0.7324374335562465
