x,u_exact,u_approx
0.0,0.5,0.4999678977135431
0.01,0.5025,0.5024745639249557
0.02,0.505,0.5049805208622323
0.03,0.507499,0.5074856661128653
0.04,0.509999,0.5099898972975181
0.05,0.512497,0.5124931120742106
0.06,0.514996,0.5149952081425002
0.07,0.517493,0.5174960832476638
0.08,0.519989,0.5199956351848759
0.09,0.522485,0.5224937618033856
0.1,0.524979,0.5249903610106917
0.11,0.527472,0.5274853307767144
0.12,0.529964,0.5299785691379655
0.13,0.532454,0.5324699742017149
0.14,0.534943,0.5349594441501556
0.15,0.53743,0.5374468772445634
0.16,0.539915,0.5399321718294562
0.17,0.542398,0.5424152263367471
0.18,0.544879,0.5448959392898963
0.19,0.547358,0.5473742093080576
0.2,0.549834,0.5498499351102216
0.21,0.552308,0.5523230155193553
0.22,0.554779,0.5547933494665361
0.23,0.557248,0.5572608359950835
0.24,0.559714,0.5597253742646836
0.25,0.562177,0.5621868635555112
0.26,0.564636,0.5646452032723454
0.27,0.567093,0.567100292948681
0.28,0.569546,0.5695520322508344
0.29,0.571996,0.5720003209820437
0.3,0.574443,0.5744450590865633
0.31,0.576885,0.576886146653754
0.32,0.579324,0.5793234839221648
0.33,0.581759,0.5817569712836107
0.34,0.584191,0.5841865092872432
0.35,0.586618,0.5866119986436149
0.36,0.58904,0.5890333402287367
0.37,0.591459,0.5914504350881291
0.38,0.593873,0.5938631844408665
0.39,0.596283,0.5962714896836133
0.4,0.598688,0.5986752523946547
0.41,0.601088,0.601074374337918
0.42,0.603483,0.6034687574669878
0.43,0.605874,0.6058583039291127
0.44,0.608259,0.6082429160692044
0.45,0.610639,0.6106224964338287
0.46,0.613014,0.6129969477751882
0.47,0.615384,0.6153661730550962
0.48,0.617748,0.617730075448943
0.49,0.620106,0.6200885583496523
0.5,0.622459,0.62244152537163
0.51,0.624806,0.6247888803547026
0.52,0.627148,0.6271305273680474
0.53,0.629483,0.6294663707141129
0.54,0.631812,0.6317963149325295
0.55,0.634136,0.6341202648040112
0.56,0.636453,0.6364381253542464
0.57,0.638763,0.63874980185778
0.58,0.641067,0.6410551998418839
0.59,0.643365,0.6433542250904181
0.6,0.645656,0.6456467836476816
0.61,0.647941,0.6479327818222513
0.62,0.650219,0.6502121261908116
0.63,0.652489,0.652484723601972
0.64,0.654753,0.6547504811800741
0.65,0.65701,0.6570093063289874
0.66,0.65926,0.6592611067358931
0.67,0.661503,0.6615057903750571
0.68,0.663739,0.6637432655115907
0.69,0.665967,0.6659734407051994
0.7,0.668188,0.6681962248139203
0.71,0.670401,0.6704115269978463
0.72,0.672607,0.672619256722839
0.73,0.674805,0.6748193237642282
0.74,0.676996,0.6770116382104996
0.75,0.679179,0.6791961104669689
0.76,0.681354,0.6813726512594437
0.77,0.683521,0.6835411716378713
0.78,0.68568,0.6857015829799747
0.79,0.687831,0.6878537969948737
0.8,0.689974,0.6899977257266933
0.81,0.69211,0.6921332815581587
0.82,0.694236,0.6942603772141751
0.83,0.696355,0.6963789257653956
0.84,0.698465,0.6984888406317729
0.85,0.700567,0.7005900355860977
0.86,0.702661,0.7026824247575232
0.87,0.704746,0.7047659226350734
0.88,0.706822,0.7068404440711391
0.89,0.70889,0.7089059042849566
0.9,0.71095,0.7109622188660727
0.91,0.713,0.7130093037777947
0.92,0.715042,0.7150470753606245
0.93,0.717075,0.7170754503356775
0.94,0.7191,0.7190943458080864
0.95,0.721115,0.7211036792703883
0.96,0.723122,0.7231033686058975
0.97,0.725119,0.7250933320920603
0.98,0.727108,0.7270734884037956
0.99,0.729088,0.7290437566168182
1.0,0.731059,0.7310040562109459
