x,u_exact,u_approx
0.0,0.5,0.4987062108191023
0.01,0.503471,0.5019390711081528
0.02,0.506942,0.5051680809404645
0.03,0.510364,0.5083927142697361
0.04,0.513783,0.51161244212518
0.05,0.517156,0.5148267329208777
0.06,0.520525,0.5180350527726955
0.07,0.523849,0.5212368658224382
0.08,0.527167,0.5244316345688987
0.09,0.530442,0.5276188202054374
0.1,0.533709,0.5307978829637093
0.11,0.536936,0.5339682824631321
0.12,0.540152,0.5371294780656716
0.13,0.54333,0.5402809292355014
0.14,0.546496,0.5434220959030778
0.15,0.549625,0.5465524388331482
0.16,0.55274,0.5496714199962038
0.17,0.555821,0.552778502942864
0.18,0.558886,0.555873153180673
0.19,0.561919,0.5589548385527703
0.2,0.564933,0.5620230296178915
0.21,0.567918,0.5650772000311407
0.22,0.570882,0.5681168269249697
0.23,0.573819,0.5711413912897925
0.24,0.576733,0.5741503783536559
0.25,0.579622,0.5771432779603852
0.26,0.582486,0.5801195849456189
0.27,0.585327,0.5830787995101486
0.28,0.588142,0.5860204275899791
0.29,0.590936,0.5889439812225241
0.3,0.593701,0.5918489789083637
0.31,0.596448,0.5947349459679876
0.32,0.599164,0.5976014148929608
0.33,0.601863,0.6004479256909573
0.34,0.604531,0.6032740262241146
0.35,0.607183,0.6060792725401795
0.36,0.609802,0.6088632291959238
0.37,0.612408,0.611625469572332
0.38,0.614978,0.614365576181069
0.39,0.617537,0.617083140961768
0.4,0.620059,0.6197777655696848
0.41,0.622573,0.6224490616532974
0.42,0.625047,0.6250966511214451
0.43,0.627514,0.6277201663996268
0.44,0.62994,0.6303192506751039
0.45,0.632361,0.6328935581304775
0.46,0.63474,0.6354427541654357
0.47,0.637116,0.6379665156063938
0.48,0.639448,0.6404645309037801
0.49,0.641778,0.6429365003167441
0.5,0.644063,0.6453821360850955
0.51,0.646348,0.6478011625883121
0.52,0.648587,0.6501933164914768
0.53,0.650825,0.6525583468780448
0.54,0.65302,0.6548960153693583
0.55,0.655211,0.6572060962308635
0.56,0.657362,0.6594883764650087
0.57,0.659507,0.6617426558908329
0.58,0.661613,0.6639687472102792
0.59,0.663713,0.6661664760612953
0.6,0.665776,0.6683356810578097
0.61,0.66783,0.6704762138166981
0.62,0.669849,0.6725879389718745
0.63,0.671858,0.6746707341756716
0.64,0.673834,0.6767244900876903
0.65,0.675799,0.6787491103513258
0.66,0.677732,0.6807445115581894
0.67,0.679651,0.6827106232006731
0.68,0.681541,0.6846473876129135
0.69,0.683416,0.6865547599004302
0.7,0.685264,0.6884327078587302
0.71,0.687095,0.6902812118811791
0.72,0.688901,0.6921002648564546
0.73,0.690688,0.6938898720559057
0.74,0.692452,0.6956500510111515
0.75,0.694196,0.6973808313822596
0.76,0.695918,0.6990822548168502
0.77,0.697619,0.7007543748004775
0.78,0.6993,0.7023972564986429
0.79,0.700957,0.7040109765907928
0.8,0.702597,0.7055956230966627
0.81,0.704212,0.7071512951953198
0.82,0.705811,0.7086781030372602
0.83,0.707383,0.7101761675499125
0.84,0.708941,0.7116456202368955
0.85,0.710471,0.7130866029713737
0.86,0.71199,0.7144992677838484
0.87,0.713478,0.7158837766447166
0.88,0.714956,0.7172403012419213
0.89,0.716402,0.7185690227540129
0.9,0.71784,0.7198701316189274
0.91,0.719246,0.7211438272987859
0.92,0.720644,0.7223903180410042
0.93,0.722008,0.7236098206359979
0.94,0.723367,0.7248025601717547
0.95,0.72469,0.7259687697855391
0.96,0.72601,0.7271086904129851
0.97,0.727293,0.7282225705348208
0.98,0.728574,0.7293106659214628
0.99,0.729816,0.7303732393757082
1.0,0.731059,0.731410560473742
