x,u_exact,u_approx
0.0,0.0,0.0
0.01,0.00873659,0.008736031773064472
0.02,0.0174732,0.017471374679403257
0.03,0.0262063,0.026205142411146774
0.04,0.0349392,0.034936449496664565
0.05,0.0436655,0.04366441183781662
0.06,0.0523912,0.05238814724582745
0.07,0.0611073,0.061106775975205106
0.08,0.0698221,0.06981942125512956
0.09,0.0785248,0.07852520981773908
0.1,0.0872252,0.08722327242274706
0.11,0.0959112,0.09591274437782715
0.12,0.104594,0.1045927660542108
0.13,0.11326,0.11326248339694792
0.14,0.12192,0.12192104842928887
0.15,0.130563,0.13056761975065517
0.16,0.139199,0.13920136302767452
0.17,0.147816,0.14782145147776637
0.18,0.156423,0.15642706634477446
0.19,0.165011,0.16501739736615523
0.2,0.173586,0.17359164323124104
0.21,0.182141,0.18214901203011205
0.22,0.190682,0.1906887216926226
0.23,0.199202,0.19921000041714224
0.24,0.207704,0.2077120870885861
0.25,0.216185,0.2161942316853254
0.26,0.224647,0.22465569567458168
0.27,0.233087,0.23309575239592842
0.28,0.241504,0.24151368743253696
0.29,0.249901,0.24990879896982254
0.3,0.25827,0.25828039814116277
0.31,0.266621,0.26662780936037944
0.32,0.27494,0.2749503706406913
0.33,0.283242,0.28324743389986595
0.34,0.291509,0.2915183652513163
0.35,0.299759,0.29976254528090496
0.36,0.30797,0.307979369309242
0.37,0.316167,0.31616824763927787
0.38,0.324321,0.32432860578901407
0.39,0.332461,0.3324598847091746
0.4,0.340555,0.34056154098569735
0.41,0.348637,0.34863304702692866
0.42,0.356669,0.3566738912354208
0.43,0.364691,0.3646835781642524
0.44,0.372658,0.3726616286578111
0.45,0.380619,0.3806075799769984
0.46,0.38852,0.3885209859088341
0.47,0.396416,0.396401416860458
0.48,0.404249,0.4042484599375442
0.49,0.41208,0.4120617190071632
0.5,0.419843,0.4198408147451452
0.51,0.427606,0.4275853846680148
0.52,0.435299,0.43529508314958687
0.53,0.442991,0.4429695814223292
0.54,0.450614,0.45060856756361467
0.55,0.458233,0.45821174646700624
0.56,0.465786,0.46577883979872553
0.57,0.473331,0.47330958593948247
0.58,0.480811,0.48080373991185044
0.59,0.488281,0.4882610732933899
0.6,0.495689,0.4956813741157381
0.61,0.503083,0.5030644467498947
0.62,0.510418,0.5104101117779489
0.63,0.517735,0.5177182058515034
0.64,0.524995,0.5249885815370661
0.65,0.532235,0.5322211071486893
0.66,0.539421,0.5394156665681518
0.67,0.546583,0.5465721590529821
0.68,0.553694,0.5536904990326421
0.69,0.560778,0.5607706158931882
0.7,0.567813,0.5678124537507456
0.71,0.574819,0.5748159712141329
0.72,0.581779,0.5817811411369869
0.73,0.588706,0.5887079503597413
0.74,0.595591,0.5955963994418206
0.75,0.602439,0.6024465023844169
0.76,0.609249,0.6092582863442219
0.77,0.616019,0.6160317913384926
0.78,0.622754,0.6227670699418308
0.79,0.629446,0.6294641869750635
0.8,0.636106,0.6361232191866104
0.81,0.642721,0.6427442549267325
0.82,0.649307,0.6493273938150524
0.83,0.655845,0.655872746401741
0.84,0.662359,0.662380433822766
0.85,0.66882,0.6688505874496002
0.86,0.675261,0.6752833485337811
0.87,0.681648,0.6816788678467194
0.88,0.688017,0.6880373053151523
0.89,0.694329,0.6943588296526291
0.9,0.700627,0.7006436179874248
0.91,0.706867,0.7068918554872669
0.92,0.713095,0.7131037349812621
0.93,0.719263,0.7192794565794055
0.94,0.725423,0.7254192272900496
0.95,0.731521,0.7315232606357108
0.96,0.737614,0.7375917762675803
0.97,0.743643,0.7436249995791104
0.98,0.74967,0.7496231613190331
0.99,0.755632,0.7555864972041684
1.0,0.761594,0.7615152475323769
