x,u_exact,u_approx
0.0,0.0,0.0
0.01,0.00873659,0.00865291051833482
0.02,0.0174732,0.017305173156380624
0.03,0.0262063,0.025956140082357963
0.04,0.0349392,0.03460516356150286
0.05,0.0436655,0.04325159600456549
0.06,0.0523912,0.05189479001629795
0.07,0.0611073,0.060534098443927487
0.08,0.0698221,0.06916887442561158
0.09,0.0785248,0.07779847143887127
0.1,0.0872252,0.08642224334899903
0.11,0.0959112,0.09503954445743763
0.12,0.104594,0.10364972955012634
0.13,0.11326,0.11225215394581087
0.14,0.12192,0.12084617354431337
0.15,0.130563,0.12943114487475896
0.16,0.139199,0.13800642514375522
0.17,0.147816,0.14657137228352077
0.18,0.156423,0.15512534499995956
0.19,0.165011,0.1636677028206776
0.2,0.173586,0.17219780614293742
0.21,0.182141,0.1807150162815482
0.22,0.190682,0.18921869551668677
0.23,0.199202,0.19770820714164625
0.24,0.207704,0.20618291551050916
0.25,0.216185,0.21464218608574095
0.26,0.224647,0.22308538548570042
0.27,0.233087,0.2315118815320638
0.28,0.241504,0.23992104329715852
0.29,0.249901,0.24831224115120357
0.3,0.25827,0.2566848468094525
0.31,0.266621,0.265038233379236
0.32,0.27494,0.27337177540689944
0.33,0.283242,0.281684848924634
0.34,0.291509,0.2899768314971951
0.35,0.299759,0.2982471022685074
0.36,0.30797,0.3064950420081506
0.37,0.316167,0.3147200331577238
0.38,0.324321,0.3229214598770849
0.39,0.332461,0.33109870809046116
0.4,0.340555,0.3392511655324275
0.41,0.348637,0.3473782217937498
0.42,0.356669,0.3554792683670883
0.43,0.364691,0.36355369869255977
0.44,0.372658,0.37160090820315256
0.45,0.380619,0.3796202943699936
0.46,0.38852,0.3876112567474622
0.47,0.396416,0.39557319701814775
0.48,0.404249,0.40350551903764875
0.49,0.41208,0.41140762887920806
0.5,0.419843,0.4192789348781833
0.51,0.427606,0.427118847676347
0.52,0.435299,0.43492678026601445
0.53,0.442991,0.44270214803399544
0.54,0.450614,0.4504443688053667
0.55,0.458233,0.45815286288706186
0.56,0.465786,0.4658270531112757
0.57,0.473331,0.4734663648786788
0.58,0.480811,0.48107022620144074
0.59,0.488281,0.48863806774605667
0.6,0.495689,0.4961693228759762
0.61,0.503083,0.5036634276940297
0.62,0.510418,0.5111198210846498
0.63,0.517735,0.5185379447558843
0.64,0.524995,0.525917243281198
0.65,0.532235,0.5332571641410602
0.66,0.539421,0.5405571577643133
0.67,0.546583,0.5478166775693223
0.68,0.553694,0.5550351800048996
0.69,0.560778,0.5622121245910026
0.7,0.567813,0.5693469739592023
0.71,0.574819,0.576439193892918
0.72,0.581779,0.5834882533674162
0.73,0.588706,0.5904936245895713
0.74,0.595591,0.5974547830373831
0.75,0.602439,0.6043712074992503
0.76,0.609249,0.6112423801129958
0.77,0.616019,0.6180677864046411
0.78,0.622754,0.6248469153269277
0.79,0.629446,0.6315792592975804
0.8,0.636106,0.6382643142373132
0.81,0.642721,0.6449015796075712
0.82,0.649307,0.6514905584480082
0.83,0.655845,0.6580307574136963
0.84,0.662359,0.6645216868120649
0.85,0.66882,0.6709628606395658
0.86,0.675261,0.6773537966180622
0.87,0.681648,0.6836940162309394
0.88,0.688017,0.6899830447589331
0.89,0.694329,0.6962204113156739
0.9,0.700627,0.702405648882944
0.91,0.706867,0.7085382943456454
0.92,0.713095,0.7146178885264752
0.93,0.719263,0.720643976220306
0.94,0.725423,0.726616106228269
0.95,0.731521,0.7325338313915376
0.96,0.737614,0.7383967086248074
0.97,0.743643,0.7442042989494727
0.98,0.74967,0.7499561675264939
0.99,0.755632,0.7556518836889564
1.0,0.761594,0.7612910209743161
