x,u_exact,u_approx
0.0,1.0,0.9711826841020722
0.01,0.99995,1.088589581977268
0.02,0.9998,1.1474799928870785
0.03,0.99955,1.1596417566924202
0.04,0.9992,1.1377038801356907
0.05,0.998751,1.0937241911394031
0.06,0.998202,1.0382452825664104
0.07,0.997553,0.9797680166172933
0.08,0.996805,0.9245682758169111
0.09,0.995958,0.8767728559187267
0.1,0.995012,0.8386112437811769
0.11,0.993968,0.8107683006039347
0.12,0.992826,0.7927756281320003
0.13,0.991586,0.7833941376071194
0.14,0.990248,0.7809551245390333
0.15,0.988813,0.7836406011712792
0.16,0.987282,0.7896949050915368
0.17,0.985654,0.7975682897905538
0.18,0.983931,0.8059992688210134
0.19,0.982112,0.8140461415006537
0.2,0.980199,0.8210797466602325
0.21,0.978191,0.826749522114774
0.22,0.97609,0.8309338555753651
0.23,0.973897,0.8336839288303384
0.24,0.971611,0.8351681493641401
0.25,0.969233,0.8356221218177989
0.26,0.966765,0.8353071433931586
0.27,0.964206,0.8344785430147125
0.28,0.961558,0.8333638877180853
0.29,0.958822,0.8321501627699389
0.3,0.955997,0.8309784672642663
0.31,0.953086,0.8299445028747707
0.32,0.950089,0.8291031059462618
0.33,0.947006,0.8284752150905602
0.34,0.943839,0.8280559149509398
0.35,0.940588,0.8278224975490053
0.36,0.937255,0.8277417925129287
0.37,0.93384,0.827776305244056
0.38,0.930345,0.8278889476524689
0.39,0.92677,0.828046339298008
0.4,0.923116,0.8282207951457079
0.41,0.919385,0.8283912030794474
0.42,0.915578,0.828543036948995
0.43,0.911695,0.8286677583310563
0.44,0.907738,0.8287618420636617
0.45,0.903707,0.8288256261436375
0.46,0.899605,0.8288621437493476
0.47,0.895431,0.8288760503755431
0.48,0.891188,0.828872717045226
0.49,0.886876,0.8288575243635418
0.5,0.882497,0.8288353634283928
0.51,0.878052,0.8288103287518921
0.52,0.873541,0.8287855750189703
0.53,0.868967,0.828763302680462
0.54,0.864331,0.8287448357980437
0.55,0.859633,0.8287307578143503
0.56,0.854875,0.8287210756802388
0.57,0.850059,0.8287153888565326
0.58,0.845185,0.8287130461682429
0.59,0.840255,0.8287132796183052
0.6,0.83527,0.8287153096016336
0.61,0.830232,0.8287184202240174
0.62,0.825142,0.8287220065846317
0.63,0.820001,0.8287255979065284
0.64,0.81481,0.8287288614895734
0.65,0.809572,0.8287315927650163
0.66,0.804286,0.8287336964583993
0.67,0.798956,0.8287351632156685
0.68,0.793581,0.8287360451832344
0.69,0.788163,0.8287364330983574
0.7,0.782705,0.8287364365664034
0.71,0.777206,0.8287361683971268
0.72,0.771669,0.8287357332589167
0.73,0.766094,0.8287352204196982
0.74,0.760484,0.8287347000453036
0.75,0.75484,0.8287342223490373
0.76,0.749162,0.8287338188317053
0.77,0.743453,0.8287335048826665
0.78,0.737713,0.8287332831014933
0.79,0.731945,0.8287331468218154
0.8,0.726149,0.8287330834528497
0.81,0.720327,0.8287330773840232
0.82,0.71448,0.8287331123135259
0.83,0.70861,0.8287331729552434
0.84,0.702718,0.8287332461498059
0.85,0.696805,0.8287333214522943
0.86,0.690872,0.8287333912969844
0.87,0.684922,0.8287334508479106
0.88,0.678955,0.8287334976416036
0.89,0.672973,0.8287335311161583
0.9,0.666977,0.8287335521034935
0.91,0.660968,0.8287335623424741
0.92,0.654948,0.8287335640516269
0.93,0.648917,0.8287335595835347
0.94,0.642878,0.8287335511677404
0.95,0.636832,0.8287335407422555
0.96,0.630779,0.8287335298600184
0.97,0.624721,0.8287335196591642
0.98,0.61866,0.8287335108800292
0.99,0.612596,0.8287335039139851
1.0,0.606531,0.8287334988700092
