x,u_exact,u_approx
0.0,1.0,0.9990866823896917
0.01,0.99995,0.9986679883226193
0.02,0.9998,0.9981705897065773
0.03,0.99955,0.9975945257413139
0.04,0.9992,0.9969398418261561
0.05,0.998751,0.9962065895564318
0.06,0.998202,0.9953948267194035
0.07,0.997553,0.994504617289714
0.08,0.996805,0.9935360314243448
0.09,0.995958,0.9924891454570872
0.1,0.995012,0.9913640418925262
0.11,0.993968,0.9901608093995384
0.12,0.992826,0.9888795428043039
0.13,0.991586,0.9875203430828334
0.14,0.990248,0.9860833173530104
0.15,0.988813,0.9845685788661487
0.16,0.987282,0.9829762469980678
0.17,0.985654,0.9813064472396845
0.18,0.983931,0.9795593111871234
0.19,0.982112,0.9777349765313452
0.2,0.980199,0.9758335870472962
0.21,0.978191,0.973855292582577
0.22,0.97609,0.9718002490456328
0.23,0.973897,0.9696686183934672
0.24,0.971611,0.9674605686188774
0.25,0.969233,0.9651762737372156
0.26,0.966765,0.9628159137726745
0.27,0.964206,0.9603796747440997
0.28,0.961558,0.9578677486503299
0.29,0.958822,0.9552803334550652
0.3,0.955997,0.9526176330712662
0.31,0.953086,0.9498798573450831
0.32,0.950089,0.947067222039318
0.33,0.947006,0.9441799488164212
0.34,0.943839,0.9412182652210216
0.35,0.940588,0.938182404661994
0.36,0.937255,0.9350726063940646
0.37,0.93384,0.931889115498955
0.38,0.930345,0.9286321828660682
0.39,0.92677,0.925302065172715
0.4,0.923116,0.9218990248638863
0.41,0.919385,0.9184233301315696
0.42,0.915578,0.914875254893613
0.43,0.911695,0.9112550787721377
0.44,0.907738,0.9075630870715014
0.45,0.903707,0.903799570755813
0.46,0.899605,0.8999648264260027
0.47,0.895431,0.8960591562964467
0.48,0.891188,0.8920828681711492
0.49,0.886876,0.8880362754194854
0.5,0.882497,0.8839196969515047
0.51,0.878052,0.8797334571927973
0.52,0.873541,0.8754778860589267
0.53,0.868967,0.8711533189294292
0.54,0.864331,0.8667600966213822
0.55,0.859633,0.8622985653625457
0.56,0.854875,0.8577690767640752
0.57,0.850059,0.853171987792812
0.58,0.845185,0.8485076607431503
0.59,0.840255,0.8437764632084856
0.6,0.83527,0.8389787680522446
0.61,0.830232,0.8341149533784994
0.62,0.825142,0.8291854025021702
0.63,0.820001,0.8241905039188161
0.64,0.81481,0.8191306512740176
0.65,0.809572,0.8140062433323542
0.66,0.804286,0.8088176839459772
0.67,0.798956,0.8035653820227833
0.68,0.793581,0.7982497514941876
0.69,0.788163,0.7928712112825033
0.7,0.782705,0.7874301852679245
0.71,0.777206,0.7819271022551229
0.72,0.771669,0.7763623959394521
0.73,0.766094,0.7707365048727692
0.74,0.760484,0.765049872428872
0.75,0.75484,0.7593029467685577
0.76,0.749162,0.753496180804303
0.77,0.743453,0.7476300321645706
0.78,0.737713,0.7417049631577435
0.79,0.731945,0.7357214407356908
0.8,0.726149,0.7296799364569676
0.81,0.720327,0.7235809264496514
0.82,0.71448,0.7174248913738188
0.83,0.70861,0.7112123163836648
0.84,0.702718,0.7049436910892684
0.85,0.696805,0.6986195095180063
0.86,0.690872,0.692240270075619
0.87,0.684922,0.6858064755069313
0.88,0.678955,0.6793186328562321
0.89,0.672973,0.6727772534273135
0.9,0.666977,0.6661828527431758
0.91,0.660968,0.659535950505399
0.92,0.654948,0.6528370705531858
0.93,0.648917,0.646086740822078
0.94,0.642878,0.6392854933023494
0.95,0.636832,0.6324338639970808
0.96,0.630779,0.6255323928799178
0.97,0.624721,0.6185816238525151
0.98,0.61866,0.6115821047016726
0.99,0.612596,0.6045343870561638
1.0,0.606531,0.5974390263432631
