x,u_exact,u_approx
0.0,1.0,1.0
0.01,0.999983,0.9999828316828683
0.02,0.999933,0.9999323267323731
0.03,0.99985,0.9998484851482147
0.04,0.999733,0.9997313069303928
0.05,0.999583,0.9995807920789074
0.06,0.9994,0.9993969405937588
0.07,0.999183,0.999179752474947
0.08,0.998933,0.9989292277224716
0.09,0.99865,0.9986453663363328
0.1,0.998333,0.9983281683165308
0.11,0.997983,0.9979776336630654
0.12,0.9976,0.9975937623759366
0.13,0.997183,0.9971765544551443
0.14,0.996733,0.9967260099006888
0.15,0.99625,0.9962421287125699
0.16,0.995733,0.9957249108907876
0.17,0.995183,0.9951743564353419
0.18,0.9946,0.994590465346233
0.19,0.993983,0.9939732376234606
0.2,0.993333,0.9933226732670248
0.21,0.99265,0.9926387722769259
0.22,0.991933,0.9919215346531634
0.23,0.991183,0.9911709603957375
0.24,0.9904,0.9903870495046484
0.25,0.989583,0.9895698019798957
0.26,0.988733,0.9887192178214798
0.27,0.98785,0.9878352970294004
0.28,0.986933,0.9869180396036578
0.29,0.985983,0.9859674455442518
0.3,0.985,0.9849835148511824
0.31,0.983983,0.9839662475244496
0.32,0.982933,0.9829156435640537
0.33,0.98185,0.9818317029699941
0.34,0.980733,0.9807144257422713
0.35,0.979583,0.9795638118808851
0.36,0.9784,0.9783798613858354
0.37,0.977183,0.9771625742571226
0.38,0.975933,0.9759119504947461
0.39,0.97465,0.9746279900987066
0.4,0.973333,0.9733106930690034
0.41,0.971983,0.971960059405637
0.42,0.9706,0.9705760891086074
0.43,0.969183,0.9691587821779141
0.44,0.967733,0.9677081386135576
0.45,0.96625,0.9662241584155375
0.46,0.964733,0.9647068415838544
0.47,0.963183,0.9631561881185079
0.48,0.9616,0.9615721980194978
0.49,0.959983,0.9599548712868246
0.5,0.958333,0.9583042079204876
0.51,0.95665,0.9566202079204876
0.52,0.954933,0.9549028712868243
0.53,0.953183,0.9531521980194974
0.54,0.9514,0.9513681881185072
0.55,0.949583,0.9495508415838536
0.56,0.947733,0.9477001584155367
0.57,0.94585,0.9458161386135565
0.58,0.943933,0.9438987821779128
0.59,0.941983,0.9419480891086057
0.6,0.94,0.9399640594056353
0.61,0.937983,0.9379466930690016
0.62,0.935933,0.9358959900987045
0.63,0.93385,0.933811950494744
0.64,0.931733,0.9316945742571201
0.65,0.929583,0.929543861385833
0.66,0.9274,0.9273598118808823
0.67,0.925183,0.9251424257422685
0.68,0.922933,0.9228917029699911
0.69,0.92065,0.9206076435640504
0.7,0.918333,0.9182902475244464
0.71,0.915983,0.915939514851179
0.72,0.9136,0.9135554455442482
0.73,0.911183,0.911138039603654
0.74,0.908733,0.9086872970293965
0.75,0.90625,0.9062032178214756
0.76,0.903733,0.9036858019798913
0.77,0.901183,0.9011350495046437
0.78,0.8986,0.8985509603957328
0.79,0.895983,0.8959335346531585
0.8,0.893333,0.8932827722769208
0.81,0.89065,0.8905986732670196
0.82,0.887933,0.8878812376234552
0.83,0.885183,0.8851304653462274
0.84,0.8824,0.8823463564353362
0.85,0.879583,0.8795289108907817
0.86,0.876733,0.8766781287125638
0.87,0.87385,0.8737940099006825
0.88,0.870933,0.8708765544551378
0.89,0.867983,0.8679257623759298
0.9,0.865,0.8649416336630584
0.91,0.861983,0.8619241683165237
0.92,0.858933,0.8588733663363256
0.93,0.85585,0.8557892277224641
0.94,0.852733,0.8526717524749393
0.95,0.849583,0.849520940593751
0.96,0.8464,0.8463367920788996
0.97,0.843183,0.8431193069303846
0.98,0.839933,0.8398684851482063
0.99,0.83665,0.8365843267323646
1.0,0.833333,0.8332668316828595
