x,u_exact,u_approx
0.0,1.0,0.9895300755203863
0.01,1.00132,1.0346255633844883
0.02,1.00264,1.0619389121881997
0.03,1.00371,1.0760624538988801
0.04,1.00477,1.0805605816036112
0.05,1.00559,1.078184076759254
0.06,1.0064,1.0710415629487822
0.07,1.00698,1.0607364383304634
0.08,1.00753,1.0484760407316387
0.09,1.00788,1.035158503128286
0.1,1.00818,1.0214417064880783
0.11,1.0083,1.0077978856152934
0.12,1.00836,0.994556754253572
0.13,1.00824,0.9819394578015166
0.14,1.00807,0.9700852107891009
0.15,1.00773,0.9590721115970187
0.16,1.00733,0.9489333323960633
0.17,1.00677,0.939669644629335
0.18,1.00614,0.9312590487481271
0.19,1.00536,0.9236641225648542
0.2,1.00451,0.9168375783819953
0.21,1.00353,0.9107264192159075
0.22,1.00246,0.9052750042751582
0.23,1.00128,0.9004272695770683
0.24,1.0,0.8961282981195907
0.25,0.998624,0.8923253928787046
0.26,0.997144,0.8889687730611998
0.27,0.995573,0.8860119878805808
0.28,0.993897,0.8834121213252125
0.29,0.99214,0.8811298448909769
0.3,0.990275,0.879129362199435
0.31,0.988339,0.8773782791267886
0.32,0.986291,0.8758474249733808
0.33,0.984181,0.8745106438613246
0.34,0.981957,0.873344570600265
0.35,0.97968,0.8723284014204054
0.36,0.977287,0.8714436670070503
0.37,0.97485,0.8706740129975731
0.38,0.972294,0.8700049913724587
0.39,0.969703,0.8694238648694409
0.4,0.966992,0.8689194255802324
0.41,0.964253,0.8684818281786928
0.42,0.961394,0.8681024377187191
0.43,0.958515,0.8677736915832327
0.44,0.955514,0.8674889749257723
0.45,0.952501,0.8672425087948105
0.46,0.949367,0.8670292500453701
0.47,0.946225,0.86684480210559
0.48,0.942965,0.8666853356639601
0.49,0.939703,0.8665475183656329
0.5,0.936323,0.8664284526456579
0.51,0.932944,0.8663256208771333
0.52,0.929455,0.8662368370686602
0.53,0.925964,0.8661602044047729
0.54,0.922374,0.8660940779828914
0.55,0.918778,0.8660370321590563
0.56,0.915094,0.8659878319709472
0.57,0.9114,0.8659454081600331
0.58,0.907629,0.8659088353642446
0.59,0.903844,0.865877313098799
0.6,0.899992,0.86585014918463
0.61,0.896124,0.8658267453223331
0.62,0.892196,0.8658065845443108
0.63,0.888252,0.865789220308894
0.64,0.884256,0.8657742670283964
0.65,0.880242,0.8657613918480173
0.66,0.876183,0.8657503075147035
0.67,0.872106,0.865740766195473
0.68,0.867992,0.8657325541210437
0.69,0.863858,0.8657254869473662
0.7,0.859694,0.8657194057406842
0.71,0.855511,0.8657141735037563
0.72,0.851302,0.8657096721715721
0.73,0.847076,0.8657058000141561
0.74,0.842829,0.8657024693920806
0.75,0.838565,0.8656996048174956
0.76,0.834286,0.8656971412796025
0.77,0.829991,0.8656950227989723
0.78,0.825685,0.8656932011797713
0.79,0.821365,0.8656916349331117
0.8,0.817037,0.8656902883482837
0.81,0.812698,0.86568913069175
0.82,0.808354,0.8656881355165214
0.83,0.804001,0.865687280066743
0.84,0.799646,0.8656865447645827
0.85,0.795286,0.8656859127680403
0.86,0.790924,0.8656853695899881
0.87,0.786562,0.865684902770018
0.88,0.782199,0.8656845015917993
0.89,0.777839,0.8656841568396997
0.9,0.773481,0.8656838605892282
0.91,0.769128,0.8656836060266307
0.92,0.764778,0.8656833872936032
0.93,0.760438,0.8656831993536431
0.94,0.7561,0.8656830378770308
0.95,0.751778,0.8656828991418658
0.96,0.747458,0.8656827799489153
0.97,0.743157,0.8656826775483618
0.98,0.738858,0.8656825895767902
0.99,0.734584,0.8656825140029859
1.0,0.73031,0.8656824490813234
