x,u_exact,u_approx
0.0,1.0,0.998552091632731
0.01,1.00132,0.999725172717638
0.02,1.00264,1.0008014638929525
0.03,1.00371,1.0017804295853137
0.04,1.00477,1.002661582248161
0.05,1.00559,1.0034444827195617
0.06,1.0064,1.0041287405450303
0.07,1.00698,1.0047140142649404
0.08,1.00753,1.005200011666181
0.09,1.00788,1.0055864899977431
0.1,1.00818,1.0058732561499757
0.11,1.0083,1.0060601667972853
0.12,1.00836,1.0061471285041093
0.13,1.00824,1.006134097794025
0.14,1.00807,1.0060210811819161
0.15,1.00773,1.0058081351691524
0.16,1.00733,1.0054953662017894
0.17,1.00677,1.0050829305918414
0.18,1.00614,1.0045710344017227
0.19,1.00536,1.0039599332920013
0.2,1.00451,1.0032499323326523
0.21,1.00353,1.0024413857780416
0.22,1.00246,1.0015346968059224
0.23,1.00128,1.0005303172207565
0.24,1.0,0.9994287471217327
0.25,0.998624,0.998230534535886
0.26,0.997144,0.9969362750167633
0.27,0.995573,0.9955466112091313
0.28,0.993897,0.9940622323802527
0.29,0.99214,0.9924838739183002
0.3,0.990275,0.9908123167985198
0.31,0.988339,0.9890483870177837
0.32,0.986291,0.987192954998219
0.33,0.984181,0.9852469349606237
0.34,0.981957,0.9832112842684243
0.35,0.97968,0.981087002742955
0.36,0.977287,0.9788751319508728
0.37,0.97485,0.9765767544645515
0.38,0.972294,0.974192993096326
0.39,0.969703,0.9717250101074857
0.4,0.966992,0.9691740063929392
0.41,0.964253,0.9665412206424987
0.42,0.961394,0.9638279284797515
0.43,0.958515,0.9610354415795096
0.44,0.955514,0.9581651067648451
0.45,0.952501,0.9552183050847359
0.46,0.949367,0.9521964508733639
0.47,0.946225,0.949100990792119
0.48,0.942965,0.9459334028553755
0.49,0.939703,0.9426951954411191
0.5,0.936323,0.9393879062875062
0.51,0.932944,0.9360131014764518
0.52,0.929455,0.9325723744053397
0.53,0.925964,0.9290673447479576
0.54,0.922374,0.9254996574057579
0.55,0.918778,0.921870981450547
0.56,0.915094,0.9181830090597025
0.57,0.9114,0.9144374544450172
0.58,0.907629,0.9106360527762588
0.59,0.903844,0.9067805591005337
0.6,0.899992,0.9028727472585293
0.61,0.896124,0.8989144087987041
0.62,0.892196,0.8949073518904795
0.63,0.888252,0.890853400237479
0.64,0.884256,0.8867543919918404
0.65,0.880242,0.8826121786706176
0.66,0.876183,0.8784286240752668
0.67,0.872106,0.8742056032151936
0.68,0.867992,0.8699450012363226
0.69,0.863858,0.8656487123556242
0.7,0.859694,0.8613186388025166
0.71,0.855511,0.856956689768033
0.72,0.851302,0.8525647803626255
0.73,0.847076,0.8481448305834474
0.74,0.842829,0.8436987642919296
0.75,0.838565,0.8392285082024461
0.76,0.834286,0.8347359908828262
0.77,0.829991,0.830223141767451
0.78,0.825685,0.8256918901836371
0.79,0.821365,0.8211441643919828
0.8,0.817037,0.8165818906413226
0.81,0.812698,0.8120069922389015
0.82,0.808354,0.8074213886363526
0.83,0.804001,0.8028269945320271
0.84,0.799646,0.7982257189901953
0.85,0.795286,0.7936194645776048
0.86,0.790924,0.7890101265178462
0.87,0.786562,0.7843995918639494
0.88,0.782199,0.7797897386895947
0.89,0.777839,0.775182435299295
0.9,0.773481,0.7705795394578676
0.91,0.769128,0.7659828976394862
0.92,0.764778,0.761394344296566
0.93,0.760438,0.7568157011487072
0.94,0.7561,0.7522487764918828
0.95,0.751778,0.7476953645280353
0.96,0.747458,0.7431572447152016
0.97,0.743157,0.7386361811382673
0.98,0.738858,0.7341339219004094
0.99,0.734584,0.7296521985352641
1.0,0.73031,0.725192725439823
