x,u_exact,u_approx
0.0,0.0,-0.03430203642096178
0.01,0.01,0.12338951840920308
0.02,0.02,0.23297276639129874
0.03,0.03,0.30988760347500033
0.04,0.04,0.36460296889334204
0.05,0.05,0.4042175770846262
0.06,0.06,0.43354518097440886
0.07,0.07,0.45585035825521375
0.08,0.08,0.4733473595263547
0.09,0.09,0.4875383173038493
0.1,0.1,0.4994425450389023
0.11,0.11,0.5097519974236742
0.12,0.12,0.518936669580952
0.13,0.13,0.5273160558532006
0.14,0.14,0.5351075977003005
0.15,0.15,0.542459530686001
0.16,0.16,0.5494731543651454
0.17,0.17,0.5562179311118126
0.18,0.18,0.5627417231127576
0.19,0.19,0.5690777331323013
0.2,0.2,0.5752492104971452
0.21,0.21,0.5812726419411873
0.22,0.22,0.5871599152114239
0.23,0.23,0.5929197862218252
0.24,0.24,0.5985588740219134
0.25,0.25,0.604082335628296
0.26,0.26,0.6094943238048481
0.27,0.27,0.6147982976815556
0.28,0.28,0.6199972335961157
0.29,0.29,0.6250937682837849
0.3,0.3,0.6300902961960346
0.31,0.31,0.6349890357148386
0.32,0.32,0.6397920742742829
0.33,0.33,0.6445013991773088
0.34,0.34,0.649118918709684
0.35,0.35,0.6536464766713852
0.36,0.36,0.6580858624409199
0.37,0.37,0.6624388180069377
0.38,0.38,0.6667070429396732
0.39,0.39,0.6708921979616828
0.4,0.4,0.6749959075649964
0.41,0.41,0.6790197619780026
0.42,0.42,0.6829653186876472
0.43,0.43,0.6868341036565354
0.44,0.44,0.690627612329551
0.45,0.45,0.6943473104942484
0.46,0.46,0.6979946350386456
0.47,0.47,0.7015709946360631
0.48,0.48,0.7050777703771698
0.49,0.49,0.7085163163629823
0.5,0.5,0.71188796026817
0.51,0.51,0.7151940038811151
0.52,0.52,0.718435723625127
0.53,0.53,0.7216143710638535
0.54,0.54,0.7247311733930288
0.55,0.55,0.7277873339200597
0.56,0.56,0.7307840325325128
0.57,0.57,0.7337224261562955
0.58,0.58,0.7366036492040857
0.59,0.59,0.7394288140145832
0.6,0.6,0.7421990112827296
0.61,0.61,0.7449153104813437
0.62,0.62,0.7475787602744046
0.63,0.63,0.7501903889221307
0.64,0.64,0.7527512046780868
0.65,0.65,0.7552621961784411
0.66,0.66,0.7577243328252168
0.67,0.67,0.76013856515729
0.68,0.68,0.762505825220415
0.69,0.69,0.7648270269258379
0.7,0.7,0.767103066403555
0.71,0.71,0.769334822347953
0.72,0.72,0.7715231563571738
0.73,0.73,0.7736689132657606
0.74,0.74,0.7757729214707813
0.75,0.75,0.7778359932516983
0.76,0.76,0.7798589250839765
0.77,0.77,0.7818424979464063
0.78,0.78,0.7837874776227622
0.79,0.79,0.7856946149975677
0.8,0.8,0.7875646463458731
0.81,0.81,0.7893982936173363
0.82,0.82,0.7911962647150087
0.83,0.83,0.7929592537688351
0.84,0.84,0.7946879414034638
0.85,0.85,0.7963829950009508
0.86,0.86,0.7980450689585693
0.87,0.87,0.799674804941394
0.88,0.88,0.8012728321299706
0.89,0.89,0.8028397674632324
0.9,0.9,0.804376215876769
0.91,0.91,0.8058827705362835
0.92,0.92,0.8073600130665398
0.93,0.93,0.8088085137760674
0.94,0.94,0.8102288318772286
0.95,0.95,0.8116215157020756
0.96,0.96,0.8129871029141288
0.97,0.97,0.8143261207159324
0.98,0.98,0.8156390860525425
0.99,0.99,0.8169265058110965
1.0,1.0,0.8181888770166735
