x,u_exact,u_approx
0.0,0.0,-0.0052969893
0.01,0.01,0.005662254104992843
0.02,0.02,0.018192561337628452
0.03,0.03,0.03137749462994252
0.04,0.04,0.04406352087738663
0.05,0.05,0.055277803316443636
0.06,0.06,0.06458054780916274
0.07,0.07,0.07222428941237488
0.08,0.08,0.07906242812353811
0.09,0.09,0.08624014072781941
0.1,0.1,0.09477961564887202
0.11,0.11,0.10520983226364386
0.12,0.12,0.11737497283225835
0.13,0.13,0.13049085725024526
0.14,0.14,0.14342896083711337
0.15,0.15,0.15512514835328836
0.16,0.16,0.1649650871670158
0.17,0.17,0.17300674894054818
0.18,0.18,0.17995941319932623
0.19,0.19,0.18692677736353022
0.2,0.2,0.19500721477713964
0.21,0.21,0.20489596103425547
0.22,0.22,0.21663331050328152
0.23,0.23,0.22959002233589998
0.24,0.24,0.24269522167650046
0.25,0.25,0.2548242538127697
0.26,0.26,0.2652060165505862
0.27,0.27,0.273702241387681
0.28,0.28,0.28085757220604546
0.29,0.29,0.2877023037626918
0.3,0.3,0.2953792250171028
0.31,0.31,0.30472971881518496
0.32,0.32,0.3159890261609901
0.33,0.33,0.32870104559842395
0.34,0.34,0.3418835260364486
0.35,0.35,0.3543838227560369
0.36,0.36,0.36529636732842496
0.37,0.37,0.3742906503592195
0.38,0.38,0.3817309268300191
0.39,0.39,0.38854428863205737
0.4,0.4,0.3958848863600855
0.41,0.41,0.404715913989448
0.42,0.42,0.41546075505884783
0.43,0.43,0.427849639763921
0.44,0.44,0.4410173513678205
0.45,0.45,0.4538165941926185
0.46,0.46,0.4652335261983997
0.47,0.47,0.47475495673859464
0.48,0.48,0.48255421619850325
0.49,0.49,0.4894283784363578
0.5,0.5,0.49650957307847843
0.51,0.51,0.5048549458472489
0.52,0.52,0.5150637768881958
0.53,0.53,0.5270604308592632
0.54,0.54,0.540121750870631
0.55,0.55,0.5531389746178418
0.56,0.56,0.565019310774736
0.57,0.57,0.5750817309474409
0.58,0.58,0.5833036275241171
0.59,0.59,0.5903290017989408
0.6,0.6,0.5972352167596746
0.61,0.61,0.6051427930369271
0.62,0.62,0.6148095738290965
0.63,0.63,0.626356245929916
0.64,0.64,0.6392226288563337
0.65,0.65,0.6523705634720455
0.66,0.66,0.6646599170154199
0.67,0.67,0.675261521382161
0.68,0.68,0.6839574848649128
0.69,0.69,0.6912201091272034
0.7,0.7,0.6980408289160827
0.71,0.71,0.7055711298783655
0.72,0.72,0.7147054984402366
0.73,0.73,0.7257574527914266
0.74,0.74,0.7383459914925963
0.75,0.75,0.7515335862471846
0.76,0.76,0.7641657400105669
0.77,0.77,0.7752891277917143
0.78,0.78,0.7844968760784168
0.79,0.79,0.7920759260699229
0.8,0.8,0.7989031080552671
0.81,0.81,0.8061275671746145
0.82,0.82,0.8147545609938257
0.83,0.83,0.8252813709115762
0.84,0.84,0.8375171946019909
0.85,0.85,0.8506522516376273
0.86,0.86,0.8635510733152689
0.87,0.87,0.8751637516894617
0.88,0.88,0.8849061998356504
0.89,0.89,0.8928716990135169
0.9,0.9,0.8997971136513446
0.91,0.91,0.9067960105565088
0.92,0.92,0.9149553424066089
0.93,0.93,0.9249417704628152
0.94,0.94,0.9367602102712386
0.95,0.95,0.949752051328888
0.96,0.96,0.9628336955234026
0.97,0.97,0.9748890194485591
0.98,0.98,0.9851736168733195
0.99,0.99,0.9935844110545312
1.0,1.0,1.0006969875237146
