x,y,u_exact,u_approx
0.0,0.0,0.0,-0.00018523473008977588
0.0,0.0333333,0.0330024,0.03178438017173663
0.0,0.0666667,0.0660193,0.06448618102090695
0.0,0.1,0.0990645,0.09821849245415469
0.0,0.133333,0.132151,0.13279250781115298
0.0,0.166667,0.165288,0.16762302011923946
0.0,0.2,0.198486,0.2020006392381143
0.0,0.233333,0.231751,0.23543268626761937
0.0,0.266667,0.265084,0.26787330968571293
0.0,0.3,0.298486,0.29974280190001545
0.0,0.333333,0.331955,0.33173385493355567
0.0,0.366667,0.365484,0.3644817175929728
0.0,0.4,0.399065,0.39826145260160667
0.0,0.433333,0.432686,0.43286288592778255
0.0,0.466667,0.466336,0.46768755235721
0.0,0.5,0.5,0.5020288250525721
0.0,0.533333,0.533664,0.5354112040566684
0.0,0.566667,0.567314,0.5678123118751736
0.0,0.6,0.600935,0.5996711196431633
0.0,0.633333,0.634516,0.6316853677725348
0.0,0.666667,0.668045,0.6644793437783506
0.0,0.7,0.701514,0.6983063129510779
0.0,0.733333,0.734916,0.7329337778709032
0.0,0.766667,0.768249,0.7677509691492331
0.0,0.8,0.801514,0.8020547933965914
0.0,0.833333,0.834712,0.8353874504048879
0.0,0.866667,0.867849,0.8677500622587069
0.0,0.9,0.900935,0.8995997968468118
0.0,0.933333,0.933981,0.9316386814448352
0.0,0.966667,0.966998,0.9644793610338678
0.0,1.0,1.0,0.9983530244709882
0.0333333,0.0,0.0,-0.0002552607971020357
0.0333333,0.0333333,0.0330067,0.031735477492449524
0.0333333,0.0666667,0.0660278,0.06448151539295216
0.0333333,0.1,0.0990767,0.09826026894798852
0.0333333,0.133333,0.132166,0.1328609809508006
0.0333333,0.166667,0.165306,0.16768582643476557
0.0333333,0.2,0.198506,0.20202809392482998
0.0333333,0.233333,0.231771,0.23541181328017566
0.0333333,0.266667,0.265104,0.267813973531104
0.0333333,0.3,0.298506,0.29967304833578057
0.0333333,0.333333,0.331973,0.3316866519342393
0.0333333,0.366667,0.365499,0.3644793764283338
0.0333333,0.4,0.399077,0.3983050786887322
0.0333333,0.433333,0.432694,0.4329318600517896
0.0333333,0.466667,0.46634,0.46774927422208423
0.0333333,0.5,0.5,0.5020541224507806
0.0333333,0.533333,0.53366,0.535388120552876
0.0333333,0.566667,0.567306,0.567751756785459
0.0333333,0.6,0.600923,0.5996017148211364
0.0333333,0.633333,0.634501,0.6316399163649729
0.0333333,0.666667,0.668027,0.6644793291922966
0.0333333,0.7,0.701494,0.6983517409489419
0.0333333,0.733333,0.734896,0.7330031775917537
0.0333333,0.766667,0.768229,0.7678115391025324
0.0333333,0.8,0.801494,0.8020779058566773
0.0333333,0.833333,0.834694,0.8353621816146143
0.0333333,0.866667,0.867834,0.8676883544195448
0.0333333,0.9,0.900923,0.8995308166252542
0.0333333,0.933333,0.933972,0.9315950313066244
0.0333333,0.966667,0.966993,0.9644816730423409
0.0333333,1.0,1.0,0.9984002047275805
0.0666667,0.0,0.0,-0.0003334582031735448
0.0666667,0.0333333,0.033011,0.03168261522968382
0.0666667,0.0666667,0.0660361,0.06447897342525788
0.0666667,0.1,0.0990887,0.09830924859558753
