x,u_exact,u_approx
0.0,0.0,-0.0012405699999999964
0.01,0.00320566,0.0016345888345557502
0.02,0.00641132,0.004538643495792305
0.03,0.00962098,0.0074718843915959066
0.04,0.0128308,0.01043460484850034
0.05,0.0160483,0.01342710114102047
0.06,0.0192665,0.016449672521279046
0.07,0.0224958,0.01950262124893315
0.08,0.0257265,0.022586252621399572
0.09,0.0289714,0.02570087500438517
0.1,0.032219,0.028846799862723982
0.11,0.0354833,0.03202434179152325
0.12,0.0387519,0.03523381854762392
0.13,0.0420396,0.038475551081376125
0.14,0.0453336,0.041749863568734835
0.15,0.0486487,0.04505708344367715
0.16,0.0519722,0.04839754143094677
0.17,0.0553185,0.0517715715791261
0.18,0.058676,0.05517951129404164
0.19,0.0620576,0.058621701372504886
0.2,0.0654532,0.06209848603639212
0.21,0.068874,0.0656102129670671
0.22,0.0723122,0.06915723334014934
0.23,0.0757763,0.072739901860632
0.24,0.0792614,0.07635857679835267
0.25,0.0827728,0.08001362002382073
0.26,0.0863092,0.08370539704440466
0.27,0.0898718,0.08743427704088291
0.28,0.093464,0.09120063290436259
0.29,0.097082,0.09500484127356867
0.3,0.100734,0.0988472825725083
0.31,0.104412,0.10272834104851336
0.32,0.108129,0.10664840481066568
0.33,0.11187,0.11060786586860821
0.34,0.115656,0.11460712017174629
0.35,0.119465,0.11864656764884302
0.36,0.123324,0.12272661224801229
0.37,0.127205,0.12684766197711417
0.38,0.131143,0.13101012894455555
0.39,0.1351,0.13521442940050216
0.4,0.13912,0.13946098377850297
0.41,0.143157,0.1437502167375347
0.42,0.147266,0.14808255720446767
0.43,0.151387,0.15245843841695889
0.44,0.155587,0.156878297966776
0.45,0.159798,0.16134257784355738
0.46,0.164095,0.16585172447901086
0.47,0.168398,0.17040618879155767
0.48,0.172797,0.17500642623142448
0.49,0.177198,0.1796528968261888
0.5,0.181703,0.1843460652267822
0.51,0.186208,0.18908640075395566
0.52,0.190822,0.19387437744521224
0.53,0.195439,0.198710474102211
0.54,0.200164,0.20359517433864788
0.55,0.204896,0.20852896662861697
0.56,0.209737,0.2135123443554589
0.57,0.214591,0.218545805861099
0.58,0.219553,0.22362985449588252
0.59,0.224532,0.2287649986689097
0.6,0.229619,0.23395175189887712
0.61,0.23473,0.23919063286543002
0.62,0.239946,0.2444821654610309
0.63,0.245193,0.2498268788433488
0.64,0.250544,0.255225307488176
0.65,0.255933,0.2606779912428758
0.66,0.261423,0.26618547538036735
0.67,0.266959,0.27174831065365407
0.68,0.272593,0.2773670533508991
0.69,0.278281,0.2830422653510543
0.7,0.284065,0.28877451418004924
0.71,0.289911,0.2945643730675435
0.72,0.295849,0.30041242100425086
0.73,0.301858,0.3063192427998383
0.74,0.307956,0.31228542914140794
0.75,0.314133,0.31831157665256565
0.76,0.320396,0.3243982879530842
0.77,0.326748,0.33054617171916617
0.78,0.333181,0.3367558427443112
0.79,0.339714,0.34302792200079685
0.8,0.346323,0.3493630367017752
0.81,0.353042,0.3557618203639958
0.82,0.359832,0.36222491287115693
0.83,0.366744,0.3687529605378956
0.84,0.37372,0.3753466161744184
0.85,0.380831,0.3820065391517838
0.86,0.388,0.3887333954678394
0.87,0.395316,0.39552785781382255
0.88,0.402684,0.40239060564162993
0.89,0.410212,0.4093223252317632
0.9,0.417785,0.41632370976195804
0.91,0.425531,0.42339545937650175
0.92,0.433315,0.4305382812562491
0.93,0.441287,0.4377528896893403
0.94,0.449288,0.4450400061426308
0.95,0.457492,0.45240035933383876
0.96,0.465717,0.459834685304417
0.97,0.474161,0.4673437274931575
0.98,0.482616,0.4749282368105369
0.99,0.491308,0.4825889717138076
1.0,0.5,0.49032669828284353
