x,u_exact,u_approx
0.0,0.0,0.0
0.01,0.0314108,0.03142118125520034
0.02,0.0627905,0.06281135614441766
0.03,0.0941083,0.09413954890738406
0.04,0.125333,0.1253748449412951
0.05,0.156434,0.15648642131513926
0.06,0.187381,0.1874435771840769
0.07,0.218143,0.21821576408521012
0.08,0.24869,0.24877261608231768
0.09,0.278991,0.2790839797320017
0.1,0.309017,0.30911994383811636
0.11,0.338738,0.3388508689680495
0.12,0.368125,0.3682474167004045
0.13,0.397148,0.39728057857763166
0.14,0.425779,0.42592170473053914
0.15,0.45399,0.4541425321499601
0.16,0.481754,0.4819152125767177
0.17,0.509041,0.5092123399822498
0.18,0.535827,0.536006977612943
0.19,0.562083,0.5622726845707641
0.2,0.587785,0.5879835419057957
0.21,0.612907,0.6131141781925351
0.22,0.637424,0.6376397945666157
0.23,0.661312,0.6615361891962186
0.24,0.684547,0.684779781164243
0.25,0.707107,0.7073476337380756
0.26,0.728969,0.7292174770033945
0.27,0.750111,0.750367729840208
0.28,0.770513,0.7707775212189548
0.29,0.790155,0.7904267107960791
0.3,0.809017,0.8092959087884307
0.31,0.827081,0.8273664951070709
0.32,0.844328,0.8446206377315797
0.33,0.860742,0.8610413103066242
0.34,0.876307,0.8766123089436272
0.35,0.891007,0.8913182682103423
0.36,0.904827,0.9051446762939855
0.37,0.917755,0.918077889321249
0.38,0.929776,0.9301051448219262
0.39,0.940881,0.9412145743229884
0.4,0.951057,0.9513952150604952
0.41,0.960294,0.9606370207972552
0.42,0.968583,0.968930871737008
0.43,0.975917,0.976268583523268
0.44,0.982287,0.9826429153158734
0.45,0.987688,0.9880475769362687
0.46,0.992115,0.9924772350745494
0.47,0.995562,0.9959275185524842
0.48,0.998027,0.9983950226368171
0.49,0.999507,0.9998773123991915
0.5,1.0,1.000372925118852
0.51,0.999507,0.9998813717261142
0.52,0.998027,0.9984031372849576
0.53,0.995562,0.9959396805143069
0.54,0.992115,0.992493432348671
0.55,0.987688,0.9880677935391989
0.56,0.982287,0.9826671312979447
0.57,0.975917,0.9762967749881997
0.58,0.968583,0.9689630108654963
0.59,0.960294,0.960673075874462
0.6,0.951057,0.951435150507239
0.61,0.940881,0.9412583507311524
0.62,0.929776,0.9301527189929824
0.63,0.917755,0.9181292143091477
0.64,0.904827,0.9051997014513525
0.65,0.891007,0.8913769392384561
0.66,0.876307,0.8766745679460923
0.67,0.860742,0.8611070958464901
0.68,0.844328,0.8446898848917046
0.69,0.827081,0.827439135554571
0.7,0.809017,0.809371870841822
0.71,0.790155,0.7905059194961651
0.72,0.770513,0.7708598984027988
0.73,0.750111,0.7504531942180866
0.74,0.728969,0.7293059442392233
0.75,0.707107,0.7074390165325947
0.76,0.684547,0.6848739893410353
0.77,0.661312,0.6616331297908223
0.78,0.637424,0.6377393719185792
0.79,0.612907,0.6132162940385877
0.8,0.587785,0.5880880954779764
0.81,0.562083,0.5623795726960245
0.82,0.535827,0.5361160948141551
0.83,0.509041,0.5093235785829701
0.84,0.481754,0.4820284628067354
0.85,0.45399,0.4542576822543108
0.86,0.425779,0.4260386410793196
0.87,0.397148,0.3973991857782454
0.88,0.368125,0.3683675777115246
0.89,0.338738,0.33897246521510055
0.9,0.309017,0.3092428553304745
0.91,0.278991,0.2792080851804652
0.92,0.24869,0.24889779301956438
0.93,0.218143,0.21834188898676524
0.94,0.187381,0.18757052559038317
0.95,0.156434,0.15661406795367694
0.96,0.125333,0.12550306385072368
0.97,0.0941083,0.09426821356139575
0.98,0.0627905,0.06294033957712736
0.99,0.0314108,0.03155035618455903
1.0,1.22465e-16,0.0001292389603646231
