x,u_exact,u_approx
0.0,0.0,-0.036797230787690746
0.01,0.0314108,0.15623333984679935
0.02,0.0627905,0.2992965997301497
0.03,0.0941083,0.40458866624657436
0.04,0.125333,0.48136857227688706
0.05,0.156434,0.5366633068728425
0.06,0.187381,0.5758037440011516
0.07,0.218143,0.6028320151109664
0.08,0.24869,0.6208111558141887
0.09,0.278991,0.6320604636643906
0.1,0.309017,0.6383343836771702
0.11,0.338738,0.6409584656533214
0.12,0.368125,0.6409326893673284
0.13,0.397148,0.6390099845659525
0.14,0.425779,0.6357558957085467
0.15,0.45399,0.6315939144842304
0.16,0.481754,0.626839918421802
0.17,0.509041,0.6217283293118503
0.18,0.535827,0.6164319783082749
0.19,0.562083,0.6110771880488802
0.2,0.587785,0.6057552198836433
0.21,0.612907,0.6005309589204985
0.22,0.637424,0.5954495002598026
0.23,0.661312,0.5905411406533012
0.24,0.684547,0.5858251588523645
0.25,0.707107,0.5813126759513967
0.26,0.728969,0.5770088171283446
0.27,0.750111,0.5729143430461578
0.28,0.770513,0.5690268787862075
0.29,0.790155,0.5653418374805959
0.3,0.809017,0.5618531124714522
0.31,0.827081,0.5585535940853703
0.32,0.844328,0.5554355536273622
0.33,0.860742,0.5524909269503009
0.34,0.876307,0.5497115221668838
0.35,0.891007,0.5470891701516934
0.36,0.904827,0.544615831982706
0.37,0.917755,0.5422836740535047
0.38,0.929776,0.5400851189904669
0.39,0.940881,0.5380128785365539
0.4,0.951057,0.5360599730646413
0.41,0.960294,0.5342197412456309
0.42,0.968583,0.5324858425325782
0.43,0.975917,0.5308522544665348
0.44,0.982287,0.5293132663122678
0.45,0.987688,0.5278634701549546
0.46,0.992115,0.5264977503030862
0.47,0.995562,0.5252112716263783
0.48,0.998027,0.5239994672937661
0.49,0.999507,0.5228580262528351
0.5,1.0,0.5217828806986998
0.51,0.999507,0.5207701937100582
0.52,0.998027,0.5198163471773342
0.53,0.995562,0.5189179301082842
0.54,0.992115,0.5180717273669209
0.55,0.987688,0.5172747088797098
0.56,0.982287,0.5165240193268419
0.57,0.975917,0.5158169683245505
0.58,0.968583,0.5151510210959028
0.59,0.960294,0.5145237896214264
0.6,0.951057,0.5139330242566951
0.61,0.940881,0.5133766058011061
0.62,0.929776,0.5128525380003357
0.63,0.917755,0.5123589404638154
0.64,0.904827,0.5118940419781387
0.65,0.891007,0.5114561741971694
0.66,0.876307,0.5110437656898495
0.67,0.860742,0.5106553363271944
0.68,0.844328,0.5102894919902106
0.69,0.827081,0.5099449195816139
0.7,0.809017,0.5096203823244563
0.71,0.790155,0.5093147153317931
0.72,0.770513,0.5090268214322505
0.73,0.750111,0.5087556672368654
0.74,0.728969,0.5085002794336756
0.75,0.707107,0.5082597412968016
0.76,0.684547,0.5080331893987773
0.77,0.661312,0.5078198105118389
0.78,0.637424,0.5076188386906341
0.79,0.612907,0.507429552523808
0.8,0.587785,0.5072512725452081
0.81,0.562083,0.5070833587952909
0.82,0.535827,0.5069252085243497
0.83,0.509041,0.5067762540292006
0.84,0.481754,0.5066359606155943
0.85,0.45399,0.5065038246790426
0.86,0.425779,0.506379371897186
0.87,0.397148,0.5062621555272634
0.88,0.368125,0.5061517548025308
0.89,0.338738,0.5060477734219274
0.9,0.309017,0.5059498381275327
0.91,0.278991,0.5058575973647299
0.92,0.24869,0.5057707200202786
0.93,0.218143,0.5056888942337486
0.94,0.187381,0.5056118262780623
0.95,0.156434,0.5055392395051269
0.96,0.125333,0.5054708733527667
0.97,0.0941083,0.5054064824095931
0.98,0.0627905,0.505345835533501
0.99,0.0314108,0.5052887150223536
1.0,1.22465e-16,0.5052349158327591
