x,u_exact,u_approx
0.0,0.0,0.0
0.01,0.0314108,0.03141075954200135
0.02,0.0627905,0.06279052045568591
0.03,0.0941083,0.0941083147046414
0.04,0.125333,0.12533323540607416
0.05,0.156434,0.15643446733217187
0.06,0.187381,0.18738131732101387
0.07,0.218143,0.21814324456701747
0.08,0.24869,0.24868989076102635
0.09,0.278991,0.2789911100502978
0.1,0.309017,0.3090169987888204
0.11,0.338738,0.3387379250486032
0.12,0.368125,0.3681245578628122
0.13,0.397148,0.3971478961718943
0.14,0.425779,0.42577929744412213
0.15,0.45399,0.4539905059423163
0.16,0.481754,0.4817536806088471
0.17,0.509041,0.509041422541398
0.18,0.535827,0.5358268020323746
0.19,0.562083,0.5620833851452769
0.2,0.587785,0.5877852598018023
0.21,0.612907,0.6129070613539405
0.22,0.637424,0.637423997615819
0.23,0.661312,0.661311873330598
0.24,0.684547,0.6845471140482688
0.25,0.707107,0.7071067893907904
0.26,0.728969,0.7289686356816044
0.27,0.750111,0.750111077917197
0.28,0.770513,0.7705132510590234
0.29,0.790155,0.7901550206247817
0.3,0.809017,0.8090170025587179
0.31,0.827081,0.8270805823613475
0.32,0.844328,0.8443279334597212
0.33,0.860742,0.8607420348001003
0.34,0.876307,0.8763066876456813
0.35,0.891007,0.8910065315627952
0.36,0.904827,0.9048270595798011
0.37,0.917755,0.9177546325037158
0.38,0.929776,0.9297764923804512
0.39,0.940881,0.940880775085375
0.4,0.951057,0.9510565220317705
0.41,0.960294,0.9602936909856371
0.42,0.968583,0.9685831659761656
0.43,0.975917,0.9759167662920986
0.44,0.982287,0.9822872545551069
0.45,0.987688,0.9876883438622076
0.46,0.992115,0.9921147039901785
0.47,0.995562,0.9955619666558453
0.48,0.998027,0.9980267298270494
0.49,0.999507,0.9995065610800434
0.5,1.0,0.9999999999999998
0.51,0.999507,0.9995065596222635
0.52,0.998027,0.9980267269129284
0.53,0.995562,0.995561962288259
0.54,0.992115,0.9921146981734372
0.55,0.987688,0.9876883366020517
0.56,0.982287,0.9822872458587012
0.57,0.975917,0.9759167561680255
0.58,0.968583,0.9685831544344163
0.59,0.960294,0.9602936780376021
0.6,0.951057,0.9510565076902276
0.61,0.940881,0.940880759364478
0.62,0.929776,0.9297764752957144
0.63,0.917755,0.9177546140719999
0.64,0.904827,0.904827039819296
0.65,0.891007,0.8910065104930021
0.66,0.876307,0.8763066652873934
0.67,0.860742,0.8607420111753825
0.68,0.844328,0.8443279085918887
0.69,0.827081,0.8270805562749415
0.7,0.809017,0.8090169752794826
0.71,0.790155,0.7901549921796384
0.72,0.770513,0.770513221476044
0.73,0.750111,0.7501110472255764
0.74,0.728969,0.7289686039116313
0.75,0.707107,0.7071067565738183
0.76,0.684547,0.6845470802166838
0.77,0.661312,0.661311838517788
0.78,0.637424,0.6374239618561399
0.79,0.612907,0.6129070246826825
0.8,0.587785,0.587785222255156
0.81,0.562083,0.5620833467602958
0.82,0.535827,0.535826762846941
0.83,0.509041,0.5090413825941822
0.84,0.481754,0.4817536399392728
0.85,0.45399,0.45399046459051895
0.86,0.425779,0.42577925545091133
0.87,0.397148,0.39714785357871224
0.88,0.368125,0.368124514711693
0.89,0.338738,0.338737881382132
0.9,0.309017,0.30901695465009044
0.91,0.278991,0.27899106548286906
0.92,0.24869,0.24868984580888154
0.93,0.218143,0.21814319927451845
0.94,0.187381,0.18738127173285934
0.95,0.156434,0.15643442149335182
0.96,0.125333,0.125333189361826
0.97,0.0941083,0.09410826850040477
0.98,0.0627905,0.06279047413705925
0.99,0.0314108,0.03141071315469513
1.0,1.22465e-16,-4.641020666628482e-08
