x,u_exact,u_approx
0.0,0.0,0.0
0.01,0.0314108,0.03133977250791188
0.02,0.0627905,0.06264875611411164
0.03,0.0941083,0.09389619216460092
0.04,0.125333,0.12505138247109288
0.05,0.156434,0.15608371946960709
0.06,0.187381,0.18696271629003292
0.07,0.218143,0.21765803670712067
0.08,0.24869,0.24813952494347583
0.09,0.278991,0.2783772352952771
0.1,0.309017,0.3083414615516136
0.11,0.338738,0.33800276617853847
0.12,0.368125,0.36733200923916864
0.13,0.397148,0.396300377021418
0.14,0.425779,0.42487941034524046
0.15,0.45399,0.4530410325215722
0.16,0.481754,0.48075757693550647
0.17,0.509041,0.5080018142266023
0.18,0.535827,0.5347469790396236
0.19,0.562083,0.5609667963194317
0.2,0.587785,0.5866355071241914
0.21,0.612907,0.6117278939315409
0.22,0.637424,0.6362193054128548
0.23,0.661312,0.6600856806512678
0.24,0.684547,0.6833035727796639
0.25,0.707107,0.705850172015409
0.26,0.728969,0.727703328069198
0.27,0.750111,0.7488415719059998
0.28,0.770513,0.7692441368367229
0.29,0.790155,0.7888909789198818
0.3,0.809017,0.8077627966532178
0.31,0.827081,0.8258410499359314
0.32,0.844328,0.8431079782828977
0.33,0.860742,0.8595466182729685
0.34,0.876307,0.8751408202142208
0.35,0.891007,0.8898752640097799
0.36,0.904827,0.9037354742086294
0.37,0.917755,0.916707834226622
0.38,0.929776,0.928779599723719
0.39,0.940881,0.9399389111243192
0.4,0.951057,0.9501748052683741
0.41,0.960294,0.9594772261818443
0.42,0.968583,0.9678370349559164
0.43,0.975917,0.9752460187252732
0.44,0.982287,0.9816968987365986
0.45,0.987688,0.9871833374993902
0.46,0.992115,0.9916999450120525
0.47,0.995562,0.9952422840571568
0.48,0.998027,0.9978068745606643
0.49,0.999507,0.9993911970108291
0.5,1.0,0.999993694933424
0.51,0.999507,0.9996137764208557
0.52,0.998027,0.9982518147136681
0.53,0.995562,0.9959091478338629
0.54,0.992115,0.9925880772703958
0.55,0.987688,0.9882918657181423
0.56,0.982287,0.9830247338725521
0.57,0.975917,0.9767918562831422
0.58,0.968583,0.9695993562699029
0.59,0.960294,0.9614542999076091
0.6,0.951057,0.9523646890839489
0.61,0.940881,0.942339453638288
0.62,0.929776,0.931388442588793
0.63,0.917755,0.9195224144565343
0.64,0.904827,0.9067530266960698
0.65,0.891007,0.893092824242899
0.66,0.876307,0.8785552271890342
0.67,0.860742,0.8631545175987984
0.68,0.844328,0.8469058254778017
0.69,0.827081,0.8298251139088824
0.7,0.809017,0.8119291633696114
0.71,0.790155,0.7932355552467737
0.72,0.770513,0.7737626545640144
0.73,0.750111,0.753529591939624
0.74,0.728969,0.732556244792187
0.75,0.707107,0.7108632178125553
0.76,0.684547,0.6884718227213342
0.77,0.661312,0.665404057331765
0.78,0.637424,0.6416825839385764
0.79,0.612907,0.6173307070540327
0.8,0.587785,0.5923723505130533
0.81,0.562083,0.5668320339698969
0.82,0.535827,0.5407348488094982
0.83,0.509041,0.5141064334971216
0.84,0.481754,0.4869729483905556
0.85,0.45399,0.4593610500395835
0.86,0.425779,0.431297864997986
0.87,0.397148,0.4028109631738011
0.88,0.368125,0.3739283307440229
0.89,0.338738,0.34467834266034636
0.9,0.309017,0.315089734772975
0.91,0.278991,0.28519157559987
0.92,0.24869,0.2550132377691805
0.93,0.218143,0.22458436916290914
0.94,0.187381,0.19393486379016225
0.95,0.156434,0.16309483241859726
0.96,0.125333,0.13209457299292546
0.97,0.0941083,0.10096454086952449
0.98,0.0627905,0.06973531889640554
0.99,0.0314108,0.03843758736793409
1.0,1.22465e-16,0.00710209388381272
