x,u_exact,u_approx
0.0,1.0,1.0
0.01,0.98612,0.9863421111672996
0.02,0.97224,0.9731141552405425
0.03,0.959734,0.9602955592149897
0.04,0.947287,0.9478668481272676
0.05,0.935698,0.9358095852473076
0.06,0.924186,0.9241063155333302
0.07,0.913315,0.9127405121818777
0.08,0.902534,0.9016965260973404
0.09,0.892263,0.8909595381237169
0.1,0.882091,0.880515513887759
0.11,0.872339,0.8703511611092931
0.12,0.862694,0.8604538892449
0.13,0.8534,0.8508117713367664
0.14,0.844219,0.841413507946528
0.15,0.835336,0.8322483930598811
0.16,0.826572,0.8233062818540339
0.17,0.818062,0.8145775602260503
0.18,0.809675,0.8060531159861937
0.19,0.801506,0.7977243116249867
0.2,0.793463,0.7895829585678293
0.21,0.785608,0.7816212928359096
0.22,0.777882,0.7738319520364831
0.23,0.770317,0.766207953609773
0.24,0.762885,0.7587426742643201
0.25,0.755591,0.7514298305341804
0.26,0.748431,0.7442634603990449
0.27,0.74139,0.7372379059067324
0.28,0.734484,0.7303477967451238
0.29,0.72768,0.7235880347105234
0.3,0.721012,0.7169537790238394
0.31,0.714431,0.7104404324480382
0.32,0.707987,0.7040436281632917
0.33,0.701616,0.6977592173580862
0.34,0.695382,0.6915832574974677
0.35,0.689209,0.6855120012311363
0.36,0.683175,0.6795418859066007
0.37,0.67719,0.6736695236541581
0.38,0.671343,0.6678916920125273
0.39,0.665537,0.6622053250655578
0.4,0.659868,0.656607505062019
0.41,0.654231,0.6510954544921834
0.42,0.648732,0.6456665285960609
0.43,0.643256,0.6403182082798754
0.44,0.637918,0.6350480934182947
0.45,0.632596,0.6298538965214563
0.46,0.627411,0.62473343674678
0.47,0.622235,0.6196846342367277
0.48,0.617197,0.6147055047647466
0.49,0.612161,0.6097941546724558
0.5,0.607262,0.604948776082284
0.51,0.602363,0.6001676423703732
0.52,0.597595,0.5954491038856398
0.53,0.592829,0.5907915839014637
0.54,0.588184,0.586193574787332
0.55,0.583546,0.5816536343884173
0.56,0.579018,0.5771703826017008
0.57,0.574503,0.5727424981379587
0.58,0.570088,0.5683687154593827
0.59,0.565689,0.5640478218833226
0.6,0.561383,0.5597786548430029
0.61,0.557097,0.5555600992966946
0.62,0.552896,0.5513910852772039
0.63,0.548718,0.5472705855740221
0.64,0.544617,0.5431976135409071
0.65,0.540543,0.5391712210220144
0.66,0.536539,0.5351904963901519
0.67,0.532565,0.5312545626909877
0.68,0.528655,0.527362575887471
0.69,0.524777,0.523513723198964
0.7,0.520956,0.519707221529936
0.71,0.517172,0.5159423159833262
0.72,0.513438,0.5122182784539476
0.73,0.509743,0.5085344062975857
0.74,0.506093,0.5048900210716345
0.75,0.502484,0.5012844673433999
0.76,0.498915,0.49771711156235027
0.77,0.495389,0.494187340992852
0.78,0.491899,0.4906945627040772
0.79,0.488453,0.4872382026139711
0.8,0.485039,0.4838177045843413
0.81,0.481671,0.4804325295642661
0.82,0.47833,0.47708215477921073
0.83,0.475037,0.4737660729633414
0.84,0.471767,0.4704837916327017
0.85,0.468546,0.4672348323970154
0.86,0.465346,0.46401873030801816
0.87,0.462195,0.46083503324233127
0.88,0.459061,0.45768330131699125
0.89,0.455978,0.4545631063358723
0.9,0.452909,0.4514740312653039
0.91,0.449892,0.4484156697373153
0.92,0.446886,0.4453876255789896
0.93,0.443932,0.4423895123665205
0.94,0.440987,0.4394209530026233
0.95,0.438095,0.4364815793160338
0.96,0.435208,0.43357103168190103
0.97,0.432377,0.43068895866192985
0.98,0.429547,0.42783501666321655
0.99,0.426774,0.4250088696147506
1.0,0.424,0.422210188660633
