x,u_exact,u_approx
0.0,1.0,0.9812278909747153
0.01,0.98612,1.0415964301657348
0.02,0.97224,1.0641208189392777
0.03,0.959734,1.0601539850646804
0.04,0.947287,1.038423768908128
0.05,0.935698,1.005536958223335
0.06,0.924186,0.9664041591268255
0.07,0.913315,0.9245943075219417
0.08,0.902534,0.8826275601978405
0.09,0.892263,0.8422149151095264
0.1,0.882091,0.8044523163976887
0.11,0.872339,0.7699762911098068
0.12,0.862694,0.739087406461182
0.13,0.8534,0.7118470748421537
0.14,0.844219,0.6881524999009891
0.15,0.835336,0.6677938709651292
0.16,0.826572,0.6504972864781059
0.17,0.818062,0.6359563255700299
0.18,0.809675,0.6238546915224655
0.19,0.801506,0.6138819199159984
0.2,0.793463,0.6057437738685079
0.21,0.785608,0.5991686340488194
0.22,0.777882,0.593910926512682
0.23,0.770317,0.5897524111284649
0.24,0.762885,0.5865019718030561
0.25,0.755591,0.5839944015299112
0.26,0.748431,0.5820885555367545
0.27,0.74139,0.5806651500394371
0.28,0.734484,0.5796244083447906
0.29,0.72768,0.5788836968125733
0.3,0.721012,0.578375247480747
0.31,0.714431,0.5780440294099308
0.32,0.707987,0.5778458048418709
0.33,0.701616,0.5777453872775999
0.34,0.695382,0.5777151050582553
0.35,0.689209,0.5777334647426993
0.36,0.683175,0.577784002517935
0.37,0.67719,0.577854308245649
0.38,0.671343,0.5779352049000567
0.39,0.665537,0.5780200655841755
0.4,0.659868,0.5781042506320601
0.41,0.654231,0.5781846482133238
0.42,0.648732,0.5782593031270913
0.43,0.643256,0.5783271199379652
0.44,0.637918,0.5783876281457265
0.45,0.632596,0.5784407986085871
0.46,0.627411,0.5784869018999629
0.47,0.622235,0.5785264006352232
0.48,0.617197,0.5785598690374576
0.49,0.612161,0.5785879341114829
0.5,0.607262,0.5786112337622734
0.51,0.602363,0.5786303880319731
0.52,0.597595,0.5786459803502675
0.53,0.592829,0.5786585462988401
0.54,0.588184,0.5786685679039786
0.55,0.583546,0.578676471894443
0.56,0.579018,0.5786826307105933
0.57,0.574503,0.5786873653346946
0.58,0.570088,0.5786909492412607
0.59,0.565689,0.5786936129487458
0.6,0.561383,0.5786955487979577
0.61,0.557097,0.5786969156948265
0.62,0.552896,0.5786978436413918
0.63,0.548718,0.5786984379443023
0.64,0.544617,0.5786987830387577
0.65,0.540543,0.5786989459009776
0.66,0.536539,0.5786989790470137
0.67,0.532565,0.5786989231336739
0.68,0.528655,0.5786988091870102
0.69,0.524777,0.5786986604908145
0.7,0.520956,0.5786984941704109
0.71,0.517172,0.5786983225076608
0.72,0.513438,0.5786981540221269
0.73,0.509743,0.5786979943512774
0.74,0.506093,0.5786978469599316
0.75,0.502484,0.5786977137061216
0.76,0.498915,0.5786975952874427
0.77,0.495389,0.5786974915889037
0.78,0.491899,0.578697401950378
0.79,0.488453,0.5786973253690881
0.8,0.485039,0.5786972606501302
0.81,0.481671,0.5786972065159345
0.82,0.47833,0.5786971616835206
0.83,0.475037,0.5786971249170106
0.84,0.471767,0.5786970950612965
0.85,0.468546,0.5786970710615893
0.86,0.465346,0.5786970519726929
0.87,0.462195,0.5786970369609543
0.88,0.459061,0.5786970253011278
0.89,0.455978,0.57869701637002
0.9,0.452909,0.578697009638111
0.91,0.449892,0.5786970046601949
0.92,0.446886,0.5786970010657223
0.93,0.443932,0.5786969985492949
0.94,0.440987,0.5786969968616805
0.95,0.438095,0.5786969958014971
0.96,0.435208,0.5786969952076855
0.97,0.432377,0.5786969949528404
0.98,0.429547,0.5786969949373886
0.99,0.426774,0.5786969950845017
1.0,0.424,0.57869699533572
