x,u_exact,u_approx
0.0,1.0,0.9982852258486636
0.01,0.98612,0.9852624126517946
0.02,0.97224,0.9725903069210227
0.03,0.959734,0.9602582971154588
0.04,0.947287,0.9482558584785439
0.05,0.935698,0.9365725431097968
0.06,0.924186,0.9251979769553688
0.07,0.913315,0.9141218630273483
0.08,0.902534,0.9033339900541821
0.09,0.892263,0.8928242456853366
0.1,0.882091,0.8825826333250557
0.11,0.872339,0.8725992916535983
0.12,0.862694,0.8628645159086861
0.13,0.8534,0.8533687800425112
0.14,0.844219,0.8441027589367532
0.15,0.835336,0.8350573499448705
0.16,0.826572,0.8262236931322048
0.17,0.818062,0.8175931896947253
0.18,0.809675,0.8091575181512783
0.19,0.801506,0.8009086480171834
0.2,0.793463,0.7928388507747972
0.21,0.785608,0.7849407080558993
0.22,0.777882,0.7772071170389624
0.23,0.770317,0.7696312931399379
0.24,0.762885,0.762206770137289
0.25,0.755591,0.7549273979205453
0.26,0.748431,0.7477873380870975
0.27,0.74139,0.7407810576352689
0.28,0.734484,0.733903321014111
0.29,0.72768,0.7271491807934227
0.3,0.721012,0.7205139672126477
0.31,0.714431,0.7139932768562512
0.32,0.707987,0.7075829606873086
0.33,0.701616,0.7012791116518181
0.34,0.695382,0.6950780520448642
0.35,0.689209,0.6889763208072669
0.36,0.683175,0.6829706608986579
0.37,0.67719,0.6770580068706843
0.38,0.671343,0.6712354727428406
0.39,0.665537,0.6655003402636189
0.4,0.659868,0.6598500476215341
0.41,0.654231,0.6542821786542559
0.42,0.648732,0.6487944525896475
0.43,0.643256,0.6433847143399362
0.44,0.637918,0.6380509253594813
0.45,0.632596,0.6327911550675548
0.46,0.627411,0.6276035728300682
0.47,0.622235,0.6224864404881344
0.48,0.617197,0.6174381054165962
0.49,0.612161,0.6124569940920093
0.5,0.607262,0.6075416061469234
0.51,0.602363,0.6026905088854767
0.52,0.597595,0.597902332234224
0.53,0.592829,0.5931757641015872
0.54,0.588184,0.5885095461192916
0.55,0.583546,0.5839024697394832
0.56,0.579018,0.5793533726618945
0.57,0.574503,0.5748611355662878
0.58,0.570088,0.5704246791264793
0.59,0.565689,0.5660429612834029
0.6,0.561383,0.5617149747559328
0.61,0.557097,0.5574397447694706
0.62,0.552896,0.5532163269836045
0.63,0.548718,0.549043805601442
0.64,0.544617,0.5449212916444829
0.65,0.540543,0.5408479213781258
0.66,0.536539,0.5368228548740691
0.67,0.532565,0.5328452746969946
0.68,0.528655,0.5289143847039647
0.69,0.524777,0.5250294089459651
0.7,0.520956,0.5211895906619433
0.71,0.517172,0.5173941913565598
0.72,0.513438,0.5136424899536597
0.73,0.509743,0.5099337820182175
0.74,0.506093,0.5062673790401765
0.75,0.502484,0.502642607774234
0.76,0.498915,0.4990588096301835
0.77,0.495389,0.4955153401089583
0.78,0.491899,0.4920115682799765
0.79,0.488453,0.48854687629583626
0.8,0.485039,0.48512065894078865
0.81,0.481671,0.4817323232097752
0.82,0.47833,0.47838128791513806
0.83,0.475037,0.47506698331839964
0.84,0.471767,0.4717888507847726
0.85,0.468546,0.4685463424582947
0.86,0.465346,0.46533892095569906
0.87,0.462195,0.46216605907732045
0.88,0.459061,0.45902723953351204
0.89,0.455978,0.45592195468520097
0.9,0.452909,0.45284970629735105
0.91,0.449892,0.44981000530422793
0.92,0.446886,0.4468023715854709
0.93,0.443932,0.4438263337520802
0.94,0.440987,0.44088142894151505
0.95,0.438095,0.4379672026211833
0.96,0.435208,0.4350832083996721
0.97,0.432377,0.4322290078451351
0.98,0.429547,0.4294041703103135
0.99,0.426774,0.42660827276371277
1.0,0.424,0.4238408996265128
