x,u_exact,u_approx
0.0,1.0,0.9835964
0.01,0.98612,0.9728617521308248
0.02,0.97224,0.9622901144912848
0.03,0.959734,0.9518790117011637
0.04,0.947287,0.9416260059699546
0.05,0.935698,0.9315286965260449
0.06,0.924186,0.9215847190545677
0.07,0.913315,0.9117917451437911
0.08,0.902534,0.9021474817399137
0.09,0.892263,0.8926496706101386
0.1,0.882091,0.8832960878139022
0.11,0.872339,0.8740845431821319
0.12,0.862694,0.8650128798044111
0.13,0.8534,0.8560789735239327
0.14,0.844219,0.847280732440121
0.15,0.835336,0.8386160964188076
0.16,0.826572,0.8300830366098445
0.17,0.818062,0.8216795549720429
0.18,0.809675,0.813403683805326
0.19,0.801506,0.8052534852899861
0.2,0.793463,0.7972270510329387
0.21,0.785608,0.7893225016208659
0.22,0.777882,0.7815379861801474
0.23,0.770317,0.7738716819434717
0.24,0.762885,0.7663217938230302
0.25,0.755591,0.7588865539901931
0.26,0.748431,0.751564221461565
0.27,0.74139,0.7443530816913306
0.28,0.734484,0.7372514461697872
0.29,0.72768,0.7302576520279764
0.3,0.721012,0.723370061648317
0.31,0.714431,0.7165870622811532
0.32,0.707987,0.7099070656671241
0.33,0.701616,0.7033285076652682
0.34,0.695382,0.6968498478867746
0.35,0.689209,0.6904695693342972
0.36,0.683175,0.6841861780467446
0.37,0.67719,0.6779982027494653
0.38,0.671343,0.6719041945097439
0.39,0.665537,0.6659027263975295
0.4,0.659868,0.6599923931513156
0.41,0.654231,0.6541718108490944
0.42,0.648732,0.6484396165843065
0.43,0.643256,0.6427944681467136
0.44,0.637918,0.6372350437081145
0.45,0.632596,0.6317600415128362
0.46,0.627411,0.6263681795729239
0.47,0.622235,0.621058195367959
0.48,0.617197,0.615828845549437
0.49,0.612161,0.6106789056496331
0.5,0.607262,0.6056071697948903
0.51,0.602363,0.6006124504232595
0.52,0.597595,0.5956935780064294
0.53,0.592829,0.590849400775877
0.54,0.588184,0.5860787844531783
0.55,0.583546,0.5813806119844133
0.56,0.579018,0.5767537832786047
0.57,0.574503,0.5721972149501284
0.58,0.570088,0.5677098400650353
0.59,0.565689,0.5632906078912255
0.6,0.561383,0.5589384836524169
0.61,0.557097,0.5546524482858484
0.62,0.552896,0.5504314982036641
0.63,0.548718,0.5462746450579197
0.64,0.544617,0.5421809155091584
0.65,0.540543,0.5381493509984998
0.66,0.536539,0.5341790075231916
0.67,0.532565,0.5302689554155675
0.68,0.528655,0.5264182791253635
0.69,0.524777,0.522626077005339
0.7,0.520956,0.5188914611001528
0.71,0.517172,0.5152135569384464
0.72,0.513438,0.511591503328084
0.73,0.509743,0.5080244521545013
0.74,0.506093,0.5045115681821173
0.75,0.502484,0.5010520288587611
0.76,0.498915,0.4976450241230697
0.77,0.495389,0.49428975621480864
0.78,0.491899,0.4909854394880748
0.79,0.488453,0.487731300227335
0.8,0.485039,0.48452657646625785
0.81,0.481671,0.4813705178092974
0.82,0.47833,0.4782623852559861
0.83,0.475037,0.4752014510278948
0.84,0.471767,0.472186998398222
0.85,0.468546,0.46921832152397
0.86,0.465346,0.4662947252806695
0.87,0.462195,0.46341552509961426
0.88,0.459061,0.46058004680756737
0.89,0.455978,0.45778762646890153
0.9,0.452909,0.4550376102301364
0.91,0.449892,0.45232935416683717
0.92,0.446886,0.44966222413283774
0.93,0.443932,0.447035595611753
0.94,0.440987,0.4444488535707473
0.95,0.438095,0.4419013923165219
0.96,0.435208,0.4393926153534908
0.97,0.432377,0.4369219352441088
0.98,0.429547,0.43448877347132187
0.99,0.426774,0.43209256030310544
1.0,0.424,0.4297327346590599
