x,y,u_exact,u_approx
0.0,0.0,1.0,1.016624402392735
0.0,0.0333333,0.9808,0.9918487163969603
0.0,0.0666667,0.9616,0.9675763822639201
0.0,0.1,0.9424,0.9437973163935574
0.0,0.133333,0.9232,0.9205016313798184
0.0,0.166667,0.904,0.8976786158666328
0.0,0.2,0.8848,0.8753200209851328
0.0,0.233333,0.8656,0.8534157324564742
0.0,0.266667,0.8464,0.8319558819906032
0.0,0.3,0.8272,0.8109327134041922
0.0,0.333333,0.808,0.7903367165204881
0.0,0.366667,0.7888,0.7701586124591961
0.0,0.4,0.7696,0.7503911082955798
0.0,0.433333,0.7504,0.7310252618733801
0.0,0.466667,0.7312,0.7120523485180027
0.0,0.5,0.712,0.6934655108939557
0.0,0.533333,0.6928,0.6752563409389458
0.0,0.566667,0.6736,0.6574166350826754
0.0,0.6,0.6544,0.6399399455621767
0.0,0.633333,0.6352,0.622818366508945
0.0,0.666667,0.616,0.6060441843326457
0.0,0.7,0.5968,0.5896113363800306
0.0,0.733333,0.5776,0.5735123889815299
0.0,0.766667,0.5584,0.5577400892614209
0.0,0.8,0.5392,0.5422887366744774
0.0,0.833333,0.52,0.5271513415467325
0.0,0.866667,0.5008,0.5123210841996746
0.0,0.9,0.4816,0.49779260456823915
0.0,0.933333,0.4624,0.48355933045524835
0.0,0.966667,0.4432,0.4696148495055519
0.0,1.0,0.424,0.45595412179816674
0.0333333,0.0,0.9808,0.9918487163969603
0.0333333,0.0333333,0.957573,0.9678714005289542
0.0333333,0.0666667,0.936607,0.9443752955383815
0.0333333,0.1,0.916682,0.9213508812674225
0.0333333,0.133333,0.89728,0.8987888203725634
0.0333333,0.166667,0.878154,0.8766789701155
0.0333333,0.2,0.859221,0.8550135662505207
0.0333333,0.233333,0.840417,0.8337830306723086
0.0333333,0.266667,0.821704,0.8129780163126492
0.0333333,0.3,0.803067,0.7925912172480625
0.0333333,0.333333,0.784486,0.7726136207379519
0.0333333,0.366667,0.765952,0.7530364314395374
