x,u_exact,u_approx
0.0,0.0,-0.06061904427548927
0.01,0.00255764,0.2167540617741804
0.02,0.00511529,0.42043855211202635
0.03,0.00768213,0.5620624862743288
0.04,0.0102494,0.6527141913829275
0.05,0.0128343,0.7026120101847302
0.06,0.0154207,0.7209033405374179
0.07,0.0180325,0.7155657929967653
0.08,0.0206479,0.6933864119729786
0.09,0.0232957,0.6599982007085822
0.1,0.0259499,0.6199564696223501
0.11,0.0286428,0.5768406537118301
0.12,0.0313456,0.5333701248688151
0.13,0.034093,0.4915251027111368
0.14,0.0368547,0.45266601518771765
0.15,0.039666,0.41764657205716144
0.16,0.042497,0.38691740079061376
0.17,0.045382,0.36061837710680705
0.18,0.0482931,0.338658789973574
0.19,0.0512617,0.3207852462121471
0.2,0.0542638,0.3066377768961403
0.21,0.0573265,0.29579499023768097
0.22,0.0604311,0.28780935545324926
0.23,0.0635985,0.2822338284255235
0.24,0.0668173,0.27864106883410733
0.25,0.0701007,0.27663647240703493
0.26,0.073446,0.2758661701734902
0.27,0.0768567,0.27602104487495593
0.28,0.0803415,0.27683769573336486
0.29,0.0838917,0.2780971565104826
0.3,0.0875292,0.2796220457166775
0.31,0.0912314,0.2812727073445154
0.32,0.0950359,0.28294278927698274
0.33,0.0989034,0.28455460679812544
0.34,0.10289,0.2860545515407795
0.35,0.106936,0.2874087320067556
0.36,0.11112,0.2885989701268378
0.37,0.11536,0.28961922838058035
0.38,0.119758,0.29047250268070274
0.39,0.124207,0.2911681862976444
0.4,0.128836,0.29171988824415307
0.41,0.133511,0.29214367446743245
0.42,0.138391,0.29245669067557356
0.43,0.143308,0.29267612052758385
0.44,0.148458,0.29281843123774476
0.45,0.153637,0.29289885950626326
0.46,0.159077,0.29293109334945594
0.47,0.164537,0.29292710924976
0.48,0.170292,0.29289712858029554
0.49,0.176053,0.2928496620968399
0.5,0.182146,0.29279161613635546
0.51,0.188239,0.2927284388040818
0.52,0.19469,0.29266428872557954
0.53,0.201148,0.2926022127979347
0.54,0.207975,0.2925443227485111
0.55,0.214826,0.29249196318896054
0.56,0.222058,0.2924458662493807
0.57,0.229334,0.29240628982174627
0.58,0.237002,0.2923731379781706
0.59,0.244736,0.2923460632909297
0.6,0.252873,0.2923245516533222
0.61,0.261101,0.292307990781382
0.62,0.269744,0.29229572395889947
0.63,0.278507,0.2922870907941177
0.64,0.287696,0.2922814568273341
0.65,0.297038,0.29227823380110374
0.66,0.306817,0.29227689230628623
0.67,0.316788,0.29227696837186984
0.68,0.327206,0.29227806539364704
0.69,0.33786,0.29227985261151235
0.7,0.348971,0.2922820611589103
0.71,0.360371,0.2922844785290695
0.72,0.372236,0.2922869421368617
0.73,0.38445,0.2922893325058757
0.74,0.397137,0.2922915664796485
0.75,0.410244,0.29229359074426436
0.76,0.423832,0.2922953758562572
0.77,0.437922,0.29229691089408527
0.78,0.452499,0.29229819879221963
0.79,0.467675,0.2922992523686473
0.8,0.483344,0.2923000910292522
0.81,0.499728,0.2923007380989065
0.82,0.516608,0.292301218724678
0.83,0.534342,0.29230155828161525
0.84,0.552572,0.29230178121105904
0.85,0.571826,0.29230191022164176
0.86,0.591572,0.29230196578700157
0.87,0.612551,0.29230196587962143
0.88,0.634012,0.29230192588676385
0.89,0.656966,0.29230185866166386
0.9,0.680386,0.2923017746702061
0.91,0.705626,0.2923016822002431
0.92,0.731305,0.29230158760713365
0.93,0.75923,0.29230149557481194
0.94,0.787546,0.2923014093767692
0.95,0.818669,0.29230133112567713
0.96,0.850109,0.2923012620040254
0.97,0.885117,0.2923012024709706
0.98,0.920322,0.292301152442939
0.99,0.960161,0.29230111144881255
1.0,1.0,0.2923010787567007
