x,u_exact,u_approx
0.0,0.0,-0.004173763542981157
0.01,0.00255764,-0.00183929732772653
0.02,0.00511529,0.0005318012047648146
0.03,0.00768213,0.0029404011216734305
0.04,0.0102494,0.0053873991997061554
0.05,0.0128343,0.007873721038340942
0.06,0.0154207,0.010400322227175962
0.07,0.0180325,0.012968189570476796
0.08,0.0206479,0.015578342372218223
0.09,0.0232957,0.018231833785135432
0.1,0.0259499,0.02092975222753679
0.11,0.0286428,0.02367322287188134
0.12,0.0313456,0.026463409209398936
0.13,0.034093,0.029301514695323216
0.14,0.0368547,0.0321887844796262
0.15,0.039666,0.035126507228481096
0.16,0.042497,0.03811601704205547
0.17,0.045382,0.04115869547462636
0.18,0.0482931,0.044255973663447634
0.19,0.0512617,0.04740933457325913
0.2,0.0542638,0.05062031536383527
0.21,0.0573265,0.053890509888513016
0.22,0.0604311,0.057221571332232435
0.23,0.0635985,0.060615214998264055
0.24,0.0668173,0.06407322125349157
0.25,0.0701007,0.06759743864287715
0.26,0.073446,0.07118978718455521
0.27,0.0768567,0.07485226185789673
0.28,0.0803415,0.07858693629785818
0.29,0.0838917,0.08239596670999005
0.3,0.0875292,0.08628159602163499
0.31,0.0912314,0.09024615828610993
0.32,0.0950359,0.09429208335804246
0.33,0.0989034,0.09842190185954086
0.34,0.10289,0.10263825045852493
0.35,0.106936,0.10694387748235329
0.36,0.11112,0.11134164889186027
0.37,0.11536,0.11583455464309139
0.38,0.119758,0.12042571546641195
0.39,0.124207,0.1251183900952883
0.4,0.128836,0.1299159829799298
0.41,0.133511,0.13482205252416168
0.42,0.138391,0.1398403198874104
0.43,0.143308,0.14497467839755557
0.44,0.148458,0.15022920362469033
0.45,0.153637,0.15560816417056778
0.46,0.159077,0.1611160332337654
0.47,0.164537,0.16675750101642228
0.48,0.170292,0.1725374880448725
0.49,0.176053,0.17846115948368957
0.5,0.182146,0.1845339405306623
0.51,0.188239,0.19076153298914827
0.52,0.19469,0.1971499331242112
0.53,0.201148,0.20370545092008369
0.54,0.207975,0.21043473086895953
0.55,0.214826,0.21734477443508687
0.56,0.222058,0.22444296435381533
0.57,0.229334,0.23173709094287792
0.58,0.237002,0.23923538062303645
0.59,0.244736,0.2469465268676037
0.6,0.252873,0.25487972382563867
0.61,0.261101,0.263044702892223
0.62,0.269744,0.27145177253164826
0.63,0.278507,0.2801118616961648
0.64,0.287696,0.28903656722482013
0.65,0.297038,0.2982382056546445
0.66,0.306817,0.3077298699309357
0.67,0.316788,0.31752549156574966
0.68,0.327206,0.3276399088651791
0.69,0.33786,0.33808894192813294
0.7,0.348971,0.34888947521387986
0.71,0.360371,0.3600595485847314
0.72,0.372236,0.3716184578564526
0.73,0.38445,0.38358686603530806
0.74,0.397137,0.39598692659072615
0.75,0.410244,0.40884242031075085
0.76,0.423832,0.4221789075189996
0.77,0.437922,0.43602389770312694
0.78,0.452499,0.45040703892352624
0.79,0.467675,0.46536032974658864
0.8,0.483344,0.4809183568907784
0.81,0.499728,0.4971185623001814
0.82,0.516608,0.5140015439864187
0.83,0.534342,0.5316113957273789
0.84,0.552572,0.5499960916067965
0.85,0.571826,0.5692079224556124
0.86,0.591572,0.5893039925559764
0.87,0.612551,0.6103467865442815
0.88,0.634012,0.6324048183671895
0.89,0.656966,0.6555533764888051
0.9,0.680386,0.679875382426081
0.91,0.705626,0.7054623832422808
0.92,0.731305,0.7324157030347693
0.93,0.75923,0.7608477839477348
0.94,0.787546,0.7908837541295293
0.95,0.818669,0.8226632687429472
0.96,0.850109,0.8563426811628652
0.97,0.885117,0.8920976155795046
0.98,0.920322,0.9301260303392391
0.99,0.960161,0.9706518848216585
1.0,1.0,1.013929553288934
