x,u_exact,u_approx
0,0,0
0.01,0.0029951,0.000340624
0.02,0.00599289,0.000681248
0.03,0.00899607,0.00102187
0.04,0.0120074,0.00136249
0.05,0.0150294,0.00170312
0.06,0.0180651,0.00204374
0.07,0.0211169,0.00238436
0.08,0.0241878,0.00272498
0.09,0.0272805,0.00306561
0.1,0.0303977,0.00340623
0.11,0.0335423,0.00374685
0.12,0.036717,0.00408746
0.13,0.0399248,0.00442808
0.14,0.0431686,0.0047687
0.15,0.0464512,0.00510931
0.16,0.0497756,0.00544993
0.17,0.0531448,0.00579054
0.18,0.0565618,0.00613115
0.19,0.0600298,0.00647176
0.2,0.0635518,0.00681237
0.21,0.0671309,0.00715298
0.22,0.0707705,0.00749359
0.23,0.0744739,0.00783419
0.24,0.0782442,0.00817479
0.25,0.0820849,0.00851539
0.26,0.0859996,0.00885599
0.27,0.0899916,0.00919659
0.28,0.0940647,0.00953718
0.29,0.0982224,0.00987777
0.3,0.102469,0.0102184
0.31,0.106807,0.010559
0.32,0.111241,0.0108995
0.33,0.115776,0.0112401
0.34,0.120415,0.0115807
0.35,0.125162,0.0119213
0.36,0.130022,0.0122618
0.37,0.134999,0.0126024
0.38,0.140097,0.012943
0.39,0.145322,0.0132836
0.4,0.150677,0.0136241
0.41,0.156168,0.0139647
0.42,0.161799,0.0143052
0.43,0.167576,0.0146458
0.44,0.173504,0.0149863
0.45,0.179588,0.0153269
0.46,0.185834,0.0156674
0.47,0.192247,0.016008
0.48,0.198833,0.0163485
0.49,0.205598,0.016689
0.5,0.212548,0.0170296
0.51,0.219689,0.0173701
0.52,0.227028,0.0177106
0.53,0.234572,0.0180511
0.54,0.242326,0.0183916
0.55,0.250299,0.0187321
0.56,0.258497,0.0190726
0.57,0.266928,0.0194131
0.58,0.275599,0.0197536
0.59,0.284517,0.0200941
0.6,0.293692,0.0204346
0.61,0.303132,0.0207751
0.62,0.312844,0.0211155
0.63,0.322838,0.021456
0.64,0.333122,0.0217965
0.65,0.343706,0.0221369
0.66,0.3546,0.0224774
0.67,0.365813,0.0228178
0.68,0.377355,0.0231583
0.69,0.389236,0.0234987
0.7,0.401468,0.0238392
0.71,0.414061,0.0241796
0.72,0.427027,0.02452
0.73,0.440378,0.0248604
0.74,0.454124,0.0252008
0.75,0.46828,0.0255412
0.76,0.482857,0.0258816
0.77,0.497868,0.026222
0.78,0.513328,0.0265624
0.79,0.52925,0.0269028
0.8,0.545648,0.0272432
0.81,0.562537,0.0275835
0.82,0.579932,0.0279239
0.83,0.59785,0.0282643
0.84,0.616305,0.0286046
0.85,0.635315,0.0289449
0.86,0.654898,0.0292853
0.87,0.675069,0.0296256
0.88,0.695848,0.0299659
0.89,0.717254,0.0303062
0.9,0.739305,0.0306466
0.91,0.762021,0.0309869
0.92,0.785424,0.0313271
0.93,0.809533,0.0316674
0.94,0.834371,0.0320077
0.95,0.85996,0.032348
0.96,0.886323,0.0326882
0.97,0.913483,0.0330285
0.98,0.941466,0.0333688
0.99,0.970296,0.033709
1,1,0.0340492
