gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.194782,0,0.194782,0.000414161
1,0.112137,0,0.112137,0.000414161
2,0.112137,0,0.112137,0.000414161
3,0.112137,0,0.112137,0.000414161
4,0.112137,0,0.112137,0.000414161
5,0.112137,0,0.112137,0.000414161
6,0.112137,0,0.112137,0.000414161
7,0.112137,0,0.112137,0.000414161
8,0.112137,0,0.112137,0.000414161
9,0.112137,0,0.112137,0.000414161
10,0.112137,0,0.112137,0.000414161
11,0.112137,0,0.112137,0.000414161
12,0.112137,0,0.112137,0.000414161
13,0.112137,0,0.112137,0.000414161
14,0.112137,0,0.112137,0.000414161
15,0.112137,0,0.112137,0.000414161
16,0.112137,0,0.112137,0.000414161
17,0.112137,0,0.112137,0.000414161
18,0.112137,0,0.112137,0.000414161
19,0.112137,0,0.112137,0.000414161
20,0.112137,0,0.112137,0.000414161
21,0.112137,0,0.112137,0.000414161
22,0.112137,0,0.112137,0.000414161
23,0.112137,0,0.112137,0.000414161
24,0.112137,0,0.112137,0.000414161
25,0.235704,0,0.235704,0.000414161
26,0.235704,0,0.235704,0.000236509
27,0.235704,0,0.235704,0.000236508
28,0.235704,0,0.235704,0.000236508
29,0.235704,0,0.235704,0.000236508
30,0.235704,0,0.235704,0.000236508
31,0.235704,0,0.235704,0.000236508
32,0.235704,0,0.235704,0.000236508
33,0.235704,0,0.235704,0.000236508
34,0.163647,0,0.163647,0.000236508
35,0.163647,0,0.163647,0.000236508
36,0.163647,0,0.163647,0.000236508
37,0.163647,0,0.163647,0.000236508
38,0.163647,0,0.163647,0.000236508
39,0.163647,0,0.163647,0.000236508
40,0.163647,0,0.163647,0.000236508
41,0.163647,0,0.163647,0.000236508
42,0.163647,0,0.163647,0.000236508
43,0.163647,0,0.163647,0.000236508
44,0.163647,0,0.163647,0.000236508
45,0.163647,0,0.163647,0.000236508
46,0.163647,0,0.163647,0.000236508
47,0.163647,0,0.163647,0.000236508
48,0.163647,0,0.163647,0.000236508
49,0.163647,0,0.163647,0.000236508
50,0.153026,0,0.153026,0.000236508
51,0.153026,0,0.153026,0.000236508
52,0.153026,0,0.153026,0.000236508
53,0.153026,0,0.153026,0.000236508
54,0.15188,0,0.15188,0.000236508
55,0.15188,0,0.15188,0.000236508
56,0.15188,0,0.15188,0.000236508
57,0.15188,0,0.15188,0.000236508
58,0.15188,0,0.15188,0.000236508
59,0.15188,0,0.15188,0.000236508
60,0.15188,0,0.15188,0.000236508
61,0.15188,0,0.15188,0.000236508
62,0.15188,0,0.15188,0.000236508
63,0.15188,0,0.15188,0.000236508
64,0.15188,0,0.15188,0.000236508
65,0.15188,0,0.15188,0.000236508
66,0.15188,0,0.15188,0.000236508
67,0.15188,0,0.15188,0.000236508
68,0.15188,0,0.15188,0.000236508
69,0.15188,0,0.15188,0.000236508
70,0.15188,0,0.15188,0.000236508
71,0.15188,0,0.15188,0.000236508
72,0.15188,0,0.15188,0.000236508
73,0.15188,0,0.15188,0.000236508
74,0.15188,0,0.15188,0.000236508
75,0.11957,0,0.11957,0.000236508
76,0.11957,0,0.11957,0.000236508
77,0.11957,0,0.11957,0.000236508
78,0.11957,0,0.11957,0.000236508
79,0.11957,0,0.11957,0.000236508
80,0.11957,0,0.11957,0.000236508
81,0.11957,0,0.11957,0.000236508
82,0.11957,0,0.11957,0.000236508
83,0.11957,0,0.11957,0.000236508
84,0.11957,0,0.11957,0.000236508
85,0.11957,0,0.11957,0.000236508
86,0.11957,0,0.11957,0.000236508
87,0.11957,0,0.11957,0.000236508
88,0.11957,0,0.11957,0.000236508
89,0.11957,0,0.11957,0.000236508
90,0.11957,0,0.11957,0.000236508
91,0.11957,0,0.11957,0.000236508
92,0.11957,0,0.11957,0.000236508
93,0.11957,0,0.11957,0.000236508
94,0.11957,0,0.11957,0.000236508
95,0.11957,0,0.11957,0.000236508
96,0.11957,0,0.11957,0.000236508
97,0.11957,0,0.11957,0.000236508
98,0.11957,0,0.11957,0.000236508
99,0.11957,0,0.11957,0.000236508
100,0.10024,0,0.10024,0.000236508
101,0.10024,0,0.10024,0.000236508
102,0.10024,0,0.10024,0.000236508
103,0.10024,0,0.10024,0.000236508
104,0.12399,0,0.12399,0.000147121
105,0.12399,0,0.12399,0.000147121
106,0.12399,0,0.12399,0.000147121
107,0.12399,0,0.12399,0.000147121
108,0.12399,0,0.12399,0.000147121
109,0.12399,0,0.12399,0.000147121
110,0.12399,0,0.12399,0.000147121
