x,y,u_exact,u_approx
0,0,1,1
0,0.0333333,0.9808,0.9808
0,0.0666667,0.9616,0.9616
0,0.1,0.9424,0.9424
0,0.133333,0.9232,0.9232
0,0.166667,0.904,0.904
0,0.2,0.8848,0.8848
0,0.233333,0.8656,0.8656
0,0.266667,0.8464,0.8464
0,0.3,0.8272,0.8272
0,0.333333,0.808,0.808
0,0.366667,0.7888,0.7888
0,0.4,0.7696,0.7696
0,0.433333,0.7504,0.7504
0,0.466667,0.7312,0.7312
0,0.5,0.712,0.712
0,0.533333,0.6928,0.6928
0,0.566667,0.6736,0.6736
0,0.6,0.6544,0.6544
0,0.633333,0.6352,0.6352
0,0.666667,0.616,0.616
0,0.7,0.5968,0.5968
0,0.733333,0.5776,0.5776
0,0.766667,0.5584,0.5584
0,0.8,0.5392,0.5392
0,0.833333,0.52,0.52
0,0.866667,0.5008,0.5008
0,0.9,0.4816,0.4816
0,0.933333,0.4624,0.4624
0,0.966667,0.4432,0.4432
0,1,0.424,0.424
0.0333333,0,0.9808,0.9808
0.0333333,0.0333333,0.957573,0.955969
0.0333333,0.0666667,0.936607,0.934012
0.0333333,0.1,0.916682,0.91464
0.0333333,0.133333,0.89728,0.896578
0.0333333,0.166667,0.878154,0.878965
0.0333333,0.2,0.859221,0.861415
0.0333333,0.233333,0.840417,0.843787
0.0333333,0.266667,0.821704,0.826043
0.0333333,0.3,0.803067,0.808185
0.0333333,0.333333,0.784486,0.790224
0.0333333,0.366667,0.765952,0.772176
0.0333333,0.4,0.747462,0.754057
0.0333333,0.433333,0.729006,0.735879
0.0333333,0.466667,0.710585,0.717652
0.0333333,0.5,0.692197,0.699385
0.0333333,0.533333,0.67384,0.681085
0.0333333,0.566667,0.655518,0.662759
0.0333333,0.6,0.63723,0.644412
0.0333333,0.633333,0.618978,0.626048
0.0333333,0.666667,0.600769,0.60767
0.0333333,0.7,0.582603,0.589282
0.0333333,0.733333,0.564488,0.570886
0.0333333,0.766667,0.546435,0.552486
0.0333333,0.8,0.528449,0.534082
0.0333333,0.833333,0.510547,0.515676
0.0333333,0.866667,0.492753,0.497271
0.0333333,0.9,0.475087,0.478868
0.0333333,0.933333,0.457612,0.460467
0.0333333,0.966667,0.440414,0.442071
0.0333333,1,0.423652,0.42368
0.0666667,0,0.9616,0.9616
0.0666667,0.0333333,0.936607,0.934012
0.0666667,0.0666667,0.914153,0.91021
0.0666667,0.1,0.893327,0.890225
0.0666667,0.133333,0.873496,0.872532
0.0666667,0.166667,0.854234,0.855839
0.0666667,0.2,0.835388,0.839442
0.0666667,0.233333,0.816827,0.823031
0.0666667,0.266667,0.798465,0.806487
0.0666667,0.3,0.780276,0.78978
0.0666667,0.333333,0.76221,0.772914
0.0666667,0.366667,0.744248,0.755906
0.0666667,0.4,0.726384,0.738775
0.0666667,0.433333,0.708596,0.72154
0.0666667,0.466667,0.690883,0.704218
0.0666667,0.5,0.673243,0.686824
0.0666667,0.533333,0.655669,0.66937
0.0666667,0.566667,0.638168,0.651867
0.0666667,0.6,0.620739,0.634324
0.0666667,0.633333,0.603382,0.616749
0.0666667,0.666667,0.586114,0.599148
0.0666667,0.7,0.568936,0.581528
0.0666667,0.733333,0.551857,0.563893
0.0666667,0.766667,0.534903,0.546248
0.0666667,0.8,0.518082,0.528596
0.0666667,0.833333,0.501425,0.510941
0.0666667,0.866667,0.484976,0.493287
0.0666667,0.9,0.468766,0.475635
0.0666667,0.933333,0.452903,0.457989
0.0666667,0.966667,0.437496,0.440351
0.0666667,1,0.422698,0.422721
0.1,0,0.9424,0.9424
0.1,0.0333333,0.916682,0.91464
0.1,0.0666667,0.893327,0.890225
0.1,0.1,0.871767,0.869583
0.1,0.133333,0.851486,0.851641
0.1,0.166667,0.832005,0.835171
0.1,0.2,0.813141,0.819341
0.1,0.233333,0.794715,0.803693
0.1,0.266667,0.776604,0.78801
0.1,0.3,0.758766,0.7722
0.1,0.333333,0.741128,0.756235
0.1,0.366667,0.723656,0.740114
0.1,0.4,0.706342,0.72385
0.1,0.433333,0.689152,0.707459
0.1,0.466667,0.672081,0.690958
0.1,0.5,0.655126,0.674364
0.1,0.533333,0.638275,0.657691
0.1,0.566667,0.621537,0.640953
0.1,0.6,0.604911,0.62416
0.1,0.633333,0.588396,0.607323
0.1,0.666667,0.572016,0.590451
0.1,0.7,0.55577,0.573551
0.1,0.733333,0.539673,0.55663
0.1,0.766667,0.523761,0.539695
0.1,0.8,0.508042,0.522751
0.1,0.833333,0.49256,0.505802
0.1,0.866667,0.477372,0.488853
0.1,0.9,0.462514,0.471907
0.1,0.933333,0.448113,0.454969
0.1,0.966667,0.434273,0.438042
0.1,1,0.421117,0.421127
0.133333,0,0.9232,0.9232
0.133333,0.0333333,0.89728,0.896578
0.133333,0.0666667,0.873496,0.872532
0.133333,0.1,0.851486,0.851641
0.133333,0.133333,0.830872,0.833352
0.133333,0.166667,0.811198,0.816755
0.133333,0.2,0.79229,0.801081
0.133333,0.233333,0.773948,0.785823
0.133333,0.266667,0.756024,0.770689
0.133333,0.3,0.73847,0.755525
0.133333,0.333333,0.721192,0.74026
0.133333,0.366667,0.704143,0.724866
0.133333,0.4,0.687315,0.709338
0.133333,0.433333,0.670658,0.693682
0.133333,0.466667,0.654167,0.677911
0.133333,0.5,0.637837,0.662038
0.133333,0.533333,0.62165,0.646076
0.133333,0.566667,0.605617,0.630039
0.133333,0.6,0.589737,0.613939
0.133333,0.633333,0.574006,0.597786
0.133333,0.666667,0.558455,0.581591
0.133333,0.7,0.543081,0.565363
0.133333,0.733333,0.527902,0.549109
0.133333,0.766667,0.512963,0.532837
0.133333,0.8,0.49827,0.516554
0.133333,0.833333,0.483878,0.500265
0.133333,0.866667,0.469847,0.483975
0.133333,0.9,0.456215,0.46769
0.133333,0.933333,0.443115,0.451413
0.133333,0.966667,0.430635,0.43515
0.133333,1,0.418873,0.418903
0.166667,0,0.904,0.904
0.166667,0.0333333,0.878154,0.878965
0.166667,0.0666667,0.854234,0.855839
0.166667,0.1,0.832005,0.835171
0.166667,0.133333,0.811198,0.816755
0.166667,0.166667,0.791405,0.800008
0.166667,0.2,0.772476,0.784327
0.166667,0.233333,0.754212,0.769242
0.166667,0.266667,0.736452,0.754437
0.166667,0.3,0.719148,0.73972
0.166667,0.333333,0.702188,0.724983
0.166667,0.366667,0.685518,0.710169
0.166667,0.4,0.669128,0.695253
0.166667,0.433333,0.652957,0.680227
0.166667,0.466667,0.636999,0.665094
0.166667,0.5,0.621245,0.649862
0.166667,0.533333,0.605673,0.63454
0.166667,0.566667,0.590296,0.619141
0.166667,0.6,0.57511,0.603674
0.166667,0.633333,0.560111,0.58815
0.166667,0.666667,0.545336,0.572581
0.166667,0.7,0.530777,0.556974
0.166667,0.733333,0.516455,0.541339
0.166667,0.766667,0.502423,0.525683
0.166667,0.8,0.488683,0.510014
0.166667,0.833333,0.475296,0.494338
0.166667,0.866667,0.462326,0.478662
0.166667,0.9,0.449804,0.46299
0.166667,0.933333,0.437867,0.447329
0.166667,0.966667,0.426586,0.431682
0.166667,1,0.416039,0.416055
0.2,0,0.8848,0.8848
0.2,0.0333333,0.859221,0.861415
0.2,0.0666667,0.835388,0.839442
0.2,0.1,0.813141,0.819341
0.2,0.133333,0.79229,0.801081
0.2,0.166667,0.772476,0.784327
0.2,0.2,0.753582,0.76865
0.2,0.233333,0.735418,0.753663
0.2,0.266667,0.717822,0.739071
0.2,0.3,0.700751,0.724672
0.2,0.333333,0.684083,0.710336
0.2,0.366667,0.667759,0.695985
0.2,0.4,0.65177,0.681575
0.2,0.433333,0.636045,0.667084
0.2,0.466667,0.620574,0.652506
0.2,0.5,0.605351,0.637839
0.2,0.533333,0.590346,0.623089
0.2,0.566667,0.575575,0.608264
0.2,0.6,0.561031,0.593372
0.2,0.633333,0.546709,0.578424
0.2,0.666667,0.53265,0.563427
0.2,0.7,0.518843,0.548392
0.2,0.733333,0.505311,0.533327
0.2,0.766667,0.492111,0.51824
0.2,0.8,0.479242,0.503139
0.2,0.833333,0.466769,0.48803
0.2,0.866667,0.454753,0.472921
0.2,0.9,0.443223,0.457817
0.2,0.933333,0.43231,0.442725
0.2,0.966667,0.422073,0.427648
0.2,1,0.412575,0.412593
0.233333,0,0.8656,0.8656
0.233333,0.0333333,0.840417,0.843787
0.233333,0.0666667,0.816827,0.823031
0.233333,0.1,0.794715,0.803693
0.233333,0.133333,0.773948,0.785823
0.233333,0.166667,0.754212,0.769242
0.233333,0.2,0.735418,0.753663
0.233333,0.233333,0.717393,0.738792
0.233333,0.266667,0.69998,0.724378
0.233333,0.3,0.683145,0.710231
0.233333,0.333333,0.66676,0.696216
0.233333,0.366667,0.650764,0.682244
0.233333,0.4,0.63515,0.668258
0.233333,0.433333,0.619838,0.654225
0.233333,0.466667,0.60482,0.640127
0.233333,0.5,0.590088,0.625958
0.233333,0.533333,0.575607,0.611717
0.233333,0.566667,0.561396,0.597408
0.233333,0.6,0.547445,0.583036
0.233333,0.633333,0.533747,0.56861
0.233333,0.666667,0.520347,0.554136
0.233333,0.7,0.507231,0.539624
0.233333,0.733333,0.494422,0.525082
0.233333,0.766667,0.481981,0.510517
0.233333,0.8,0.469901,0.495938
0.233333,0.833333,0.45825,0.481351
0.233333,0.866667,0.447088,0.466763
0.233333,0.9,0.436436,0.452181
0.233333,0.933333,0.426421,0.437611
0.233333,0.966667,0.417092,0.423058
0.233333,1,0.408501,0.408528
0.266667,0,0.8464,0.8464
0.266667,0.0333333,0.821704,0.826043
0.266667,0.0666667,0.798465,0.806487
0.266667,0.1,0.776604,0.78801
0.266667,0.133333,0.756024,0.770689
0.266667,0.166667,0.736452,0.754437
0.266667,0.2,0.717822,0.739071
