x,u_exact,u_approx
0,1,nan
0.01,1.00132,0.997488
0.02,1.00264,0.997347
0.03,1.00371,0.995889
0.04,1.00477,0.994544
0.05,1.00559,0.993258
0.06,1.0064,0.992021
0.07,1.00698,0.990825
0.08,1.00753,0.989667
0.09,1.00788,0.988544
0.1,1.00818,0.987452
0.11,1.0083,0.986388
0.12,1.00836,0.985352
0.13,1.00824,0.98434
0.14,1.00807,0.98335
0.15,1.00773,0.982382
0.16,1.00733,0.981431
0.17,1.00677,0.980498
0.18,1.00614,0.97958
0.19,1.00536,0.978676
0.2,1.00451,0.977783
0.21,1.00353,0.976901
0.22,1.00246,0.976028
0.23,1.00128,0.975162
0.24,1,0.974302
0.25,0.998624,0.973446
0.26,0.997144,0.972593
0.27,0.995573,0.971742
0.28,0.993897,0.970891
0.29,0.99214,0.970038
0.3,0.990275,0.969184
0.31,0.988339,0.968325
0.32,0.986291,0.967461
0.33,0.984181,0.966591
0.34,0.981957,0.965713
0.35,0.97968,0.964826
0.36,0.977287,0.963928
0.37,0.97485,0.963019
0.38,0.972294,0.962098
0.39,0.969703,0.961162
0.4,0.966992,0.960211
0.41,0.964253,0.959244
0.42,0.961394,0.958259
0.43,0.958515,0.957255
0.44,0.955514,0.956232
0.45,0.952501,0.955187
0.46,0.949367,0.95412
0.47,0.946225,0.953029
0.48,0.942965,0.951914
0.49,0.939703,0.950774
0.5,0.936323,0.949606
0.51,0.932944,0.94841
0.52,0.929455,0.947185
0.53,0.925964,0.94593
0.54,0.922374,0.944644
0.55,0.918778,0.943325
0.56,0.915094,0.941973
0.57,0.9114,0.940586
0.58,0.907629,0.939163
0.59,0.903844,0.937704
0.6,0.899992,0.936206
0.61,0.896124,0.93467
0.62,0.892196,0.933094
0.63,0.888252,0.931476
0.64,0.884256,0.929817
0.65,0.880242,0.928114
0.66,0.876183,0.926367
0.67,0.872106,0.924574
0.68,0.867992,0.922736
0.69,0.863858,0.92085
0.7,0.859694,0.918915
0.71,0.855511,0.916931
0.72,0.851302,0.914896
0.73,0.847076,0.91281
0.74,0.842829,0.910672
0.75,0.838565,0.908479
0.76,0.834286,0.906233
0.77,0.829991,0.90393
0.78,0.825685,0.901571
0.79,0.821365,0.899155
0.8,0.817037,0.896679
0.81,0.812698,0.894144
0.82,0.808354,0.891549
0.83,0.804001,0.888892
0.84,0.799646,0.886172
0.85,0.795286,0.883388
0.86,0.790924,0.88054
0.87,0.786562,0.877626
0.88,0.782199,0.874646
0.89,0.777839,0.871598
0.9,0.773481,0.868482
0.91,0.769128,0.865296
0.92,0.764778,0.86204
0.93,0.760438,0.858712
0.94,0.7561,0.855311
0.95,0.751778,0.851837
0.96,0.747458,0.848289
0.97,0.743157,0.844666
0.98,0.738858,0.840966
0.99,0.734584,0.837189
1,0.73031,0.833333
