x,u_exact,u_approx
0,0,0
0.01,0.00255764,5.03346e-07
0.02,0.00511529,4.05374e-06
0.03,0.00768213,1.37731e-05
0.04,0.0102494,3.28663e-05
0.05,0.0128343,6.46229e-05
0.06,0.0154207,0.000112419
0.07,0.0180325,0.000179717
0.08,0.0206479,0.000270072
0.09,0.0232957,0.000387126
0.1,0.0259499,0.000534617
0.11,0.0286428,0.000716377
0.12,0.0313456,0.000936332
0.13,0.034093,0.00119851
0.14,0.0368547,0.00150703
0.15,0.039666,0.00186613
0.16,0.042497,0.00228014
0.17,0.045382,0.00275349
0.18,0.0482931,0.00329072
0.19,0.0512617,0.00389649
0.2,0.0542638,0.00457556
0.21,0.0573265,0.00533281
0.22,0.0604311,0.00617323
0.23,0.0635985,0.00710194
0.24,0.0668173,0.00812415
0.25,0.0701007,0.00924523
0.26,0.073446,0.0104707
0.27,0.0768567,0.011806
0.28,0.0803415,0.013257
0.29,0.0838917,0.0148296
0.3,0.0875292,0.0165297
0.31,0.0912314,0.0183634
0.32,0.0950359,0.020337
0.33,0.0989034,0.0224569
0.34,0.10289,0.0247298
0.35,0.106936,0.0271621
0.36,0.11112,0.0297609
0.37,0.11536,0.0325331
0.38,0.119758,0.0354858
0.39,0.124207,0.0386263
0.4,0.128836,0.0419621
0.41,0.133511,0.0455008
0.42,0.138391,0.0492502
0.43,0.143308,0.0532182
0.44,0.148458,0.0574129
0.45,0.153637,0.0618427
0.46,0.159077,0.066516
0.47,0.164537,0.0714414
0.48,0.170292,0.0766278
0.49,0.176053,0.0820842
0.5,0.182146,0.0878197
0.51,0.188239,0.0938437
0.52,0.19469,0.100166
0.53,0.201148,0.106796
0.54,0.207975,0.113744
0.55,0.214826,0.12102
0.56,0.222058,0.128634
0.57,0.229334,0.136598
0.58,0.237002,0.144921
0.59,0.244736,0.153615
0.6,0.252873,0.162691
0.61,0.261101,0.172161
0.62,0.269744,0.182037
0.63,0.278507,0.192329
0.64,0.287696,0.203051
0.65,0.297038,0.214214
0.66,0.306817,0.225833
0.67,0.316788,0.237918
0.68,0.327206,0.250484
0.69,0.33786,0.263544
0.7,0.348971,0.277112
0.71,0.360371,0.291201
0.72,0.372236,0.305826
0.73,0.38445,0.321002
0.74,0.397137,0.336742
0.75,0.410244,0.353062
0.76,0.423832,0.369978
0.77,0.437922,0.387505
0.78,0.452499,0.405659
0.79,0.467675,0.424457
0.8,0.483344,0.443913
0.81,0.499728,0.464047
0.82,0.516608,0.484874
0.83,0.534342,0.506413
0.84,0.552572,0.52868
0.85,0.571826,0.551695
0.86,0.591572,0.575475
0.87,0.612551,0.60004
0.88,0.634012,0.625409
0.89,0.656966,0.651601
0.9,0.680386,0.678636
0.91,0.705626,0.706534
0.92,0.731305,0.735316
0.93,0.75923,0.765003
0.94,0.787546,0.795617
0.95,0.818669,0.827179
0.96,0.850109,0.859711
0.97,0.885117,0.893236
0.98,0.920322,0.927777
0.99,0.960161,0.963357
1,1,1
