method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,2.6216174743,0.0000000000,2,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,1.0410237969,0.0000000000,6,25
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,2.6216174743,0.0000000000,2,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,0.4404766546,0.0000000000,4,10
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,1.0410237969,0.0000000000,6,25
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.1575377107,0.0000000000,1,1
