gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,34.1144,0,34.1144,0.835288
1,0.121208,0,0.121208,0.000822621
2,0.106597,0,0.106597,0.000257648
3,0.103921,0,0.103921,4.96547e-05
4,0.103689,0,0.103689,2.77424e-05
5,0.103432,0,0.103432,1.3696e-05
6,0.103413,0,0.103413,1.19036e-05
7,0.103409,0,0.103409,1.19036e-05
8,0.103409,0,0.103409,1.19036e-05
9,0.103409,0,0.103409,1.19036e-05
10,0.103409,0,0.103409,1.19036e-05
11,0.103409,0,0.103409,1.19036e-05
12,0.103409,0,0.103409,1.19036e-05
13,0.103409,0,0.103409,1.19036e-05
14,0.103409,0,0.103409,1.19036e-05
15,0.103409,0,0.103409,1.19036e-05
16,0.103409,0,0.103409,1.19036e-05
17,0.103409,0,0.103409,1.19036e-05
18,0.103409,0,0.103409,1.19036e-05
19,0.103409,0,0.103409,1.19036e-05
20,0.103409,0,0.103409,1.19036e-05
21,0.103409,0,0.103409,1.19036e-05
22,0.103409,0,0.103409,1.19036e-05
23,0.103409,0,0.103409,1.19036e-05
24,0.103409,0,0.103409,1.19036e-05
25,0.0956333,0,0.0956333,1.19036e-05
26,0.0915498,0,0.0915498,1.19036e-05
27,0.0913472,0,0.0913472,1.19036e-05
28,0.0913202,0,0.0913202,1.19036e-05
29,0.091316,0,0.091316,1.19036e-05
30,0.0913154,0,0.0913154,1.19036e-05
31,0.0913154,0,0.0913154,1.19036e-05
32,0.0913154,0,0.0913154,1.19036e-05
33,0.0913154,0,0.0913154,1.19036e-05
34,0.0913154,0,0.0913154,1.19036e-05
35,0.0913154,0,0.0913154,1.19036e-05
36,0.0913154,0,0.0913154,1.19036e-05
37,0.0913154,0,0.0913154,1.19036e-05
38,0.0913154,0,0.0913154,1.19036e-05
39,0.0913154,0,0.0913154,1.19036e-05
40,0.0913154,0,0.0913154,1.19036e-05
41,0.0913154,0,0.0913154,1.19036e-05
42,0.0913154,0,0.0913154,1.19036e-05
43,0.0913154,0,0.0913154,1.19036e-05
44,0.0913154,0,0.0913154,1.19036e-05
45,0.0913154,0,0.0913154,1.19036e-05
46,0.0913154,0,0.0913154,1.19036e-05
47,0.0913154,0,0.0913154,1.19036e-05
48,0.0913154,0,0.0913154,1.19036e-05
49,0.0913154,0,0.0913154,1.19036e-05
50,0.0705181,0,0.0705181,1.19036e-05
51,0.0705081,0,0.0705081,1.19036e-05
52,0.0705038,0,0.0705038,1.19036e-05
53,0.0705029,0,0.0705029,1.19036e-05
54,0.0705028,0,0.0705028,1.19036e-05
55,0.0705027,0,0.0705027,1.19036e-05
56,0.0705027,0,0.0705027,1.19036e-05
57,0.0705027,0,0.0705027,1.19036e-05
58,0.0705027,0,0.0705027,1.19036e-05
59,0.0705027,0,0.0705027,1.19036e-05
60,0.0705027,0,0.0705027,1.19036e-05
61,0.0705027,0,0.0705027,1.19036e-05
62,0.0705027,0,0.0705027,1.19036e-05
63,0.0705027,0,0.0705027,1.19036e-05
64,0.0705027,0,0.0705027,1.19036e-05
65,0.0705027,0,0.0705027,1.19036e-05
66,0.0705027,0,0.0705027,1.19036e-05
67,0.0705027,0,0.0705027,1.19036e-05
68,0.0705027,0,0.0705027,1.19036e-05
69,0.0705027,0,0.0705027,1.19036e-05
70,0.0705027,0,0.0705027,1.19036e-05
71,0.0705027,0,0.0705027,1.19036e-05
72,0.0705027,0,0.0705027,1.19036e-05
73,0.0705027,0,0.0705027,1.19036e-05
74,0.0705027,0,0.0705027,1.19036e-05
75,0.0524181,0,0.0524181,1.19036e-05
76,0.0524175,0,0.0524175,1.19036e-05
77,0.0524172,0,0.0524172,1.19036e-05
78,0.0524171,0,0.0524171,1.19036e-05
79,0.052417,0,0.052417,1.19036e-05
80,0.052417,0,0.052417,1.19036e-05
81,0.052417,0,0.052417,1.19036e-05
82,0.052417,0,0.052417,1.19036e-05
83,0.052417,0,0.052417,1.19036e-05
84,0.052417,0,0.052417,1.19036e-05
85,0.052417,0,0.052417,1.19036e-05
86,0.052417,0,0.052417,1.19036e-05
87,0.052417,0,0.052417,1.19036e-05
