x,u_exact,u_approx
0,1,1
0.01,0.98612,0.904258
0.02,0.97224,0.810344
0.03,0.959734,0.718269
0.04,0.947287,0.628043
0.05,0.935698,0.539674
0.06,0.924186,0.453173
0.07,0.913315,0.368547
0.08,0.902534,0.285804
0.09,0.892263,0.204952
0.1,0.882091,0.125999
0.11,0.872339,0.0489497
0.12,0.862694,-0.0261885
0.13,0.8534,-0.0994103
0.14,0.844219,-0.17071
0.15,0.835336,-0.240084
0.16,0.826572,-0.307527
0.17,0.818062,-0.373035
0.18,0.809675,-0.436606
0.19,0.801506,-0.498236
0.2,0.793463,-0.557923
0.21,0.785608,-0.615665
0.22,0.777882,-0.67146
0.23,0.770317,-0.725309
0.24,0.762885,-0.777209
0.25,0.755591,-0.827161
0.26,0.748431,-0.875166
0.27,0.74139,-0.921224
0.28,0.734484,-0.965337
0.29,0.72768,-1.00751
0.3,0.721012,-1.04773
0.31,0.714431,-1.08602
0.32,0.707987,-1.12238
0.33,0.701616,-1.1568
0.34,0.695382,-1.18929
0.35,0.689209,-1.21987
0.36,0.683175,-1.24852
0.37,0.67719,-1.27526
0.38,0.671343,-1.30009
0.39,0.665537,-1.32302
0.4,0.659868,-1.34405
0.41,0.654231,-1.3632
0.42,0.648732,-1.38047
0.43,0.643256,-1.39586
0.44,0.637918,-1.40939
0.45,0.632596,-1.42106
0.46,0.627411,-1.43089
0.47,0.622235,-1.43888
0.48,0.617197,-1.44503
0.49,0.612161,-1.44937
0.5,0.607262,-1.4519
0.51,0.602363,-1.45264
0.52,0.597595,-1.45158
0.53,0.592829,-1.44875
0.54,0.588184,-1.44416
0.55,0.583546,-1.43781
0.56,0.579018,-1.42973
0.57,0.574503,-1.41991
0.58,0.570088,-1.40838
0.59,0.565689,-1.39515
0.6,0.561383,-1.38023
0.61,0.557097,-1.36364
0.62,0.552896,-1.34538
0.63,0.548718,-1.32548
0.64,0.544617,-1.30394
0.65,0.540543,-1.28079
0.66,0.536539,-1.25603
0.67,0.532565,-1.22969
0.68,0.528655,-1.20177
0.69,0.524777,-1.17229
0.7,0.520956,-1.14127
0.71,0.517172,-1.10872
0.72,0.513438,-1.07466
0.73,0.509743,-1.03911
0.74,0.506093,-1.00208
0.75,0.502484,-0.963581
0.76,0.498915,-0.923641
0.77,0.495389,-0.882272
0.78,0.491899,-0.83949
0.79,0.488453,-0.795313
0.8,0.485039,-0.749757
0.81,0.481671,-0.70284
0.82,0.47833,-0.654578
0.83,0.475037,-0.60499
0.84,0.471767,-0.554092
0.85,0.468546,-0.501902
0.86,0.465346,-0.448438
0.87,0.462195,-0.393716
0.88,0.459061,-0.337755
0.89,0.455978,-0.280572
0.9,0.452909,-0.222186
0.91,0.449892,-0.162612
0.92,0.446886,-0.10187
0.93,0.443932,-0.0399777
0.94,0.440987,0.023048
0.95,0.438095,0.0871889
0.96,0.435208,0.152427
0.97,0.432377,0.218745
0.98,0.429547,0.286125
0.99,0.426774,0.35455
1,0.424,0.424
