method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-EMOA/D,Airy,2,0.1043078901,0.0000571771,6,1
PISR-EMOA/D,Airy,2,0.0926228265,0.0009810546,6,1
PISR-EMOA/D,Airy,2,0.1033153600,0.0000922143,6,1
PISR-EMOA/D,Airy,2,0.1066809405,0.0000108137,6,1
PISR-EMOA/D,Airy,2,0.1027970182,0.0000820931,6,1
PISR-EMOA/D,Airy,2,0.0987127437,0.0000762609,6,1
PISR-EMOA/D,Airy,2,0.1238284628,0.0001473912,6,1
PISR-EMOA/D,Airy,2,0.1163648610,0.0001312022,6,1
PISR-EMOA/D,Airy,2,0.1005635059,0.0000389371,6,1
PISR-EMOA/D,Airy,2,0.1231972242,0.0001097244,6,1
PISR-EMOA/D,Airy,2,0.1135290574,0.0000795730,6,1
PISR-EMOA/D,Airy,2,0.1001047659,0.0000735643,6,1
PISR-EMOA/D,Airy,2,0.1088224213,0.0001145699,6,1
PISR-EMOA/D,Airy,2,0.0942143746,0.0002470000,6,1
PISR-EMOA/D,Airy,2,0.1054498375,0.0003416278,6,1
PISR-EMOA/D,Airy,2,0.1044276626,0.0000420800,6,1
PISR-EMOA/D,Airy,2,0.0969970884,0.0001428823,6,1
PISR-EMOA/D,Airy,2,0.0961490247,0.0000958857,6,1
PISR-EMOA/D,Airy,2,0.1038479789,0.0000270655,6,1
PISR-EMOA/D,Airy,2,0.0765796199,0.0006978871,6,1
PISR-EMOA/D,Airy,2,0.1155168525,0.0000783258,6,1
PISR-EMOA/D,Airy,2,0.1170122722,0.0000568390,6,1
PISR-EMOA/D,Airy,2,0.0914082451,0.0001758009,6,1
PISR-EMOA/D,Airy,2,0.0979794878,0.0000787012,6,1
PISR-EMOA/D,Airy,2,0.0999200399,0.0001670093,6,1
PISR-EMOA/D,Airy,2,0.1068704583,0.0000044755,6,1
PISR-EMOA/D,Airy,2,0.1233494512,0.0001165985,6,1
PISR-EMOA/D,Airy,2,0.1019666003,0.0000633764,6,1
PISR-EMOA/D,Airy,2,0.0893210214,0.0002275520,6,1
PISR-EMOA/D,Airy,2,0.1051587754,0.0001486973,6,1
PISR-EMOA/D,Airy,2,0.1051025917,0.0000212859,6,1
PISR-EMOA/D,Airy,2,0.1088174935,0.0001610430,6,1
PISR-EMOA/D,Airy,2,0.0887998477,0.0004364302,6,1
PISR-EMOA/D,Airy,2,0.0953350650,0.0001021836,6,1
PISR-EMOA/D,Airy,2,0.0896686207,0.0002790043,6,1
PISR-EMOA/D,Airy,2,0.0971872077,0.0000825584,6,1
PISR-EMOA/D,Airy,2,0.0912086974,0.0002955628,6,1
PISR-EMOA/D,Airy,2,0.0870145343,0.0002962229,6,1
PISR-EMOA/D,Airy,2,0.0936694111,0.0001501908,6,1
PISR-EMOA/D,Airy,2,0.0947887457,0.0001488812,6,1
PISR-EMOA/D,Airy,2,0.0967667087,0.0001205317,6,1
PISR-EMOA/D,Airy,2,0.1110388198,0.0001243486,6,1
PISR-EMOA/D,Airy,2,0.1036604478,0.0000222166,6,1
PISR-EMOA/D,Airy,2,0.1047003560,0.0000583538,6,1
PISR-EMOA/D,Airy,2,0.0911585743,0.0002480630,6,1
PISR-EMOA/D,Airy,2,0.0923689533,0.0002611927,6,1
PISR-EMOA/D,Airy,2,0.1023235138,0.0000239549,6,1
PISR-EMOA/D,Airy,2,0.0683843520,0.0014692561,6,1
PISR-EMOA/D,Airy,2,0.1013090141,0.0000441541,6,1
PISR-EMOA/D,Airy,2,0.0969612904,0.0001458657,6,1
PISR-EMOA/D,Airy,2,0.0991998676,0.0000564075,6,1
PISR-EMOA/D,Airy,2,0.1059459899,0.0001701437,6,1
PISR-EMOA/D,Airy,2,0.1057778331,0.0002903638,6,1
PISR-EMOA/D,Airy,2,0.1052595563,0.0000464679,6,1
PISR-EMOA/D,Airy,2,0.1087225461,0.0000030301,6,1
PISR-EMOA/D,Airy,2,0.1082856427,0.0001099771,6,1
PISR-EMOA/D,Airy,2,0.0964286849,0.0001915436,6,1
PISR-EMOA/D,Airy,2,0.0997896116,0.0000576877,6,1
PISR-EMOA/D,Airy,2,0.1061378498,0.0000483212,6,1
PISR-EMOA/D,Airy,2,0.0861569452,0.0003347918,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
PISR-EMOA/D,Airy,2,0.1090366598,0.0000000000,6,1
