method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Fisher,2,0.0048895987,0.0000674570,10,1
PI-NSGA-II,Fisher,2,0.0052905698,0.0000102388,10,1
PI-NSGA-II,Fisher,2,0.0048370808,0.0000631049,10,1
PI-NSGA-II,Fisher,2,0.0052759357,0.0000218285,10,1
PI-NSGA-II,Fisher,2,0.0052013554,0.0000468242,10,1
PI-NSGA-II,Fisher,2,0.0041358078,0.0001573619,10,1
PI-NSGA-II,Fisher,2,0.0049140192,0.0000045548,10,1
PI-NSGA-II,Fisher,2,0.0053885194,0.0001430091,10,1
PI-NSGA-II,Fisher,2,0.0053964875,0.0000404498,10,1
PI-NSGA-II,Fisher,2,0.0055258111,0.0000332798,10,1
PI-NSGA-II,Fisher,2,0.0052451281,0.0000115312,10,1
PI-NSGA-II,Fisher,2,0.0051194599,0.0000120682,10,1
PI-NSGA-II,Fisher,2,0.0043031837,0.0001925509,10,1
PI-NSGA-II,Fisher,2,0.0051984840,0.0000676032,10,1
PI-NSGA-II,Fisher,2,0.0054871787,0.0000117995,10,1
PI-NSGA-II,Fisher,2,0.0050526352,0.0000135821,10,1
PI-NSGA-II,Fisher,2,0.0043504297,0.0000370214,10,1
PI-NSGA-II,Fisher,2,0.0051185349,0.0000443541,10,1
PI-NSGA-II,Fisher,2,0.0053872253,0.0000065607,10,1
PI-NSGA-II,Fisher,2,0.0050360380,0.0000055503,10,1
PI-NSGA-II,Fisher,2,0.0047113612,0.0000885603,10,1
PI-NSGA-II,Fisher,2,0.0047510094,0.0000357935,10,1
PI-NSGA-II,Fisher,2,0.0057532911,0.0000777532,10,1
PI-NSGA-II,Fisher,2,0.0042730763,0.0000252423,10,1
PI-NSGA-II,Fisher,2,0.0056829408,0.0000162067,10,1
PI-NSGA-II,Fisher,2,0.0046615124,0.0000416596,10,1
PI-NSGA-II,Fisher,2,0.0052716892,0.0000128445,10,1
PI-NSGA-II,Fisher,2,0.0051750186,0.0000360722,10,1
PI-NSGA-II,Fisher,2,0.0052231444,0.0000066621,10,1
PI-NSGA-II,Fisher,2,0.0046920836,0.0000839156,10,1
PI-NSGA-II,Fisher,2,0.0048526920,0.0000173135,10,1
PI-NSGA-II,Fisher,2,0.0041950883,0.0000897196,10,1
PI-NSGA-II,Fisher,2,0.0048546308,0.0000150996,10,1
PI-NSGA-II,Fisher,2,0.0049829860,0.0000095274,10,1
PI-NSGA-II,Fisher,2,0.0053893554,0.0000183652,10,1
PI-NSGA-II,Fisher,2,0.0053789153,0.0000076172,10,1
PI-NSGA-II,Fisher,2,0.0044755322,0.0001110796,10,1
PI-NSGA-II,Fisher,2,0.0054812684,0.0000110280,10,1
PI-NSGA-II,Fisher,2,0.0054747357,0.0001012239,10,1
PI-NSGA-II,Fisher,2,0.0054097982,0.0000583564,10,1
PI-NSGA-II,Fisher,2,0.0053267197,0.0000345703,10,1
PI-NSGA-II,Fisher,2,0.0052365644,0.0000248188,10,1
PI-NSGA-II,Fisher,2,0.0049755527,0.0000696324,10,1
PI-NSGA-II,Fisher,2,0.0050213179,0.0000418369,10,1
PI-NSGA-II,Fisher,2,0.0043266815,0.0000321709,10,1
PI-NSGA-II,Fisher,2,0.0054373123,0.0000515885,10,1
PI-NSGA-II,Fisher,2,0.0051558597,0.0000234072,10,1
PI-NSGA-II,Fisher,2,0.0048347606,0.0001033932,10,1
PI-NSGA-II,Fisher,2,0.0051380791,0.0000260152,10,1
PI-NSGA-II,Fisher,2,0.0047988323,0.0000340150,10,1
PI-NSGA-II,Fisher,2,0.0049914958,0.0000096292,10,1
PI-NSGA-II,Fisher,2,0.0043153320,0.0000097818,10,1
PI-NSGA-II,Fisher,2,0.0051126516,0.0000461724,10,1
PI-NSGA-II,Fisher,2,0.0054231640,0.0000427926,10,1
PI-NSGA-II,Fisher,2,0.0045612981,0.0001587630,10,1
