method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Lane-Emden,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,24
PISR-NSGA-II,Lane-Emden,1,-1,846.1390848060,0.0000000000,12,7
PISR-NSGA-II,Lane-Emden,1,-1,1513.8705062617,0.0000000000,13,13
PISR-NSGA-II,Lane-Emden,1,-1,447.3321702982,0.0000000000,6,1
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,552.3402312226,0.0000000000,7,3
PISR-NSGA-II,Lane-Emden,1,-1,673.7875503546,0.0000000000,9,4
PISR-NSGA-II,Lane-Emden,1,-1,522.7978389190,0.0000000000,3,1
PISR-NSGA-II,Lane-Emden,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,26
PISR-NSGA-II,Lane-Emden,1,-1,1922.7820407766,0.0000000000,6,14
PISR-NSGA-II,Lane-Emden,1,-1,522.7978389190,0.0000000000,3,1
PISR-NSGA-II,Lane-Emden,1,-1,1426.1568738608,0.0000000000,4,10
PISR-NSGA-II,Lane-Emden,1,-1,1443.6597392630,0.0000000000,4,12
PISR-NSGA-II,Lane-Emden,1,-1,1345.2846884003,0.0000000000,7,7
PISR-NSGA-II,Lane-Emden,1,-1,1426.8028967995,0.0000000000,4,11
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,2054.6155560747,0.0000000000,8,15
PISR-NSGA-II,Lane-Emden,1,-1,910.8094525790,0.0000000000,9,7
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,25
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,522.7978389190,0.0000000000,3,1
PISR-NSGA-II,Lane-Emden,1,-1,1345.5853494739,0.0000000000,8,8
PISR-NSGA-II,Lane-Emden,1,-1,507.3145418094,0.0000000000,1,25
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,1396.3178505773,0.0000000000,4,8
PISR-NSGA-II,Lane-Emden,1,-1,1345.5853494739,0.0000000000,8,8
PISR-NSGA-II,Lane-Emden,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,24
PISR-NSGA-II,Lane-Emden,1,-1,1389.9109456216,0.0000000000,4,7
PISR-NSGA-II,Lane-Emden,1,-1,805.9083064141,0.0000000000,9,6
PISR-NSGA-II,Lane-Emden,1,-1,513.1809359125,0.0000000000,4,1
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,575.9839988534,0.0000000000,21,4
PISR-NSGA-II,Lane-Emden,1,-1,1365.4869855566,0.0000000000,1,24
PISR-NSGA-II,Lane-Emden,1,-1,10000.0000000000,0.0000000000,6,20
PISR-NSGA-II,Lane-Emden,1,-1,650.4262028824,0.0000000000,3,2
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,24
PISR-NSGA-II,Lane-Emden,1,-1,507.3145418097,0.0000000000,11,17
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,1329.2641107744,0.0000000000,6,6
PISR-NSGA-II,Lane-Emden,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,24
PISR-NSGA-II,Lane-Emden,1,-1,552.3402312226,0.0000000000,7,3
PISR-NSGA-II,Lane-Emden,1,-1,990.3751340377,0.0000000000,11,8
PISR-NSGA-II,Lane-Emden,1,-1,789.5168946168,0.0000000000,9,5
PISR-NSGA-II,Lane-Emden,1,-1,635.6469583199,0.0000000000,6,3
PISR-NSGA-II,Lane-Emden,1,-1,858.6655558128,0.0000000000,15,8
PISR-NSGA-II,Lane-Emden,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,24
PISR-NSGA-II,Lane-Emden,1,-1,2105.2629021983,0.0000000000,3,17
PISR-NSGA-II,Lane-Emden,1,-1,564.0243212108,0.0000000000,4,2
PISR-NSGA-II,Lane-Emden,1,-1,650.4262028824,0.0000000000,3,2
PISR-NSGA-II,Lane-Emden,1,-1,2470.3495346189,0.0000000000,5,20
PISR-NSGA-II,Lane-Emden,1,-1,1345.2846884003,0.0000000000,7,7
PISR-NSGA-II,Lane-Emden,1,-1,507.3145418094,0.0000000000,1,25
PISR-NSGA-II,Lane-Emden,1,-1,650.4262028824,0.0000000000,3,2
PISR-NSGA-II,Lane-Emden,1,-1,1661.9340784174,0.0000000000,11,20
PISR-NSGA-II,Lane-Emden,1,-1,507.3145418094,0.0000000000,1,25
PISR-NSGA-II,Lane-Emden,1,-1,551.0380107015,0.0000000000,6,2
PISR-NSGA-II,Lane-Emden,1,-1,1412.7221121187,0.0000000000,4,9
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,1345.5853494739,0.0000000000,8,8
PISR-NSGA-II,Lane-Emden,1,-1,2738.6474060227,0.0000000000,11,16
PISR-NSGA-II,Lane-Emden,1,-1,1000.3371440950,0.0000000000,11,9
PISR-NSGA-II,Lane-Emden,1,-1,522.7978389190,0.0000000000,3,1
PISR-NSGA-II,Lane-Emden,1,-1,1338.3274369667,0.0000000000,4,6
PISR-NSGA-II,Lane-Emden,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,24
PISR-NSGA-II,Lane-Emden,1,-1,1345.2846884003,0.0000000000,7,7
PISR-NSGA-II,Lane-Emden,1,-1,522.7978389190,0.0000000000,3,1
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,1037.8234776410,0.0000000000,9,8
