x,u_exact,u_approx
0,1,1
0.01,0.995012,0.993852
0.02,0.99005,0.987741
0.03,0.985112,0.981668
0.04,0.980199,0.975633
0.05,0.97531,0.969635
0.06,0.970446,0.963673
0.07,0.965605,0.957748
0.08,0.960789,0.95186
0.09,0.955997,0.946007
0.1,0.951229,0.940191
0.11,0.946485,0.934411
0.12,0.941765,0.928666
0.13,0.937067,0.922956
0.14,0.932394,0.917281
0.15,0.927743,0.911642
0.16,0.923116,0.906037
0.17,0.918512,0.900466
0.18,0.913931,0.89493
0.19,0.909373,0.889427
0.2,0.904837,0.883959
0.21,0.900325,0.878524
0.22,0.895834,0.873123
0.23,0.891366,0.867755
0.24,0.88692,0.862419
0.25,0.882497,0.857117
0.26,0.878095,0.851847
0.27,0.873716,0.84661
0.28,0.869358,0.841405
0.29,0.865022,0.836231
0.3,0.860708,0.83109
0.31,0.856415,0.82598
0.32,0.852144,0.820902
0.33,0.847894,0.815855
0.34,0.843665,0.810839
0.35,0.839457,0.805853
0.36,0.83527,0.800899
0.37,0.831104,0.795974
0.38,0.826959,0.791081
0.39,0.822835,0.786217
0.4,0.818731,0.781383
0.41,0.814647,0.776579
0.42,0.810584,0.771804
0.43,0.806541,0.767059
0.44,0.802519,0.762342
0.45,0.798516,0.757655
0.46,0.794534,0.752997
0.47,0.790571,0.748367
0.48,0.786628,0.743766
0.49,0.782705,0.739193
0.5,0.778801,0.734648
0.51,0.774916,0.730131
0.52,0.771052,0.725642
0.53,0.767206,0.721181
0.54,0.763379,0.716747
0.55,0.759572,0.71234
0.56,0.755784,0.70796
0.57,0.752014,0.703607
0.58,0.748264,0.699281
0.59,0.744532,0.694982
0.6,0.740818,0.690709
0.61,0.737123,0.686462
0.62,0.733447,0.682242
0.63,0.729789,0.678047
0.64,0.726149,0.673878
0.65,0.722527,0.669735
0.66,0.718924,0.665617
0.67,0.715338,0.661524
0.68,0.71177,0.657457
0.69,0.70822,0.653415
0.7,0.704688,0.649397
0.71,0.701173,0.645405
0.72,0.697676,0.641436
0.73,0.694197,0.637493
0.74,0.690734,0.633573
0.75,0.687289,0.629678
0.76,0.683861,0.625806
0.77,0.680451,0.621958
0.78,0.677057,0.618134
0.79,0.67368,0.614334
0.8,0.67032,0.610556
0.81,0.666977,0.606803
0.82,0.66365,0.603072
0.83,0.66034,0.599364
0.84,0.657047,0.595679
0.85,0.65377,0.592016
0.86,0.650509,0.588376
0.87,0.647265,0.584758
0.88,0.644036,0.581163
0.89,0.640824,0.57759
0.9,0.637628,0.574039
0.91,0.634448,0.570509
0.92,0.631284,0.567001
0.93,0.628135,0.563515
0.94,0.625002,0.56005
0.95,0.621885,0.556607
0.96,0.618783,0.553185
0.97,0.615697,0.549783
0.98,0.612626,0.546403
0.99,0.609571,0.543044
1,0.606531,0.539705
