x,u_exact,u_approx
0,0.5,0.5
0.01,0.503471,0.503471
0.02,0.506942,0.506919
0.03,0.510364,0.510343
0.04,0.513783,0.513743
0.05,0.517156,0.51712
0.06,0.520525,0.520473
0.07,0.523849,0.523802
0.08,0.527167,0.527108
0.09,0.530442,0.530389
0.1,0.533709,0.533647
0.11,0.536936,0.536881
0.12,0.540152,0.540091
0.13,0.54333,0.543277
0.14,0.546496,0.54644
0.15,0.549625,0.549578
0.16,0.55274,0.552692
0.17,0.555821,0.555782
0.18,0.558886,0.558848
0.19,0.561919,0.56189
0.2,0.564933,0.564907
0.21,0.567918,0.567901
0.22,0.570882,0.570871
0.23,0.573819,0.573816
0.24,0.576733,0.576737
0.25,0.579622,0.579635
0.26,0.582486,0.582508
0.27,0.585327,0.585357
0.28,0.588142,0.588181
0.29,0.590936,0.590982
0.3,0.593701,0.593759
0.31,0.596448,0.596511
0.32,0.599164,0.599239
0.33,0.601863,0.601944
0.34,0.604531,0.604624
0.35,0.607183,0.60728
0.36,0.609802,0.609912
0.37,0.612408,0.61252
0.38,0.614978,0.615104
0.39,0.617537,0.617665
0.4,0.620059,0.620201
0.41,0.622573,0.622713
0.42,0.625047,0.625202
0.43,0.627514,0.627667
0.44,0.62994,0.630108
0.45,0.632361,0.632525
0.46,0.63474,0.634919
0.47,0.637116,0.637289
0.48,0.639448,0.639636
0.49,0.641778,0.641959
0.5,0.644063,0.644258
0.51,0.646348,0.646534
0.52,0.648587,0.648787
0.53,0.650825,0.651016
0.54,0.65302,0.653222
0.55,0.655211,0.655405
0.56,0.657362,0.657565
0.57,0.659507,0.659702
0.58,0.661613,0.661816
0.59,0.663713,0.663907
0.6,0.665776,0.665975
0.61,0.66783,0.66802
0.62,0.669849,0.670043
0.63,0.671858,0.672043
0.64,0.673834,0.67402
0.65,0.675799,0.675975
0.66,0.677732,0.677908
0.67,0.679651,0.679819
0.68,0.681541,0.681707
0.69,0.683416,0.683573
0.7,0.685264,0.685417
0.71,0.687095,0.68724
0.72,0.688901,0.68904
0.73,0.690688,0.690819
0.74,0.692452,0.692576
0.75,0.694196,0.694312
0.76,0.695918,0.696026
0.77,0.697619,0.69772
0.78,0.6993,0.699392
0.79,0.700957,0.701042
0.8,0.702597,0.702672
0.81,0.704212,0.704281
0.82,0.705811,0.70587
0.83,0.707383,0.707437
0.84,0.708941,0.708985
0.85,0.710471,0.710512
0.86,0.71199,0.712018
0.87,0.713478,0.713505
0.88,0.714956,0.714971
0.89,0.716402,0.716418
0.9,0.71784,0.717845
0.91,0.719246,0.719252
0.92,0.720644,0.72064
0.93,0.722008,0.722009
0.94,0.723367,0.723358
0.95,0.72469,0.724688
0.96,0.72601,0.726
0.97,0.727293,0.727292
0.98,0.728574,0.728566
0.99,0.729816,0.729822
1,0.731059,0.731059
