gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.0610552,0,0.0610552,0.001853
1,0.000394742,0,0.000394742,2.6096e-06
2,0.000394742,0,0.000394742,2.6096e-06
3,0.000394742,0,0.000394742,2.6096e-06
4,0.000394742,0,0.000394742,2.6096e-06
5,0.000125726,0,0.000125726,1.87588e-07
6,0.000125726,0,0.000125726,1.8478e-07
7,0.000125726,0,0.000125726,1.8478e-07
8,0.000125726,0,0.000125726,1.8478e-07
9,0.000125726,0,0.000125726,1.8478e-07
10,0.000125726,0,0.000125726,1.8478e-07
11,0.000125726,0,0.000125726,1.8478e-07
12,0.000125726,0,0.000125726,1.8478e-07
13,0.000125726,0,0.000125726,1.8478e-07
14,0.000125726,0,0.000125726,1.8478e-07
15,0.000125726,0,0.000125726,1.8478e-07
16,0.000125726,0,0.000125726,1.8478e-07
17,0.000125726,0,0.000125726,1.8478e-07
18,0.000125726,0,0.000125726,1.8478e-07
19,0.000125726,0,0.000125726,1.8478e-07
20,0.000125726,0,0.000125726,1.8478e-07
21,0.000125726,0,0.000125726,1.8478e-07
22,0.000125726,0,0.000125726,1.8478e-07
23,0.000125726,0,0.000125726,1.8478e-07
24,0.000125726,0,0.000125726,1.8478e-07
25,0.000105075,0,0.000105075,1.8478e-07
26,0.000105075,0,0.000105075,1.18624e-07
27,0.000105075,0,0.000105075,1.18624e-07
28,0.000105075,0,0.000105075,1.18624e-07
29,0.000105075,0,0.000105075,1.18624e-07
30,0.000105075,0,0.000105075,1.18624e-07
31,0.000105075,0,0.000105075,1.18624e-07
32,0.000105075,0,0.000105075,1.18624e-07
33,0.000105075,0,0.000105075,1.18624e-07
34,0.000105075,0,0.000105075,1.18624e-07
35,0.000105075,0,0.000105075,1.18624e-07
36,0.000105075,0,0.000105075,1.18624e-07
37,0.000105075,0,0.000105075,1.18624e-07
38,0.000105075,0,0.000105075,1.18624e-07
39,0.000105075,0,0.000105075,1.18624e-07
40,0.000105075,0,0.000105075,1.18624e-07
41,0.000105075,0,0.000105075,1.18624e-07
42,0.000105075,0,0.000105075,1.18624e-07
43,0.000105075,0,0.000105075,1.18624e-07
44,0.000105075,0,0.000105075,1.18624e-07
45,0.000105075,0,0.000105075,1.18624e-07
46,0.000105075,0,0.000105075,1.18624e-07
47,0.000105075,0,0.000105075,1.18624e-07
48,0.000105075,0,0.000105075,1.18624e-07
49,0.000105075,0,0.000105075,1.18624e-07
50,7.94862e-05,0,7.94862e-05,1.18624e-07
51,7.94862e-05,0,7.94862e-05,1.1518e-07
52,7.94862e-05,0,7.94862e-05,1.1518e-07
53,7.94862e-05,0,7.94862e-05,1.1518e-07
54,7.94862e-05,0,7.94862e-05,1.1518e-07
55,7.94862e-05,0,7.94862e-05,1.1518e-07
56,7.94862e-05,0,7.94862e-05,1.1518e-07
57,7.94862e-05,0,7.94862e-05,1.1518e-07
58,7.94862e-05,0,7.94862e-05,1.1518e-07
59,7.94862e-05,0,7.94862e-05,1.1518e-07
60,7.94862e-05,0,7.94862e-05,1.1518e-07
