x,y,u_exact,u_approx
0,0,0.5,0.488054
0,0.0333333,0.508333,0.49664
0,0.0666667,0.51666,0.505213
0,0.1,0.524979,0.513768
0,0.133333,0.533284,0.522299
0,0.166667,0.54157,0.530801
0,0.2,0.549834,0.539268
0,0.233333,0.55807,0.547695
0,0.266667,0.566274,0.556078
0,0.3,0.574443,0.56441
0,0.333333,0.58257,0.572687
0,0.366667,0.590653,0.580905
0,0.4,0.598688,0.589059
0,0.433333,0.606669,0.597143
0,0.466667,0.614594,0.605154
0,0.5,0.622459,0.613089
0,0.533333,0.63026,0.620941
0,0.566667,0.637994,0.628709
0,0.6,0.645656,0.636388
0,0.633333,0.653245,0.643975
0,0.666667,0.660756,0.651467
0,0.7,0.668188,0.65886
0,0.733333,0.675536,0.666152
0,0.766667,0.682799,0.673341
0,0.8,0.689974,0.680424
0,0.833333,0.697059,0.687398
0,0.866667,0.704052,0.694262
0,0.9,0.71095,0.701014
0,0.933333,0.717751,0.707652
0,0.966667,0.724455,0.714176
0,1,0.731059,0.720583
0.0333333,0,0.508333,0.49664
0.0333333,0.0333333,0.51666,0.505213
0.0333333,0.0666667,0.524979,0.513768
0.0333333,0.1,0.533284,0.522299
0.0333333,0.133333,0.54157,0.530801
0.0333333,0.166667,0.549834,0.539268
0.0333333,0.2,0.55807,0.547695
0.0333333,0.233333,0.566274,0.556078
0.0333333,0.266667,0.574443,0.56441
0.0333333,0.3,0.58257,0.572687
0.0333333,0.333333,0.590653,0.580905
0.0333333,0.366667,0.598688,0.589059
0.0333333,0.4,0.606669,0.597143
0.0333333,0.433333,0.614594,0.605154
0.0333333,0.466667,0.622459,0.613089
0.0333333,0.5,0.63026,0.620941
0.0333333,0.533333,0.637994,0.628709
0.0333333,0.566667,0.645656,0.636388
0.0333333,0.6,0.653245,0.643975
0.0333333,0.633333,0.660756,0.651467
0.0333333,0.666667,0.668188,0.65886
0.0333333,0.7,0.675536,0.666152
0.0333333,0.733333,0.682799,0.673341
0.0333333,0.766667,0.689974,0.680424
0.0333333,0.8,0.697059,0.687398
0.0333333,0.833333,0.704052,0.694262
0.0333333,0.866667,0.71095,0.701014
0.0333333,0.9,0.717751,0.707652
0.0333333,0.933333,0.724455,0.714176
0.0333333,0.966667,0.731059,0.720583
0.0333333,1,0.737562,0.726873
0.0666667,0,0.51666,0.505213
0.0666667,0.0333333,0.524979,0.513768
0.0666667,0.0666667,0.533284,0.522299
0.0666667,0.1,0.54157,0.530801
0.0666667,0.133333,0.549834,0.539268
0.0666667,0.166667,0.55807,0.547695
0.0666667,0.2,0.566274,0.556078
0.0666667,0.233333,0.574443,0.56441
0.0666667,0.266667,0.58257,0.572687
0.0666667,0.3,0.590653,0.580905
0.0666667,0.333333,0.598688,0.589059
0.0666667,0.366667,0.606669,0.597143
0.0666667,0.4,0.614594,0.605154
0.0666667,0.433333,0.622459,0.613089
0.0666667,0.466667,0.63026,0.620941
0.0666667,0.5,0.637994,0.628709
0.0666667,0.533333,0.645656,0.636388
0.0666667,0.566667,0.653245,0.643975
0.0666667,0.6,0.660756,0.651467
0.0666667,0.633333,0.668188,0.65886
0.0666667,0.666667,0.675536,0.666152
0.0666667,0.7,0.682799,0.673341
0.0666667,0.733333,0.689974,0.680424
0.0666667,0.766667,0.697059,0.687398
0.0666667,0.8,0.704052,0.694262
0.0666667,0.833333,0.71095,0.701014
0.0666667,0.866667,0.717751,0.707652
0.0666667,0.9,0.724455,0.714176
0.0666667,0.933333,0.731059,0.720583
0.0666667,0.966667,0.737562,0.726873
0.0666667,1,0.743962,0.733046
0.1,0,0.524979,0.513768
0.1,0.0333333,0.533284,0.522299
0.1,0.0666667,0.54157,0.530801
0.1,0.1,0.549834,0.539268
0.1,0.133333,0.55807,0.547695
0.1,0.166667,0.566274,0.556078
0.1,0.2,0.574443,0.56441
0.1,0.233333,0.58257,0.572687
0.1,0.266667,0.590653,0.580905
0.1,0.3,0.598688,0.589059
0.1,0.333333,0.606669,0.597143
0.1,0.366667,0.614594,0.605154
0.1,0.4,0.622459,0.613089
0.1,0.433333,0.63026,0.620941
0.1,0.466667,0.637994,0.628709
0.1,0.5,0.645656,0.636388
0.1,0.533333,0.653245,0.643975
0.1,0.566667,0.660756,0.651467
0.1,0.6,0.668188,0.65886
0.1,0.633333,0.675536,0.666152
0.1,0.666667,0.682799,0.673341
0.1,0.7,0.689974,0.680424
0.1,0.733333,0.697059,0.687398
0.1,0.766667,0.704052,0.694262
0.1,0.8,0.71095,0.701014
0.1,0.833333,0.717751,0.707652
0.1,0.866667,0.724455,0.714176
0.1,0.9,0.731059,0.720583
0.1,0.933333,0.737562,0.726873
0.1,0.966667,0.743962,0.733046
0.1,1,0.75026,0.739099
0.133333,0,0.533284,0.522299
0.133333,0.0333333,0.54157,0.530801
0.133333,0.0666667,0.549834,0.539268
0.133333,0.1,0.55807,0.547695
0.133333,0.133333,0.566274,0.556078
0.133333,0.166667,0.574443,0.56441
0.133333,0.2,0.58257,0.572687
0.133333,0.233333,0.590653,0.580905
0.133333,0.266667,0.598688,0.589059
0.133333,0.3,0.606669,0.597143
0.133333,0.333333,0.614594,0.605154
0.133333,0.366667,0.622459,0.613089
0.133333,0.4,0.63026,0.620941
0.133333,0.433333,0.637994,0.628709
0.133333,0.466667,0.645656,0.636388
0.133333,0.5,0.653245,0.643975
0.133333,0.533333,0.660756,0.651467
0.133333,0.566667,0.668188,0.65886
0.133333,0.6,0.675536,0.666152
0.133333,0.633333,0.682799,0.673341
0.133333,0.666667,0.689974,0.680424
0.133333,0.7,0.697059,0.687398
0.133333,0.733333,0.704052,0.694262
0.133333,0.766667,0.71095,0.701014
0.133333,0.8,0.717751,0.707652
0.133333,0.833333,0.724455,0.714176
0.133333,0.866667,0.731059,0.720583
0.133333,0.9,0.737562,0.726873
0.133333,0.933333,0.743962,0.733046
0.133333,0.966667,0.75026,0.739099
0.133333,1,0.756454,0.745034
0.166667,0,0.54157,0.530801
0.166667,0.0333333,0.549834,0.539268
0.166667,0.0666667,0.55807,0.547695
0.166667,0.1,0.566274,0.556078
0.166667,0.133333,0.574443,0.56441
0.166667,0.166667,0.58257,0.572687
0.166667,0.2,0.590653,0.580905
0.166667,0.233333,0.598688,0.589059
0.166667,0.266667,0.606669,0.597143
0.166667,0.3,0.614594,0.605154
0.166667,0.333333,0.622459,0.613089
0.166667,0.366667,0.63026,0.620941
0.166667,0.4,0.637994,0.628709
0.166667,0.433333,0.645656,0.636388
0.166667,0.466667,0.653245,0.643975
0.166667,0.5,0.660756,0.651467
0.166667,0.533333,0.668188,0.65886
0.166667,0.566667,0.675536,0.666152
0.166667,0.6,0.682799,0.673341
0.166667,0.633333,0.689974,0.680424
0.166667,0.666667,0.697059,0.687398
0.166667,0.7,0.704052,0.694262
0.166667,0.733333,0.71095,0.701014
0.166667,0.766667,0.717751,0.707652
0.166667,0.8,0.724455,0.714176
0.166667,0.833333,0.731059,0.720583
0.166667,0.866667,0.737562,0.726873
0.166667,0.9,0.743962,0.733046
0.166667,0.933333,0.75026,0.739099
0.166667,0.966667,0.756454,0.745034
0.166667,1,0.762542,0.750849
0.2,0,0.549834,0.539268
0.2,0.0333333,0.55807,0.547695
0.2,0.0666667,0.566274,0.556078
0.2,0.1,0.574443,0.56441
0.2,0.133333,0.58257,0.572687
0.2,0.166667,0.590653,0.580905
0.2,0.2,0.598688,0.589059
0.2,0.233333,0.606669,0.597143
0.2,0.266667,0.614594,0.605154
0.2,0.3,0.622459,0.613089
0.2,0.333333,0.63026,0.620941
0.2,0.366667,0.637994,0.628709
0.2,0.4,0.645656,0.636388
0.2,0.433333,0.653245,0.643975
0.2,0.466667,0.660756,0.651467
0.2,0.5,0.668188,0.65886
0.2,0.533333,0.675536,0.666152
0.2,0.566667,0.682799,0.673341
0.2,0.6,0.689974,0.680424
0.2,0.633333,0.697059,0.687398
0.2,0.666667,0.704052,0.694262
0.2,0.7,0.71095,0.701014
0.2,0.733333,0.717751,0.707652
0.2,0.766667,0.724455,0.714176
0.2,0.8,0.731059,0.720583
0.2,0.833333,0.737562,0.726873
0.2,0.866667,0.743962,0.733046
0.2,0.9,0.75026,0.739099
0.2,0.933333,0.756454,0.745034
0.2,0.966667,0.762542,0.750849
0.2,1,0.768525,0.756545
0.233333,0,0.55807,0.547695
0.233333,0.0333333,0.566274,0.556078
0.233333,0.0666667,0.574443,0.56441
0.233333,0.1,0.58257,0.572687
0.233333,0.133333,0.590653,0.580905
0.233333,0.166667,0.598688,0.589059
0.233333,0.2,0.606669,0.597143
0.233333,0.233333,0.614594,0.605154
0.233333,0.266667,0.622459,0.613089
0.233333,0.3,0.63026,0.620941
0.233333,0.333333,0.637994,0.628709
0.233333,0.366667,0.645656,0.636388
0.233333,0.4,0.653245,0.643975
0.233333,0.433333,0.660756,0.651467
0.233333,0.466667,0.668188,0.65886
0.233333,0.5,0.675536,0.666152
0.233333,0.533333,0.682799,0.673341
0.233333,0.566667,0.689974,0.680424
0.233333,0.6,0.697059,0.687398
0.233333,0.633333,0.704052,0.694262
0.233333,0.666667,0.71095,0.701014
0.233333,0.7,0.717751,0.707652
0.233333,0.733333,0.724455,0.714176
0.233333,0.766667,0.731059,0.720583
0.233333,0.8,0.737562,0.726873
0.233333,0.833333,0.743962,0.733046
0.233333,0.866667,0.75026,0.739099
0.233333,0.9,0.756454,0.745034
0.233333,0.933333,0.762542,0.750849
0.233333,0.966667,0.768525,0.756545
0.233333,1,0.774401,0.762121
0.266667,0,0.566274,0.556078
0.266667,0.0333333,0.574443,0.56441
0.266667,0.0666667,0.58257,0.572687
0.266667,0.1,0.590653,0.580905
0.266667,0.133333,0.598688,0.589059
0.266667,0.166667,0.606669,0.597143
0.266667,0.2,0.614594,0.605154
