x,u_exact,u_approx
0,1,nan
0.01,0.99995,0.999937
0.02,0.9998,0.999771
0.03,0.99955,0.999505
0.04,0.9992,0.999142
0.05,0.998751,0.998684
0.06,0.998202,0.99813
0.07,0.997553,0.997481
0.08,0.996805,0.996737
0.09,0.995958,0.995898
0.1,0.995012,0.994963
0.11,0.993968,0.993934
0.12,0.992826,0.992809
0.13,0.991586,0.991589
0.14,0.990248,0.990273
0.15,0.988813,0.988861
0.16,0.987282,0.987354
0.17,0.985654,0.985752
0.18,0.983931,0.984054
0.19,0.982112,0.982261
0.2,0.980199,0.980372
0.21,0.978191,0.978389
0.22,0.97609,0.97631
0.23,0.973897,0.974138
0.24,0.971611,0.971872
0.25,0.969233,0.969512
0.26,0.966765,0.967059
0.27,0.964206,0.964514
0.28,0.961558,0.961877
0.29,0.958822,0.959149
0.3,0.955997,0.956331
0.31,0.953086,0.953423
0.32,0.950089,0.950427
0.33,0.947006,0.947343
0.34,0.943839,0.944172
0.35,0.940588,0.940915
0.36,0.937255,0.937574
0.37,0.93384,0.934149
0.38,0.930345,0.930641
0.39,0.92677,0.927052
0.4,0.923116,0.923383
0.41,0.919385,0.919635
0.42,0.915578,0.915809
0.43,0.911695,0.911907
0.44,0.907738,0.90793
0.45,0.903707,0.903879
0.46,0.899605,0.899756
0.47,0.895431,0.895561
0.48,0.891188,0.891297
0.49,0.886876,0.886965
0.5,0.882497,0.882566
0.51,0.878052,0.878101
0.52,0.873541,0.873573
0.53,0.868967,0.868982
0.54,0.864331,0.86433
0.55,0.859633,0.859619
0.56,0.854875,0.854849
0.57,0.850059,0.850023
0.58,0.845185,0.845141
0.59,0.840255,0.840205
0.6,0.83527,0.835217
0.61,0.830232,0.830178
0.62,0.825142,0.825089
0.63,0.820001,0.819952
0.64,0.81481,0.814768
0.65,0.809572,0.809538
0.66,0.804286,0.804264
0.67,0.798956,0.798947
0.68,0.793581,0.793588
0.69,0.788163,0.788189
0.7,0.782705,0.782751
0.71,0.777206,0.777275
0.72,0.771669,0.771762
0.73,0.766094,0.766213
0.74,0.760484,0.76063
0.75,0.75484,0.755014
0.76,0.749162,0.749366
0.77,0.743453,0.743686
0.78,0.737713,0.737977
0.79,0.731945,0.732238
0.8,0.726149,0.726472
0.81,0.720327,0.720678
0.82,0.71448,0.714859
0.83,0.70861,0.709014
0.84,0.702718,0.703144
0.85,0.696805,0.697251
0.86,0.690872,0.691336
0.87,0.684922,0.685398
0.88,0.678955,0.67944
0.89,0.672973,0.673461
0.9,0.666977,0.667462
0.91,0.660968,0.661445
0.92,0.654948,0.655409
0.93,0.648917,0.649355
0.94,0.642878,0.643285
0.95,0.636832,0.637197
0.96,0.630779,0.631094
0.97,0.624721,0.624975
0.98,0.61866,0.618841
0.99,0.612596,0.612693
1,0.606531,0.606531
