x,y,u_exact,u_approx
0,0,0,0.373568
0,0.0333333,0.0330024,0.39576
0,0.0666667,0.0660193,0.417953
0,0.1,0.0990645,0.440145
0,0.133333,0.132151,0.462338
0,0.166667,0.165288,0.484531
0,0.2,0.198486,0.506723
0,0.233333,0.231751,0.528916
0,0.266667,0.265084,0.551109
0,0.3,0.298486,0.573301
0,0.333333,0.331955,0.595494
0,0.366667,0.365484,0.617686
0,0.4,0.399065,0.639879
0,0.433333,0.432686,0.662072
0,0.466667,0.466336,0.684264
0,0.5,0.5,0.706457
0,0.533333,0.533664,0.728649
0,0.566667,0.567314,0.750842
0,0.6,0.600935,0.773035
0,0.633333,0.634516,0.795227
0,0.666667,0.668045,0.81742
0,0.7,0.701514,0.839613
0,0.733333,0.734916,0.861805
0,0.766667,0.768249,0.883998
0,0.8,0.801514,0.90619
0,0.833333,0.834712,0.928383
0,0.866667,0.867849,0.950576
0,0.9,0.900935,0.972768
0,0.933333,0.933981,0.994961
0,0.966667,0.966998,1.01715
0,1,1,1.03935
0.0333333,0,0,0.348872
0.0333333,0.0333333,0.0330067,0.371065
0.0333333,0.0666667,0.0660278,0.393258
0.0333333,0.1,0.0990767,0.41545
0.0333333,0.133333,0.132166,0.437643
0.0333333,0.166667,0.165306,0.459835
0.0333333,0.2,0.198506,0.482028
0.0333333,0.233333,0.231771,0.504221
0.0333333,0.266667,0.265104,0.526413
0.0333333,0.3,0.298506,0.548606
0.0333333,0.333333,0.331973,0.570799
0.0333333,0.366667,0.365499,0.592991
0.0333333,0.4,0.399077,0.615184
0.0333333,0.433333,0.432694,0.637376
0.0333333,0.466667,0.46634,0.659569
0.0333333,0.5,0.5,0.681762
0.0333333,0.533333,0.53366,0.703954
0.0333333,0.566667,0.567306,0.726147
0.0333333,0.6,0.600923,0.74834
0.0333333,0.633333,0.634501,0.770532
0.0333333,0.666667,0.668027,0.792725
0.0333333,0.7,0.701494,0.814917
0.0333333,0.733333,0.734896,0.83711
0.0333333,0.766667,0.768229,0.859303
0.0333333,0.8,0.801494,0.881495
0.0333333,0.833333,0.834694,0.903688
0.0333333,0.866667,0.867834,0.92588
0.0333333,0.9,0.900923,0.948073
0.0333333,0.933333,0.933972,0.970266
0.0333333,0.966667,0.966993,0.992458
0.0333333,1,1,1.01465
0.0666667,0,0,0.324596
0.0666667,0.0333333,0.033011,0.346788
0.0666667,0.0666667,0.0660361,0.368981
0.0666667,0.1,0.0990887,0.391174
0.0666667,0.133333,0.132181,0.413366
0.0666667,0.166667,0.165324,0.435559
0.0666667,0.2,0.198526,0.457751
