method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Duffing,1,-1,35.1160493516,0.0000000000,4,5
PISR-NSGA-II,Duffing,1,-1,21.8799678231,0.0000000000,3,2
PISR-NSGA-II,Duffing,1,-1,3.7583269148,0.0000000000,4,2
PISR-NSGA-II,Duffing,1,-1,3.7583269148,0.0000000000,4,2
PISR-NSGA-II,Duffing,1,-1,6.5466901010,0.0000000000,8,3
PISR-NSGA-II,Duffing,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,14
PISR-NSGA-II,Duffing,1,-1,35.1160493516,0.0000000000,4,5
PISR-NSGA-II,Duffing,1,-1,8.7342231137,0.0000000000,6,4
PISR-NSGA-II,Duffing,1,-1,6.7831187928,0.0000000000,7,3
PISR-NSGA-II,Duffing,1,-1,6.5466901010,0.0000000000,8,3
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,10.6544067432,0.0000000000,3,1
PISR-NSGA-II,Duffing,1,-1,8.7342231137,0.0000000000,6,4
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,3.7583269148,0.0000000000,4,2
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,0.9113553596,0.0000000000,7,1
PISR-NSGA-II,Duffing,1,-1,8.7342231137,0.0000000000,6,4
PISR-NSGA-II,Duffing,1,-1,8.7342231137,0.0000000000,6,4
PISR-NSGA-II,Duffing,1,-1,3.7583269148,0.0000000000,4,2
PISR-NSGA-II,Duffing,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,14
PISR-NSGA-II,Duffing,1,-1,3.7583269148,0.0000000000,4,2
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,4.6427396783,0.0000000000,9,3
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,14
PISR-NSGA-II,Duffing,1,-1,8.7342231137,0.0000000000,6,4
PISR-NSGA-II,Duffing,1,-1,6.7831187928,0.0000000000,7,3
PISR-NSGA-II,Duffing,1,-1,3.7583269148,0.0000000000,4,2
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,21.8799678231,0.0000000000,3,2
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,0.9113553596,0.0000000000,7,1
PISR-NSGA-II,Duffing,1,-1,6.7831187928,0.0000000000,7,3
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,6.5466901010,0.0000000000,8,3
PISR-NSGA-II,Duffing,1,-1,6.7831187928,0.0000000000,7,3
PISR-NSGA-II,Duffing,1,-1,6.7831187928,0.0000000000,7,3
PISR-NSGA-II,Duffing,1,-1,21.8799678231,0.0000000000,3,2
PISR-NSGA-II,Duffing,1,-1,35.1160493516,0.0000000000,4,5
PISR-NSGA-II,Duffing,1,-1,10.6544067432,0.0000000000,3,1
PISR-NSGA-II,Duffing,1,-1,6.7831187928,0.0000000000,7,3
PISR-NSGA-II,Duffing,1,-1,8.7342231137,0.0000000000,6,4
PISR-NSGA-II,Duffing,1,-1,35.1160493516,0.0000000000,4,5
PISR-NSGA-II,Duffing,1,-1,0.9113553596,0.0000000000,7,1
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,6.7831187928,0.0000000000,7,3
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,3.7583269148,0.0000000000,4,2
PISR-NSGA-II,Duffing,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,14
PISR-NSGA-II,Duffing,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,14
PISR-NSGA-II,Duffing,1,-1,6.7831187928,0.0000000000,7,3
PISR-NSGA-II,Duffing,1,-1,0.9113553596,0.0000000000,7,1
PISR-NSGA-II,Duffing,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,14
PISR-NSGA-II,Duffing,1,-1,6.5466901010,0.0000000000,8,3
PISR-NSGA-II,Duffing,1,-1,6.5466901010,0.0000000000,8,3
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,3.7583269148,0.0000000000,4,2
PISR-NSGA-II,Duffing,1,-1,3.7583269148,0.0000000000,4,2
PISR-NSGA-II,Duffing,1,-1,398.6870558233,0.0000000000,5,11
PISR-NSGA-II,Duffing,1,-1,10.6544067432,0.0000000000,3,1
