method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,HarmonicOscillator,1,0.0001834782,0.0000000000,6,1
PISR-NSGA-II,HarmonicOscillator,1,0.0005460944,0.0000000000,5,1
PISR-NSGA-II,HarmonicOscillator,1,0.0005460944,0.0000000000,5,1
PISR-NSGA-II,HarmonicOscillator,1,0.0015153282,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0700567658,0.0000000000,3,1
PISR-NSGA-II,HarmonicOscillator,1,0.0005460971,0.0000000000,5,2
PISR-NSGA-II,HarmonicOscillator,1,0.0002286501,0.0000000000,6,2
PISR-NSGA-II,HarmonicOscillator,1,0.0015205506,0.0000000000,4,2
PISR-NSGA-II,HarmonicOscillator,1,0.0015205506,0.0000000000,4,2
PISR-NSGA-II,HarmonicOscillator,1,0.0015205506,0.0000000000,4,2
PISR-NSGA-II,HarmonicOscillator,1,0.0015205506,0.0000000000,4,2
PISR-NSGA-II,HarmonicOscillator,1,0.0758152273,0.0000000000,3,2
PISR-NSGA-II,HarmonicOscillator,1,0.0015205506,0.0000000000,4,2
PISR-NSGA-II,HarmonicOscillator,1,0.0002725721,0.0000000000,10,3
PISR-NSGA-II,HarmonicOscillator,1,0.0903446691,0.0000000000,3,3
PISR-NSGA-II,HarmonicOscillator,1,0.0015424213,0.0000000000,4,3
PISR-NSGA-II,HarmonicOscillator,1,0.0012994658,0.0000000000,8,3
PISR-NSGA-II,HarmonicOscillator,1,0.0006502876,0.0000000000,10,4
PISR-NSGA-II,HarmonicOscillator,1,0.0015467549,0.0000000000,4,4
PISR-NSGA-II,HarmonicOscillator,1,0.1423087893,0.0000000000,3,4
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,5
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,5
PISR-NSGA-II,HarmonicOscillator,1,0.0009921162,0.0000000000,12,5
PISR-NSGA-II,HarmonicOscillator,1,0.0009921162,0.0000000000,12,5
PISR-NSGA-II,HarmonicOscillator,1,0.0009921162,0.0000000000,12,5
PISR-NSGA-II,HarmonicOscillator,1,0.0015497836,0.0000000000,4,5
PISR-NSGA-II,HarmonicOscillator,1,0.0014536279,0.0000000000,13,6
PISR-NSGA-II,HarmonicOscillator,1,0.0015728253,0.0000000000,9,6
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,6
PISR-NSGA-II,HarmonicOscillator,1,0.0015745410,0.0000000000,4,6
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,7
PISR-NSGA-II,HarmonicOscillator,1,0.0014734818,0.0000000000,13,7
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,7
PISR-NSGA-II,HarmonicOscillator,1,0.0016552378,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,8
PISR-NSGA-II,HarmonicOscillator,1,0.0017297441,0.0000000000,4,8
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,9
PISR-NSGA-II,HarmonicOscillator,1,0.0018754413,0.0000000000,8,9
PISR-NSGA-II,HarmonicOscillator,1,0.0019771610,0.0000000000,4,9
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,10
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,10
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,10
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,10
PISR-NSGA-II,HarmonicOscillator,1,0.0018758094,0.0000000000,8,10
PISR-NSGA-II,HarmonicOscillator,1,0.0018758094,0.0000000000,8,10
PISR-NSGA-II,HarmonicOscillator,1,0.0018758094,0.0000000000,8,10
PISR-NSGA-II,HarmonicOscillator,1,0.0018758094,0.0000000000,8,10
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,10
PISR-NSGA-II,HarmonicOscillator,1,0.0022280753,0.0000000000,4,10
PISR-NSGA-II,HarmonicOscillator,1,0.1483896366,0.0000000000,3,11
PISR-NSGA-II,HarmonicOscillator,1,0.0018787708,0.0000000000,8,11
PISR-NSGA-II,HarmonicOscillator,1,0.0018787708,0.0000000000,8,11
PISR-NSGA-II,HarmonicOscillator,1,0.0018787708,0.0000000000,8,11
