method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-EMOA/D,Lane-Emden,1,0.0168427549,0.0001097442,6,1
PISR-EMOA/D,Lane-Emden,1,0.0179828101,0.0000902532,6,1
PISR-EMOA/D,Lane-Emden,1,0.0209353812,0.0002855887,6,1
PISR-EMOA/D,Lane-Emden,1,0.0178526176,0.0000985052,6,1
PISR-EMOA/D,Lane-Emden,1,0.0200318523,0.0000899981,6,1
PISR-EMOA/D,Lane-Emden,1,0.0187102294,0.0000713767,6,1
PISR-EMOA/D,Lane-Emden,1,0.0256735631,0.0000900368,6,1
PISR-EMOA/D,Lane-Emden,1,0.0170965320,0.0007352529,6,1
PISR-EMOA/D,Lane-Emden,1,0.0182987990,0.0001016829,6,1
PISR-EMOA/D,Lane-Emden,1,0.0173343359,0.0003161796,6,1
PISR-EMOA/D,Lane-Emden,1,0.0168173460,0.0001081795,6,1
PISR-EMOA/D,Lane-Emden,1,0.0182657876,0.0000947763,6,1
PISR-EMOA/D,Lane-Emden,1,0.0474096183,0.0001830782,6,1
PISR-EMOA/D,Lane-Emden,1,0.0283385488,0.0001439451,6,1
PISR-EMOA/D,Lane-Emden,1,0.0175717985,0.0001738800,6,1
PISR-EMOA/D,Lane-Emden,1,0.0442724398,0.0010640974,6,1
PISR-EMOA/D,Lane-Emden,1,0.0189720594,0.0000863479,6,1
PISR-EMOA/D,Lane-Emden,1,0.0220234865,0.0000563634,6,1
PISR-EMOA/D,Lane-Emden,1,0.0193665546,0.0000763371,6,1
PISR-EMOA/D,Lane-Emden,1,0.0427111766,0.0009118945,6,1
PISR-EMOA/D,Lane-Emden,1,0.0165196731,0.0004653967,6,1
PISR-EMOA/D,Lane-Emden,1,0.0178168872,0.0000975514,6,1
PISR-EMOA/D,Lane-Emden,1,0.0169340853,0.0001267459,6,1
PISR-EMOA/D,Lane-Emden,1,0.0253282037,0.0001841255,6,1
PISR-EMOA/D,Lane-Emden,1,0.0191431444,0.0001127631,6,1
PISR-EMOA/D,Lane-Emden,1,0.0176206728,0.0001151698,6,1
