gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.656455,0,0.656455,0.00522341
1,0.585741,0,0.585741,0.00012201
2,0.544061,0,0.544061,9.22329e-05
3,0.490055,0,0.490055,7.72969e-05
4,0.44316,0,0.44316,6.05191e-05
5,0.420881,0,0.420881,4.80891e-05
6,0.369735,0,0.369735,4.28241e-05
7,0.353492,0,0.353492,3.21731e-05
8,0.332158,0,0.332158,2.91842e-05
9,0.310013,0,0.310013,2.55298e-05
10,0.21382,0,0.21382,2.20488e-05
11,0.206035,0,0.206035,1.02884e-05
12,0.200362,0,0.200362,9.55555e-06
13,0.194339,0,0.194339,9.0407e-06
14,0.189242,0,0.189242,8.51152e-06
15,0.181263,0,0.181263,8.07765e-06
16,0.175349,0,0.175349,7.42351e-06
17,0.167069,0,0.167069,6.95826e-06
18,0.157919,0,0.157919,6.33448e-06
19,0.154446,0,0.154446,5.68215e-06
20,0.122679,0,0.122679,5.4445e-06
21,0.118082,0,0.118082,3.51953e-06
22,0.11396,0,0.11396,3.2772e-06
23,0.109026,0,0.109026,3.06746e-06
24,0.105923,0,0.105923,2.82575e-06
25,0.0657004,0,0.0657004,2.67898e-06
26,0.0650442,0,0.0650442,2.1661e-06
27,0.0629062,0,0.0629062,2.12715e-06
28,0.0623023,0,0.0623023,2.00264e-06
29,0.0582173,0,0.0582173,1.96814e-06
30,0.0515046,0,0.0515046,1.74246e-06
31,0.0510926,0,0.0510926,1.40058e-06
32,0.0482154,0,0.0482154,1.38076e-06
33,0.0454391,0,0.0454391,1.24615e-06
34,0.0443514,0,0.0443514,1.1225e-06
35,0.0416738,0,0.0416738,1.07572e-06
36,0.0392506,0,0.0392506,9.6456e-07
37,2.97613e-08,0,2.97613e-08,8.68862e-07
