method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Airy_1D,193,0.0000000000,0.0000000000,0.0699086758,0.1960746319,0.9599998167,0.3110785360
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000063930
PI-NSGA-II,Fisher_1D,160,0.0000000000,0.0000000000,0.0262166475,0.0297730725,0.8999975170,0.6836157390
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000155990
PI-NSGA-II,Duffing_1D,300,0.0349343576,0.0000000000,0.2045207847,0.0146304750,0.9696901503,167.1970824360
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000340520
PI-NSGA-II,ThomasFermi_1D,279,0.0000000000,0.0000000000,19.3407385916,0.7128287704,0.9599927399,0.6543583990
RK4/FDM,ThomasFermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000352140
PI-NSGA-II,Airy_2D,166,0.0000000000,0.0000000000,0.1461452178,0.0780358375,0.8749969922,0.5925459440
RK4/FDM,Airy_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1051784550
PI-NSGA-II,Fisher_2D,175,0.0000000000,0.0000000000,0.0059343551,0.0826198903,0.8999987283,1.3435949610
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1158936240
PI-NSGA-II,Duffing_2D,300,0.0533724079,0.0000000000,0.3781632313,0.0828852168,0.9696901474,189.6744102690
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1737233300
PI-NSGA-II,ThomasFermi_2D,194,0.0000000000,0.0000000000,2.4939834451,0.1850444643,0.9411734475,1.5215301040
RK4/FDM,ThomasFermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2673816610
PI-NSGA-II,Navier-Stokes_2D,119,0.0000000000,0.0000000000,0.0019505468,0.0000009696,0.9285714279,8.1826107340
PI-NSGA-II,Navier-Stokes-Unsteady_2D,141,0.0000000000,0.0000000000,0.6124099308,0.0000000000,0.9285714286,10.5760654090
PI-NSGA-II,Lane-Emden_1D,185,0.0000000000,0.0000000000,0.0450670669,0.1912521577,0.9599998586,0.7725927200
RK4/FDM,Lane-Emden_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000853030
PI-NSGA-II,Troesch_1D,105,0.0000000000,0.0000000000,4.7832794124,0.2750584485,0.9599999806,0.3545499320
RK4/FDM,Troesch_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000836390
PI-NSGA-II,Ginzburg-Landau_1D,81,0.0000000000,0.0000000000,0.0398681999,0.1477990731,0.8571424511,0.2002949800
RK4/FDM,Ginzburg-Landau_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000192660
PI-NSGA-II,Painleve-I_1D,300,0.0055282286,0.0000000000,0.3646978889,0.0340013597,0.9230675115,74.8418999300
RK4/FDM,Painleve-I_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000178170
