x,y,u_exact,u_approx
0,0,1,1
0,0.0333333,0.983471,0.97935
0,0.0666667,0.967216,0.959127
0,0.1,0.951229,0.939321
0,0.133333,0.935507,0.919924
0,0.166667,0.920044,0.900928
0,0.2,0.904837,0.882324
0,0.233333,0.889882,0.864104
0,0.266667,0.875173,0.84626
0,0.3,0.860708,0.828785
0,0.333333,0.846482,0.81167
0,0.366667,0.832491,0.794909
0,0.4,0.818731,0.778494
0,0.433333,0.805198,0.762418
0,0.466667,0.79189,0.746674
0,0.5,0.778801,0.731255
0,0.533333,0.765928,0.716154
0,0.566667,0.753269,0.701365
0,0.6,0.740818,0.686882
0,0.633333,0.728574,0.672697
0,0.666667,0.716531,0.658806
0,0.7,0.704688,0.645201
0,0.733333,0.693041,0.631877
0,0.766667,0.681586,0.618828
0,0.8,0.67032,0.606049
0,0.833333,0.659241,0.593534
0,0.866667,0.648344,0.581277
0,0.9,0.637628,0.569273
0,0.933333,0.627089,0.557517
0,0.966667,0.616724,0.546003
0,1,0.606531,0.534728
0.0333333,0,0.983471,0.97935
0.0333333,0.0333333,0.967216,0.959127
0.0333333,0.0666667,0.951229,0.939321
0.0333333,0.1,0.935507,0.919924
0.0333333,0.133333,0.920044,0.900928
0.0333333,0.166667,0.904837,0.882324
0.0333333,0.2,0.889882,0.864104
0.0333333,0.233333,0.875173,0.84626
0.0333333,0.266667,0.860708,0.828785
0.0333333,0.3,0.846482,0.81167
0.0333333,0.333333,0.832491,0.794909
0.0333333,0.366667,0.818731,0.778494
0.0333333,0.4,0.805198,0.762418
0.0333333,0.433333,0.79189,0.746674
0.0333333,0.466667,0.778801,0.731255
0.0333333,0.5,0.765928,0.716154
0.0333333,0.533333,0.753269,0.701365
0.0333333,0.566667,0.740818,0.686882
0.0333333,0.6,0.728574,0.672697
0.0333333,0.633333,0.716531,0.658806
0.0333333,0.666667,0.704688,0.645201
0.0333333,0.7,0.693041,0.631877
0.0333333,0.733333,0.681586,0.618828
0.0333333,0.766667,0.67032,0.606049
0.0333333,0.8,0.659241,0.593534
0.0333333,0.833333,0.648344,0.581277
0.0333333,0.866667,0.637628,0.569273
0.0333333,0.9,0.627089,0.557517
0.0333333,0.933333,0.616724,0.546003
0.0333333,0.966667,0.606531,0.534728
0.0333333,1,0.596506,0.523685
0.0666667,0,0.967216,0.959127
0.0666667,0.0333333,0.951229,0.939321
0.0666667,0.0666667,0.935507,0.919924
0.0666667,0.1,0.920044,0.900928
0.0666667,0.133333,0.904837,0.882324
0.0666667,0.166667,0.889882,0.864104
0.0666667,0.2,0.875173,0.84626
0.0666667,0.233333,0.860708,0.828785
0.0666667,0.266667,0.846482,0.81167
0.0666667,0.3,0.832491,0.794909
0.0666667,0.333333,0.818731,0.778494
0.0666667,0.366667,0.805198,0.762418
0.0666667,0.4,0.79189,0.746674
0.0666667,0.433333,0.778801,0.731255
0.0666667,0.466667,0.765928,0.716154
0.0666667,0.5,0.753269,0.701365
0.0666667,0.533333,0.740818,0.686882
0.0666667,0.566667,0.728574,0.672697
0.0666667,0.6,0.716531,0.658806
0.0666667,0.633333,0.704688,0.645201
0.0666667,0.666667,0.693041,0.631877
0.0666667,0.7,0.681586,0.618828
0.0666667,0.733333,0.67032,0.606049
0.0666667,0.766667,0.659241,0.593534
0.0666667,0.8,0.648344,0.581277
0.0666667,0.833333,0.637628,0.569273
0.0666667,0.866667,0.627089,0.557517
0.0666667,0.9,0.616724,0.546003
0.0666667,0.933333,0.606531,0.534728
0.0666667,0.966667,0.596506,0.523685
0.0666667,1,0.586646,0.51287
0.1,0,0.951229,0.939321
0.1,0.0333333,0.935507,0.919924
0.1,0.0666667,0.920044,0.900928
0.1,0.1,0.904837,0.882324
0.1,0.133333,0.889882,0.864104
0.1,0.166667,0.875173,0.84626
0.1,0.2,0.860708,0.828785
0.1,0.233333,0.846482,0.81167
0.1,0.266667,0.832491,0.794909
0.1,0.3,0.818731,0.778494
0.1,0.333333,0.805198,0.762418
0.1,0.366667,0.79189,0.746674
0.1,0.4,0.778801,0.731255
0.1,0.433333,0.765928,0.716154
0.1,0.466667,0.753269,0.701365
0.1,0.5,0.740818,0.686882
0.1,0.533333,0.728574,0.672697
0.1,0.566667,0.716531,0.658806
0.1,0.6,0.704688,0.645201
0.1,0.633333,0.693041,0.631877
0.1,0.666667,0.681586,0.618828
0.1,0.7,0.67032,0.606049
0.1,0.733333,0.659241,0.593534
0.1,0.766667,0.648344,0.581277
0.1,0.8,0.637628,0.569273
0.1,0.833333,0.627089,0.557517
0.1,0.866667,0.616724,0.546003
0.1,0.9,0.606531,0.534728
0.1,0.933333,0.596506,0.523685
0.1,0.966667,0.586646,0.51287
0.1,1,0.57695,0.502279
0.133333,0,0.935507,0.919924
0.133333,0.0333333,0.920044,0.900928
0.133333,0.0666667,0.904837,0.882324
0.133333,0.1,0.889882,0.864104
0.133333,0.133333,0.875173,0.84626
0.133333,0.166667,0.860708,0.828785
0.133333,0.2,0.846482,0.81167
0.133333,0.233333,0.832491,0.794909
0.133333,0.266667,0.818731,0.778494
0.133333,0.3,0.805198,0.762418
0.133333,0.333333,0.79189,0.746674
0.133333,0.366667,0.778801,0.731255
0.133333,0.4,0.765928,0.716154
0.133333,0.433333,0.753269,0.701365
0.133333,0.466667,0.740818,0.686882
0.133333,0.5,0.728574,0.672697
0.133333,0.533333,0.716531,0.658806
0.133333,0.566667,0.704688,0.645201
0.133333,0.6,0.693041,0.631877
0.133333,0.633333,0.681586,0.618828
0.133333,0.666667,0.67032,0.606049
0.133333,0.7,0.659241,0.593534
0.133333,0.733333,0.648344,0.581277
0.133333,0.766667,0.637628,0.569273
0.133333,0.8,0.627089,0.557517
0.133333,0.833333,0.616724,0.546003
0.133333,0.866667,0.606531,0.534728
0.133333,0.9,0.596506,0.523685
0.133333,0.933333,0.586646,0.51287
0.133333,0.966667,0.57695,0.502279
0.133333,1,0.567414,0.491906
0.166667,0,0.920044,0.900928
0.166667,0.0333333,0.904837,0.882324
0.166667,0.0666667,0.889882,0.864104
0.166667,0.1,0.875173,0.84626
0.166667,0.133333,0.860708,0.828785
0.166667,0.166667,0.846482,0.81167
0.166667,0.2,0.832491,0.794909
0.166667,0.233333,0.818731,0.778494
0.166667,0.266667,0.805198,0.762418
0.166667,0.3,0.79189,0.746674
0.166667,0.333333,0.778801,0.731255
0.166667,0.366667,0.765928,0.716154
0.166667,0.4,0.753269,0.701365
0.166667,0.433333,0.740818,0.686882
0.166667,0.466667,0.728574,0.672697
0.166667,0.5,0.716531,0.658806
0.166667,0.533333,0.704688,0.645201
0.166667,0.566667,0.693041,0.631877
0.166667,0.6,0.681586,0.618828
0.166667,0.633333,0.67032,0.606049
0.166667,0.666667,0.659241,0.593534
0.166667,0.7,0.648344,0.581277
0.166667,0.733333,0.637628,0.569273
0.166667,0.766667,0.627089,0.557517
0.166667,0.8,0.616724,0.546003
0.166667,0.833333,0.606531,0.534728
0.166667,0.866667,0.596506,0.523685
0.166667,0.9,0.586646,0.51287
0.166667,0.933333,0.57695,0.502279
0.166667,0.966667,0.567414,0.491906
0.166667,1,0.558035,0.481748
0.2,0,0.904837,0.882324
0.2,0.0333333,0.889882,0.864104
0.2,0.0666667,0.875173,0.84626
0.2,0.1,0.860708,0.828785
0.2,0.133333,0.846482,0.81167
0.2,0.166667,0.832491,0.794909
0.2,0.2,0.818731,0.778494
0.2,0.233333,0.805198,0.762418
0.2,0.266667,0.79189,0.746674
0.2,0.3,0.778801,0.731255
0.2,0.333333,0.765928,0.716154
0.2,0.366667,0.753269,0.701365
0.2,0.4,0.740818,0.686882
0.2,0.433333,0.728574,0.672697
0.2,0.466667,0.716531,0.658806
0.2,0.5,0.704688,0.645201
0.2,0.533333,0.693041,0.631877
0.2,0.566667,0.681586,0.618828
0.2,0.6,0.67032,0.606049
0.2,0.633333,0.659241,0.593534
0.2,0.666667,0.648344,0.581277
0.2,0.7,0.637628,0.569273
0.2,0.733333,0.627089,0.557517
0.2,0.766667,0.616724,0.546003
0.2,0.8,0.606531,0.534728
0.2,0.833333,0.596506,0.523685
0.2,0.866667,0.586646,0.51287
0.2,0.9,0.57695,0.502279
0.2,0.933333,0.567414,0.491906
0.2,0.966667,0.558035,0.481748
0.2,1,0.548812,0.471799
0.233333,0,0.889882,0.864104
0.233333,0.0333333,0.875173,0.84626
0.233333,0.0666667,0.860708,0.828785
0.233333,0.1,0.846482,0.81167
0.233333,0.133333,0.832491,0.794909
0.233333,0.166667,0.818731,0.778494
0.233333,0.2,0.805198,0.762418
0.233333,0.233333,0.79189,0.746674
0.233333,0.266667,0.778801,0.731255
0.233333,0.3,0.765928,0.716154
0.233333,0.333333,0.753269,0.701365
0.233333,0.366667,0.740818,0.686882
0.233333,0.4,0.728574,0.672697
0.233333,0.433333,0.716531,0.658806
0.233333,0.466667,0.704688,0.645201
0.233333,0.5,0.693041,0.631877
0.233333,0.533333,0.681586,0.618828
0.233333,0.566667,0.67032,0.606049
0.233333,0.6,0.659241,0.593534
0.233333,0.633333,0.648344,0.581277
0.233333,0.666667,0.637628,0.569273
0.233333,0.7,0.627089,0.557517
0.233333,0.733333,0.616724,0.546003
0.233333,0.766667,0.606531,0.534728
0.233333,0.8,0.596506,0.523685
0.233333,0.833333,0.586646,0.51287
0.233333,0.866667,0.57695,0.502279
0.233333,0.9,0.567414,0.491906
0.233333,0.933333,0.558035,0.481748
0.233333,0.966667,0.548812,0.471799
0.233333,1,0.539741,0.462056
0.266667,0,0.875173,0.84626
0.266667,0.0333333,0.860708,0.828785
0.266667,0.0666667,0.846482,0.81167
0.266667,0.1,0.832491,0.794909
0.266667,0.133333,0.818731,0.778494
0.266667,0.166667,0.805198,0.762418
0.266667,0.2,0.79189,0.746674
0.266667,0.233333,0.778801,0.731255
0.266667,0.266667,0.765928,0.716154
0.266667,0.3,0.753269,0.701365
0.266667,0.333333,0.740818,0.686882
0.266667,0.366667,0.728574,0.672697
0.266667,0.4,0.716531,0.658806
0.266667,0.433333,0.704688,0.645201
0.266667,0.466667,0.693041,0.631877
0.266667,0.5,0.681586,0.618828
0.266667,0.533333,0.67032,0.606049
0.266667,0.566667,0.659241,0.593534
0.266667,0.6,0.648344,0.581277
0.266667,0.633333,0.637628,0.569273
0.266667,0.666667,0.627089,0.557517
0.266667,0.7,0.616724,0.546003
0.266667,0.733333,0.606531,0.534728
0.266667,0.766667,0.596506,0.523685
0.266667,0.8,0.586646,0.51287
0.266667,0.833333,0.57695,0.502279
0.266667,0.866667,0.567414,0.491906
0.266667,0.9,0.558035,0.481748
0.266667,0.933333,0.548812,0.471799
0.266667,0.966667,0.539741,0.462056
0.266667,1,0.530819,0.452514
0.3,0,0.860708,0.828785
0.3,0.0333333,0.846482,0.81167
0.3,0.0666667,0.832491,0.794909
0.3,0.1,0.818731,0.778494
0.3,0.133333,0.805198,0.762418
