gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,1.0266e-06,0.016699,0.0167,1e+18
1,292.869,2564.86,2857.72,1e+18
2,292.869,2564.86,2857.72,1e+18
3,0.092238,0.429907,0.522145,1e+18
4,2.16146e-05,0.429907,0.429929,0.737778
5,2.88878e-05,0.13178,0.131809,0.665276
6,4.0752e-05,0.0763987,0.0764395,0.253182
7,4.71542e-05,0.0392374,0.0392846,0.253182
8,8.1685e-07,0.00570912,0.00570994,0.224782
9,6.29665e-07,0.0021016,0.00210223,0.224782
10,1.34736e-07,0.00029251,0.000292645,0.224782
11,7.65198e-15,6.7565e-15,1.44085e-14,0.224782
12,7.61683e-15,6.58932e-15,1.42061e-14,0.224782
13,7.61339e-15,6.57325e-15,1.41866e-14,0.224782
14,7.61166e-15,6.56523e-15,1.41769e-14,0.224782
15,7.61166e-15,6.56523e-15,1.41769e-14,0.224782
16,4.58617e-09,1.33836e-09,5.92452e-09,0.224782
17,9.45336e-10,1.13705e-10,1.05904e-09,0.224782
18,8.03149e-11,9.66031e-12,8.99752e-11,0.224782
19,7.25063e-11,8.72109e-12,8.12274e-11,0.224782
20,3.4086e-05,0.0611937,0.0612278,0.224782
21,8.12098e-06,0.0611937,0.0612018,0.224782
22,6.81556e-06,0.0611937,0.0612005,0.224782
23,6.77194e-06,0.0611937,0.0612005,0.224782
24,6.72978e-06,0.0611937,0.0612004,0.224782
25,6.86723e-06,0.050038,0.0500448,0.224782
26,6.85661e-06,0.0500337,0.0500405,0.224782
27,6.82826e-06,0.0229024,0.0229092,0.224782
28,6.85398e-06,0.000386607,0.000393461,0.224782
29,6.85588e-06,8.74748e-06,1.56034e-05,0.224782
30,8.54313e-11,2.43261e-11,1.09757e-10,0.224782
31,2.05759e-06,0.00440879,0.00441085,0.224782
32,1.76291e-06,0.00377738,0.00377914,0.224782
33,1.41453e-06,0.0029799,0.00298131,0.224782
34,3.61899e-08,3.5818e-05,3.58542e-05,0.224782
35,3.95795e-08,2.50151e-06,2.54109e-06,0.224782
36,3.65165e-08,1.744e-07,2.10917e-07,0.224782
37,3.19649e-08,3.92616e-09,3.58911e-08,0.224782
38,3.86195e-09,4.25632e-10,4.28758e-09,0.224782
39,2.65296e-10,3.31555e-11,2.98451e-10,0.224782
40,6.06618e-11,1.53225e-11,7.59843e-11,0.224782
41,1.13503e-14,1.32292e-15,1.26732e-14,0.224782
42,3.71052e-10,7.19521e-09,7.56626e-09,0.224782
43,1.3824e-10,2.68065e-09,2.81889e-09,0.224782
44,5.96929e-11,1.15753e-09,1.21722e-09,0.224782
45,4.67788e-11,1.02061e-09,1.06739e-09,0.224782
46,3.42485e-06,1.3078e-06,4.73265e-06,0.224782
47,1.18067e-07,4.80361e-07,5.98428e-07,0.224782
48,1.23067e-08,1.39411e-07,1.51718e-07,0.224782
49,2.50579e-09,3.78513e-08,4.03571e-08,0.224782
50,9.95765e-11,2.10854e-09,2.20811e-09,0.224782
51,9.95449e-11,2.10787e-09,2.20742e-09,0.224782
52,9.95449e-11,2.10787e-09,2.20742e-09,0.224782
53,9.95449e-11,2.10787e-09,2.20742e-09,0.224782
54,9.95449e-11,2.10787e-09,2.20742e-09,0.224782
55,9.95449e-11,2.10787e-09,2.20742e-09,0.224782
56,9.95449e-11,2.10787e-09,2.20742e-09,0.224782
57,9.95449e-11,2.10787e-09,2.20742e-09,0.224782
58,9.95449e-11,2.10787e-09,2.20742e-09,0.224782
59,9.95449e-11,2.10787e-09,2.20742e-09,0.224782
60,9.95331e-11,2.10762e-09,2.20716e-09,0.224782
61,9.95331e-11,2.10762e-09,2.20716e-09,0.224782
62,9.95331e-11,2.10762e-09,2.20716e-09,0.224782
63,9.95331e-11,2.10762e-09,2.20716e-09,0.224782
64,9.95331e-11,2.10762e-09,2.20716e-09,0.224782
65,9.95331e-11,2.10762e-09,2.20716e-09,0.224782
66,9.95331e-11,2.10762e-09,2.20716e-09,0.224782
67,9.95331e-11,2.10762e-09,2.20716e-09,0.224782
68,9.95331e-11,2.10762e-09,2.20716e-09,0.224782
69,9.95331e-11,2.10762e-09,2.20716e-09,0.224782
70,9.95331e-11,2.10762e-09,2.20716e-09,0.224782
71,9.95331e-11,2.10762e-09,2.20716e-09,0.224782
72,9.96666e-09,1.26233e-06,1.27229e-06,0.224782
73,1.68177e-07,2.32804e-07,4.0098e-07,0.224782
74,6.6856e-09,7.40531e-08,8.07387e-08,0.224782
75,1.08774e-09,2.00808e-08,2.11685e-08,0.224782
76,2.64838e-10,5.32557e-09,5.59041e-09,0.224782
77,1.01201e-10,2.05891e-09,2.16011e-09,0.224782
78,9.68725e-11,1.9713e-09,2.06818e-09,0.224782
79,9.68418e-11,1.97068e-09,2.06753e-09,0.224782
80,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
81,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
82,9.68112e-11,1.4698e-09,1.56661e-09,0.224782
83,9.68112e-11,1.46755e-09,1.56437e-09,0.224782
84,9.68112e-11,1.46733e-09,1.56414e-09,0.224782
85,9.68112e-11,1.46733e-09,1.56414e-09,0.224782
86,9.68112e-11,1.46733e-09,1.56414e-09,0.224782
87,9.68112e-11,1.46733e-09,1.56414e-09,0.224782
88,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
89,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
90,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
91,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
92,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
93,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
94,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
95,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
96,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
97,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
98,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
99,9.68112e-11,1.97006e-09,2.06688e-09,0.224782
100,1.74359e-05,0.0612192,0.0612366,0.139383
101,1.53339e-05,0.0612192,0.0612345,0.136026
102,1.28012e-05,0.0612192,0.061232,0.136026
103,1.40705e-05,0.0612192,0.0612333,0.136026
104,6.14609e-06,0.0414261,0.0414323,0.136026
105,1.2973e-10,0.0230554,0.0230554,0.136026
106,3.37695e-10,1.49491e-10,4.87186e-10,0.136026
107,8.68182e-15,4.01632e-15,1.26981e-14,0.136026
108,8.56177e-15,3.96202e-15,1.25238e-14,0.136026
109,8.56177e-15,3.96202e-15,1.25238e-14,0.136026
110,8.53746e-15,3.95102e-15,1.24885e-14,0.136026
111,8.53746e-15,3.95102e-15,1.24885e-14,0.136026
112,8.53746e-15,3.95102e-15,1.24885e-14,0.136026
113,8.2222e-15,3.47893e-15,1.17011e-14,0.136026
114,8.2222e-15,3.47893e-15,1.17011e-14,0.136026
115,8.2222e-15,3.47893e-15,1.17011e-14,0.136026
116,8.2222e-15,3.47893e-15,1.17011e-14,0.136026
117,8.2222e-15,3.47893e-15,1.17011e-14,0.136026
118,8.2222e-15,3.47893e-15,1.17011e-14,0.136026
119,8.2222e-15,3.47893e-15,1.17011e-14,0.136026
120,2.54293e-08,1.09948e-08,3.64241e-08,0.136026
121,5.08404e-10,4.29985e-09,4.80825e-09,0.136026
122,3.22483e-10,2.72747e-09,3.04995e-09,0.136026
123,1.61054e-05,0.0612192,0.0612353,0.13602
124,1.56269e-05,0.0612183,0.0612339,0.13602
125,1.77992e-05,0.0612414,0.0612592,0.131741
126,1.67199e-05,0.00499177,0.00500849,0.131741
127,1.71067e-05,0.000814515,0.000831622,0.131741
128,1.78531e-05,0.000135288,0.000153141,0.131741
129,4.93998e-06,2.25369e-05,2.74769e-05,0.131741
130,2.63707e-10,1.20311e-09,1.46681e-09,0.131741
131,2.04794e-05,0.0612281,0.0612486,0.131741
132,1.97287e-05,0.0612281,0.0612478,0.131741
133,1.684e-05,0.0612281,0.061245,0.131741
134,1.8664e-05,0.0612281,0.0612468,0.131741
135,1.63135e-05,0.0612281,0.0612444,0.131741
136,1.82331e-05,0.0612281,0.0612463,0.131741
137,1.77559e-05,0.0612281,0.0612459,0.131741
138,1.72809e-05,0.0612281,0.0612454,0.131741
139,1.76255e-05,0.0612673,0.0612849,0.131741
140,1.58945e-05,1.61442e-05,3.20387e-05,0.131741
141,1.14108e-06,5.37101e-06,6.51208e-06,0.131741
142,2.73551e-07,1.28761e-06,1.56116e-06,0.131741
143,6.55805e-08,3.08688e-07,3.74269e-07,0.131741
144,1.57223e-08,7.40048e-08,8.97271e-08,0.131741
145,3.76925e-09,1.77419e-08,2.15112e-08,0.131741
146,9.03641e-10,4.25345e-09,5.15709e-09,0.131741
147,2.68462e-10,1.26366e-09,1.53212e-09,0.131741
148,2.57009e-10,1.20975e-09,1.46676e-09,0.131741
149,4.33811e-07,3.5971e-06,4.03091e-06,0.131741
150,5.24285e-10,4.29829e-09,4.82257e-09,0.131741
151,5.08333e-10,4.1674e-09,4.67574e-09,0.131741
152,5.07758e-10,4.16269e-09,4.67045e-09,0.131741
153,5.07758e-10,4.16269e-09,4.67045e-09,0.131741
154,5.07758e-10,4.16269e-09,4.67045e-09,0.131741
155,5.07758e-10,4.16269e-09,4.67045e-09,0.131741
156,5.07758e-10,4.16269e-09,4.67045e-09,0.131741
157,5.07758e-10,4.16269e-09,4.67045e-09,0.131741
158,5.07758e-10,4.16269e-09,4.67045e-09,0.131741
159,5.07758e-10,4.16269e-09,4.67045e-09,0.131741
160,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
161,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
162,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
163,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
164,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
165,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
166,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
167,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
168,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
169,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
170,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
171,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
172,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
173,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
174,5.07749e-10,4.16261e-09,4.67036e-09,0.131741
175,2.56877e-05,0.0612424,0.061268,0.0879699
176,2.40285e-05,0.0612439,0.0612679,0.0879699
177,2.28796e-05,0.0612443,0.0612672,0.0879699
178,1.29978e-05,0.0612444,0.0612574,0.0879699
179,1.29283e-05,0.0612445,0.0612574,0.0879699
180,1.05658e-05,3.30727e-05,4.36385e-05,0.0879699
181,1.08542e-06,5.6859e-06,6.77132e-06,0.0879699
182,1.70627e-07,8.93937e-07,1.06456e-06,0.0879699
183,2.6826e-08,1.40545e-07,1.67371e-07,0.0879699
184,4.21759e-09,2.20965e-08,2.63141e-08,0.0879699
185,6.63092e-10,3.47402e-09,4.13711e-09,0.0879699
186,2.86449e-10,1.50074e-09,1.78719e-09,0.0879699
187,2.81676e-10,1.47574e-09,1.75741e-09,0.0879699
188,2.81676e-10,1.47574e-09,1.75741e-09,0.0879699
189,2.81676e-10,1.47574e-09,1.75741e-09,0.0879699
190,2.81671e-10,1.47571e-09,1.75738e-09,0.0879699
191,2.81671e-10,1.47571e-09,1.75738e-09,0.0879699
192,2.81671e-10,1.47571e-09,1.75738e-09,0.0879699
193,2.81671e-10,1.47571e-09,1.75738e-09,0.0879699
194,2.81671e-10,1.47571e-09,1.75738e-09,0.0879699
195,2.81671e-10,1.47571e-09,1.75738e-09,0.0879699
196,2.81671e-10,1.47571e-09,1.75738e-09,0.0879699
197,2.81671e-10,1.47571e-09,1.75738e-09,0.0879699
198,2.81671e-10,1.47571e-09,1.75738e-09,0.0879699
199,2.81671e-10,1.47571e-09,1.75738e-09,0.0879699
