x,u_exact,u_approx
0,0,0
0.01,0.00999967,0.873662
0.02,0.0199973,0.873627
0.03,0.029991,0.873568
0.04,0.0399787,0.873486
0.05,0.0499584,0.87338
0.06,0.0599281,0.873251
0.07,0.0698859,0.873098
0.08,0.0798298,0.872922
0.09,0.0897578,0.872723
0.1,0.099668,0.8725
0.11,0.109558,0.872254
0.12,0.119427,0.871984
0.13,0.129273,0.871691
0.14,0.139092,0.871374
0.15,0.148885,0.871034
0.16,0.158649,0.870671
0.17,0.168381,0.870284
0.18,0.178081,0.869874
0.19,0.187746,0.869441
0.2,0.197375,0.868985
0.21,0.206966,0.868505
0.22,0.216518,0.868002
0.23,0.226028,0.867476
0.24,0.235496,0.866926
0.25,0.244919,0.866354
0.26,0.254296,0.865758
0.27,0.263625,0.865139
0.28,0.272905,0.864497
0.29,0.282135,0.863832
0.3,0.291313,0.863144
0.31,0.300437,0.862433
0.32,0.309507,0.861699
0.33,0.318521,0.860943
0.34,0.327477,0.860163
0.35,0.336376,0.85936
0.36,0.345214,0.858535
0.37,0.353992,0.857687
0.38,0.362707,0.856816
0.39,0.37136,0.855922
0.4,0.379949,0.855006
0.41,0.388473,0.854068
0.42,0.39693,0.853106
0.43,0.405321,0.852122
0.44,0.413644,0.851116
0.45,0.421899,0.850087
0.46,0.430084,0.849036
0.47,0.438199,0.847963
0.48,0.446244,0.846867
0.49,0.454216,0.845749
0.5,0.462117,0.844609
0.51,0.469945,0.843447
0.52,0.4777,0.842263
0.53,0.485381,0.841056
0.54,0.492988,0.839828
0.55,0.50052,0.838578
0.56,0.507977,0.837306
0.57,0.515359,0.836013
0.58,0.522665,0.834697
0.59,0.529896,0.83336
0.6,0.53705,0.832002
0.61,0.544127,0.830622
0.62,0.551128,0.82922
0.63,0.558052,0.827797
0.64,0.5649,0.826353
0.65,0.57167,0.824887
0.66,0.578363,0.823401
0.67,0.58498,0.821893
0.68,0.591519,0.820364
0.69,0.597982,0.818814
0.7,0.604368,0.817243
0.71,0.610677,0.815652
0.72,0.616909,0.814039
0.73,0.623065,0.812406
0.74,0.629145,0.810753
0.75,0.635149,0.809079
0.76,0.641077,0.807384
0.77,0.646929,0.805669
0.78,0.652707,0.803934
0.79,0.658409,0.802179
0.8,0.664037,0.800403
0.81,0.66959,0.798608
0.82,0.67507,0.796792
0.83,0.680476,0.794957
0.84,0.685809,0.793102
0.85,0.691069,0.791227
0.86,0.696258,0.789332
0.87,0.701374,0.787418
0.88,0.706419,0.785485
0.89,0.711394,0.783532
0.9,0.716298,0.78156
0.91,0.721132,0.779569
0.92,0.725897,0.777559
0.93,0.730594,0.77553
0.94,0.735222,0.773482
0.95,0.739783,0.771415
0.96,0.744277,0.76933
0.97,0.748704,0.767225
0.98,0.753066,0.765103
0.99,0.757362,0.762962
1,0.761594,0.760803
