x,y,u_exact,u_approx
0,0,0,0
0,0.0333333,0,0
0,0.0666667,0,0
0,0.1,0,0
0,0.133333,0,0
0,0.166667,0,0
0,0.2,0,0
0,0.233333,0,0
0,0.266667,0,0
0,0.3,0,0
0,0.333333,0,0
0,0.366667,0,0
0,0.4,0,0
0,0.433333,0,0
0,0.466667,0,0
0,0.5,0,0
0,0.533333,0,0
0,0.566667,0,0
0,0.6,0,0
0,0.633333,0,0
0,0.666667,0,0
0,0.7,0,0
0,0.733333,0,0
0,0.766667,0,0
0,0.8,0,0
0,0.833333,0,0
0,0.866667,0,0
0,0.9,0,0
0,0.933333,0,0
0,0.966667,0,0
0,1,0,0
0.0333333,0,0,0
0.0333333,0.0333333,0.0109262,4.26701e-19
0.0333333,0.0666667,0.0217327,8.53403e-19
0.0333333,0.1,0.0323011,1.2801e-18
0.0333333,0.133333,0.0425156,1.70681e-18
0.0333333,0.166667,0.0522642,2.13351e-18
0.0333333,0.2,0.0614403,2.56021e-18
0.0333333,0.233333,0.0699432,2.98691e-18
0.0333333,0.266667,0.0776798,3.41361e-18
0.0333333,0.3,0.0845653,3.84031e-18
0.0333333,0.333333,0.0905243,4.26701e-18
0.0333333,0.366667,0.0954915,4.69372e-18
0.0333333,0.4,0.0994125,5.12042e-18
0.0333333,0.433333,0.102244,5.54712e-18
0.0333333,0.466667,0.103956,5.97382e-18
0.0333333,0.5,0.104528,6.40052e-18
0.0333333,0.533333,0.103956,6.82722e-18
0.0333333,0.566667,0.102244,7.25393e-18
0.0333333,0.6,0.0994125,7.68063e-18
0.0333333,0.633333,0.0954915,8.10733e-18
0.0333333,0.666667,0.0905243,8.53403e-18
0.0333333,0.7,0.0845653,8.96073e-18
0.0333333,0.733333,0.0776798,9.38743e-18
0.0333333,0.766667,0.0699432,9.81413e-18
0.0333333,0.8,0.0614403,1.02408e-17
0.0333333,0.833333,0.0522642,1.06675e-17
0.0333333,0.866667,0.0425156,1.10942e-17
0.0333333,0.9,0.0323011,1.15209e-17
0.0333333,0.933333,0.0217327,1.19476e-17
0.0333333,0.966667,0.0109262,1.23743e-17
0.0333333,1,1.2801e-17,1.2801e-17
0.0666667,0,0,0
0.0666667,0.0333333,0.0217327,8.48728e-19
0.0666667,0.0666667,0.0432273,1.69746e-18
0.0666667,0.1,0.0642482,2.54618e-18
0.0666667,0.133333,0.0845653,3.39491e-18
0.0666667,0.166667,0.103956,4.24364e-18
0.0666667,0.2,0.122207,5.09237e-18
0.0666667,0.233333,0.13912,5.9411e-18
0.0666667,0.266667,0.154508,6.78982e-18
0.0666667,0.3,0.168204,7.63855e-18
0.0666667,0.333333,0.180057,8.48728e-18
0.0666667,0.366667,0.189937,9.33601e-18
0.0666667,0.4,0.197736,1.01847e-17
0.0666667,0.433333,0.203368,1.10335e-17
0.0666667,0.466667,0.206773,1.18822e-17
0.0666667,0.5,0.207912,1.27309e-17
0.0666667,0.533333,0.206773,1.35796e-17
0.0666667,0.566667,0.203368,1.44284e-17
0.0666667,0.6,0.197736,1.52771e-17
0.0666667,0.633333,0.189937,1.61258e-17
0.0666667,0.666667,0.180057,1.69746e-17
0.0666667,0.7,0.168204,1.78233e-17
0.0666667,0.733333,0.154508,1.8672e-17
0.0666667,0.766667,0.13912,1.95207e-17
0.0666667,0.8,0.122207,2.03695e-17
0.0666667,0.833333,0.103956,2.12182e-17
0.0666667,0.866667,0.0845653,2.20669e-17
0.0666667,0.9,0.0642482,2.29157e-17
0.0666667,0.933333,0.0432273,2.37644e-17
0.0666667,0.966667,0.0217327,2.46131e-17
0.0666667,1,2.54618e-17,2.54618e-17
0.1,0,0,0
0.1,0.0333333,0.0323011,1.26146e-18
0.1,0.0666667,0.0642482,2.52291e-18
0.1,0.1,0.0954915,3.78437e-18
0.1,0.133333,0.125689,5.04582e-18
0.1,0.166667,0.154508,6.30728e-18
0.1,0.2,0.181636,7.56873e-18
0.1,0.233333,0.206773,8.83019e-18
0.1,0.266667,0.229644,1.00916e-17
0.1,0.3,0.25,1.13531e-17
0.1,0.333333,0.267617,1.26146e-17
0.1,0.366667,0.282301,1.3876e-17
0.1,0.4,0.293893,1.51375e-17
0.1,0.433333,0.302264,1.63989e-17
0.1,0.466667,0.307324,1.76604e-17
0.1,0.5,0.309017,1.89218e-17
0.1,0.533333,0.307324,2.01833e-17
0.1,0.566667,0.302264,2.14447e-17
0.1,0.6,0.293893,2.27062e-17
0.1,0.633333,0.282301,2.39677e-17
0.1,0.666667,0.267617,2.52291e-17
0.1,0.7,0.25,2.64906e-17
0.1,0.733333,0.229644,2.7752e-17
0.1,0.766667,0.206773,2.90135e-17
0.1,0.8,0.181636,3.02749e-17
0.1,0.833333,0.154508,3.15364e-17
0.1,0.866667,0.125689,3.27978e-17
0.1,0.9,0.0954915,3.40593e-17
0.1,0.933333,0.0642482,3.53208e-17
0.1,0.966667,0.0323011,3.65822e-17
0.1,1,3.78437e-17,3.78437e-17
0.133333,0,0,0
0.133333,0.0333333,0.0425156,1.66036e-18
0.133333,0.0666667,0.0845653,3.32072e-18
0.133333,0.1,0.125689,4.98109e-18
0.133333,0.133333,0.165435,6.64145e-18
0.133333,0.166667,0.203368,8.30181e-18
0.133333,0.2,0.239074,9.96217e-18
0.133333,0.233333,0.27216,1.16225e-17
0.133333,0.266667,0.302264,1.32829e-17
0.133333,0.3,0.329057,1.49433e-17
