gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.364181,0,0.364181,0.0023551
1,0.00764347,0,0.00764347,5.57152e-05
2,0.00333657,0,0.00333657,2.76957e-05
3,0.003155,0,0.003155,2.76957e-05
4,0.00280089,0,0.00280089,2.16611e-05
5,0.00247331,0,0.00247331,1.95831e-05
6,0.0021731,0,0.0021731,1.75742e-05
7,0.0019006,0,0.0019006,1.56603e-05
8,0.000701305,0,0.000701305,5.81412e-06
9,0.000611037,0,0.000611037,4.99805e-06
10,0.000238231,0,0.000238231,4.24371e-06
11,0.000229766,0,0.000229766,7.75383e-07
12,0.000223032,0,0.000223032,6.7664e-07
13,0.000217687,0,0.000217687,5.95342e-07
14,0.000213454,0,0.000213454,5.28096e-07
15,0.000210107,0,0.000210107,4.72427e-07
16,0.000207465,0,0.000207465,4.26282e-07
17,0.00020828,0,0.00020828,4.26282e-07
18,0.000207318,0,0.000207318,4.23636e-07
19,0.000205268,0,0.000205268,3.85772e-07
20,0.000198348,0,0.000198348,3.54268e-07
21,0.000206413,0,0.000206413,3.54268e-07
22,0.000204555,0,0.000204555,3.54268e-07
23,0.000207966,0,0.000207966,3.54268e-07
24,0.000205778,0,0.000205778,3.54268e-07
25,0.00016059,0,0.00016059,3.54268e-07
26,0.000170701,0,0.000170701,3.54268e-07
27,0.000168413,0,0.000168413,3.54268e-07
28,0.000166636,0,0.000166636,3.54268e-07
29,0.000165258,0,0.000165258,3.54268e-07
30,0.000160841,0,0.000160841,3.54268e-07
31,0.000160772,0,0.000160772,2.66282e-07
32,0.000160718,0,0.000160718,2.61116e-07
33,0.000160677,0,0.000160677,2.56696e-07
34,0.000160645,0,0.000160645,2.52903e-07
35,0.00016062,0,0.00016062,2.49641e-07
36,0.000166202,0,0.000166202,2.49641e-07
37,0.000164921,0,0.000164921,2.49641e-07
38,0.000163929,0,0.000163929,2.49641e-07
39,0.00016316,0,0.00016316,2.49641e-07
40,0.000160705,0,0.000160705,2.49641e-07
41,0.000160667,0,0.000160667,2.49641e-07
42,0.000160637,0,0.000160637,2.49641e-07
43,0.000188023,0,0.000188023,2.49641e-07
44,0.0001819,0,0.0001819,2.49641e-07
45,0.000177125,0,0.000177125,2.49641e-07
46,0.000173407,0,0.000173407,2.49641e-07
47,0.000170516,0,0.000170516,2.49641e-07
48,0.000168269,0,0.000168269,2.49641e-07
49,0.000166524,0,0.000166524,2.49641e-07
50,0.000116832,0,0.000116832,2.49641e-07
51,0.000116747,0,0.000116747,2.49641e-07
52,0.000116699,0,0.000116699,2.49641e-07
53,0.00011666,0,0.00011666,2.49641e-07
54,0.000116628,0,0.000116628,2.49641e-07
55,0.000116602,0,0.000116602,2.49641e-07
56,0.000116581,0,0.000116581,2.49641e-07
57,0.000116564,0,0.000116564,2.49641e-07
58,0.00011655,0,0.00011655,2.49641e-07
59,0.000116539,0,0.000116539,2.49641e-07
60,0.000116495,0,0.000116495,2.49641e-07
61,0.000116494,0,0.000116494,2.49641e-07
62,0.000116493,0,0.000116493,2.49641e-07
63,0.000116492,0,0.000116492,2.49641e-07
64,0.000116492,0,0.000116492,2.49641e-07
