method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Navier-Stokes,2,1.0010021166,0.0000014316,13,1
PISR-NSGA-II,Navier-Stokes,2,0.0002964895,0.4173216345,5,1
PISR-NSGA-II,Navier-Stokes,2,0.0002962667,0.4173218573,5,1
PISR-NSGA-II,Navier-Stokes,2,0.0000754100,0.1681659128,13,1
PISR-NSGA-II,Navier-Stokes,2,0.0072870423,0.0710783620,15,1
PISR-NSGA-II,Navier-Stokes,2,0.5769337401,0.0310083776,10,1
PISR-NSGA-II,Navier-Stokes,2,0.1466182300,0.0685349089,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0284358895,0.2888084113,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0002965033,0.4173216207,5,1
PISR-NSGA-II,Navier-Stokes,2,0.8479801693,0.0025135070,12,1
PISR-NSGA-II,Navier-Stokes,2,0.0259692570,0.1055239215,9,1
PISR-NSGA-II,Navier-Stokes,2,0.0201777401,0.1426296628,8,1
PISR-NSGA-II,Navier-Stokes,2,0.9474698600,0.0018646318,7,1
PISR-NSGA-II,Navier-Stokes,2,0.0976036903,0.1640830218,7,1
PISR-NSGA-II,Navier-Stokes,2,0.9384837911,0.0024575215,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0330193289,0.0938811459,8,1
PISR-NSGA-II,Navier-Stokes,2,0.9985153997,0.0000032563,13,1
PISR-NSGA-II,Navier-Stokes,2,0.9151979874,0.0051398900,9,1
PISR-NSGA-II,Navier-Stokes,2,0.0440804478,0.0724210134,12,1
PISR-NSGA-II,Navier-Stokes,2,0.7483481994,0.0073635388,14,1
PISR-NSGA-II,Navier-Stokes,2,0.0064191697,0.0714887414,15,1
PISR-NSGA-II,Navier-Stokes,2,0.0298206847,0.0711823186,14,1
PISR-NSGA-II,Navier-Stokes,2,0.9114538237,0.0058442104,11,1
PISR-NSGA-II,Navier-Stokes,2,0.5770512258,0.0308595857,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0375198920,0.0825060463,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0923784677,0.1833713472,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0923903693,0.1833594452,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0002964769,0.4173216471,5,1
PISR-NSGA-II,Navier-Stokes,2,0.7736229664,0.0050735167,12,1
PISR-NSGA-II,Navier-Stokes,2,0.1455864051,0.1398710965,6,1
PISR-NSGA-II,Navier-Stokes,2,0.1141532666,0.0531399317,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0438737021,0.2493718877,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0330239186,0.2746962690,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0549282735,0.2296673760,6,1
PISR-NSGA-II,Navier-Stokes,2,0.9022418787,0.0117918767,7,1
PISR-NSGA-II,Navier-Stokes,2,0.5924299325,0.0246473190,10,1
PISR-NSGA-II,Navier-Stokes,2,0.6378262255,0.0183693822,12,1
PISR-NSGA-II,Navier-Stokes,2,0.0673764453,0.1956365694,7,1
PISR-NSGA-II,Navier-Stokes,2,0.7207406061,0.0093529412,12,1
PISR-NSGA-II,Navier-Stokes,2,0.0689900514,0.2094651837,6,1
PISR-NSGA-II,Navier-Stokes,2,0.6763832764,0.0196101272,10,1
PISR-NSGA-II,Navier-Stokes,2,0.1406473047,0.0782050992,10,1
PISR-NSGA-II,Navier-Stokes,2,0.6288285086,0.0221995295,14,1
PISR-NSGA-II,Navier-Stokes,2,0.0696450536,0.2086191222,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0490044618,0.2396796224,6,1
PISR-NSGA-II,Navier-Stokes,2,0.6723406790,0.0209304714,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0308151730,0.2811154082,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0023900851,0.1550436208,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0331290116,0.0937712071,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0373437000,0.0826830180,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0523328259,0.2339188683,6,1
PISR-NSGA-II,Navier-Stokes,2,0.5773174174,0.0305261520,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0299717564,0.0972528011,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0935233045,0.1822326193,6,1
PISR-NSGA-II,Navier-Stokes,2,0.9793802311,0.0001656727,11,1
PISR-NSGA-II,Navier-Stokes,2,0.7544308018,0.0068980600,12,1
PISR-NSGA-II,Navier-Stokes,2,0.0880417568,0.1734478952,7,1
PISR-NSGA-II,Navier-Stokes,2,0.9704434452,0.0003508956,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0056645703,0.1491626359,11,1
PISR-NSGA-II,Navier-Stokes,2,0.9261790647,0.0033005314,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0820288528,0.0568697787,14,1
PISR-NSGA-II,Navier-Stokes,2,0.9569493216,0.0006094466,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0859021674,0.1900580691,6,1
PISR-NSGA-II,Navier-Stokes,2,0.7327736797,0.0083584142,14,1
PISR-NSGA-II,Navier-Stokes,2,0.0004142713,0.1618320351,11,1
PISR-NSGA-II,Navier-Stokes,2,0.9954089343,0.0000077967,11,1
PISR-NSGA-II,Navier-Stokes,2,0.1002149316,0.0587722270,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0243253555,0.0731001307,14,1
PISR-NSGA-II,Navier-Stokes,2,0.0396444044,0.0804816221,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0443981991,0.0633122660,14,1
PISR-NSGA-II,Navier-Stokes,2,0.0880693772,0.1877723058,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0100821546,0.1435858018,11,1
PISR-NSGA-II,Navier-Stokes,2,0.9366957846,0.0025450421,11,1
PISR-NSGA-II,Navier-Stokes,2,0.1110890947,0.1657072762,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0442979379,0.0635625398,14,1
PISR-NSGA-II,Navier-Stokes,2,0.9513467832,0.0013518551,7,1
PISR-NSGA-II,Navier-Stokes,2,0.0922815757,0.1834682935,6,1
PISR-NSGA-II,Navier-Stokes,2,0.1029432927,0.1728602222,6,1
PISR-NSGA-II,Navier-Stokes,2,0.1101492993,0.0560192910,11,1
PISR-NSGA-II,Navier-Stokes,2,0.1068362229,0.1693811375,6,1
PISR-NSGA-II,Navier-Stokes,2,0.9161007908,0.0036063938,11,1
PISR-NSGA-II,Navier-Stokes,2,0.7401853103,0.0086825853,12,1
PISR-NSGA-II,Navier-Stokes,2,0.6316116313,0.0197061828,14,1
PISR-NSGA-II,Navier-Stokes,2,0.0071696151,0.1470262593,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0087516015,0.1451310145,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0869046732,0.1889944666,6,1
PISR-NSGA-II,Navier-Stokes,2,0.6729790696,0.0202612303,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0375602561,0.0824657258,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0903747376,0.1710800629,7,1
PISR-NSGA-II,Navier-Stokes,2,0.1081054221,0.1682712640,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0903771166,0.1710776838,7,1
PISR-NSGA-II,Navier-Stokes,2,0.7516910020,0.0072377833,14,1
PISR-NSGA-II,Navier-Stokes,2,0.9105146705,0.0063622775,11,1
PISR-NSGA-II,Navier-Stokes,2,0.7438024447,0.0082140548,14,1
PISR-NSGA-II,Navier-Stokes,2,0.9030227579,0.0112135887,7,1
PISR-NSGA-II,Navier-Stokes,2,0.0991703565,0.1627052342,7,1
PISR-NSGA-II,Navier-Stokes,2,0.9066637426,0.0086699990,9,1
PISR-NSGA-II,Navier-Stokes,2,0.9121024849,0.0054985389,11,1
PISR-NSGA-II,Navier-Stokes,2,0.7463638306,0.0079815626,14,1
PISR-NSGA-II,Navier-Stokes,2,0.0435278229,0.0729697477,12,1
PISR-NSGA-II,Navier-Stokes,2,0.9159049494,0.0036885467,11,1
PISR-NSGA-II,Navier-Stokes,2,0.9042066975,0.0103629542,7,1
PISR-NSGA-II,Navier-Stokes,2,0.0002945722,0.1628087662,11,1
PISR-NSGA-II,Navier-Stokes,2,0.9057086069,0.0093287705,7,1
PISR-NSGA-II,Navier-Stokes,2,0.7496676000,0.0074572062,12,1
PISR-NSGA-II,Navier-Stokes,2,0.0093702977,0.1443022970,11,1
PISR-NSGA-II,Navier-Stokes,2,0.9047812015,0.0099613238,7,1
PISR-NSGA-II,Navier-Stokes,2,0.0093634680,0.1444627816,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0930262798,0.1827254709,6,1
PISR-NSGA-II,Navier-Stokes,2,0.7490811351,0.0075008165,12,1
PISR-NSGA-II,Navier-Stokes,2,0.9066582296,0.0086945934,9,1
PISR-NSGA-II,Navier-Stokes,2,0.0243253555,0.0731001307,14,1
PISR-NSGA-II,Navier-Stokes,2,0.0927613414,0.1829891360,6,1
PISR-NSGA-II,Navier-Stokes,2,0.7448677228,0.0080486616,14,1
PISR-NSGA-II,Navier-Stokes,2,0.9110532473,0.0060626604,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0435861554,0.0729114590,12,1
PISR-NSGA-II,Navier-Stokes,2,0.0064192436,0.0714883950,15,1
PISR-NSGA-II,Navier-Stokes,2,0.9118113136,0.0056524602,11,1
PISR-NSGA-II,Navier-Stokes,2,0.7452098786,0.0079979051,14,1
PISR-NSGA-II,Navier-Stokes,2,0.9107140082,0.0062505979,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0924506794,0.1832991536,6,1
PISR-NSGA-II,Navier-Stokes,2,0.5773099101,0.0305363697,10,1
PISR-NSGA-II,Navier-Stokes,2,0.9045341292,0.0101331327,7,1
PISR-NSGA-II,Navier-Stokes,2,0.0443487154,0.0634326627,14,1
PISR-NSGA-II,Navier-Stokes,2,0.0373567173,0.0826698359,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0375181783,0.0825077599,10,1
PISR-NSGA-II,Navier-Stokes,2,0.7451101622,0.0080126148,14,1
PISR-NSGA-II,Navier-Stokes,2,0.9159556517,0.0036671625,11,1
PISR-NSGA-II,Navier-Stokes,2,0.9046932960,0.0100222928,7,1
PISR-NSGA-II,Navier-Stokes,2,0.0331037859,0.0937964141,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0923472122,0.1834026104,6,1
PISR-NSGA-II,Navier-Stokes,2,0.9046240074,0.0100704731,7,1
PISR-NSGA-II,Navier-Stokes,2,0.9045565605,0.0101174773,7,1
PISR-NSGA-II,Navier-Stokes,2,0.0435293436,0.0729682269,12,1
PISR-NSGA-II,Navier-Stokes,2,0.0924019004,0.1833479149,6,1
PISR-NSGA-II,Navier-Stokes,2,0.9046605630,0.0100450404,7,1
PISR-NSGA-II,Navier-Stokes,2,0.0375448314,0.0824811245,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0331106122,0.0937895886,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0375255482,0.0825003913,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0923630222,0.1833867953,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0923736650,0.1833761505,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0923933181,0.1833564964,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0923636600,0.1833861573,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0923811458,0.1833686689,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0923846394,0.1833651752,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0375247744,0.0825011649,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0923772549,0.1833725602,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0923865466,0.1833632678,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0923915131,0.1833583014,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0331080319,0.0937921680,8,1
