method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Navier-Stokes,2,-1,8.5989300792,5.4428367074,15,15
PISR-NSGA-II,Navier-Stokes,2,-1,1.0000000000,1.0000004608,3,13
PISR-NSGA-II,Navier-Stokes,2,-1,7.3890560989,116.6508813731,5,13
PISR-NSGA-II,Navier-Stokes,2,-1,4.0000000000,0.4179067108,3,8
PISR-NSGA-II,Navier-Stokes,2,-1,2821.9033459899,251.5258134618,18,21
PISR-NSGA-II,Navier-Stokes,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,13
PISR-NSGA-II,Navier-Stokes,2,-1,0.6087201025,0.2707845780,2,17
PISR-NSGA-II,Navier-Stokes,2,-1,12.7563420656,10000.0000000000,5,13
PISR-NSGA-II,Navier-Stokes,2,-1,0.5794853308,10.1872514127,7,15
PISR-NSGA-II,Navier-Stokes,2,-1,10000.0000000000,10000.0000000000,20,10
PISR-NSGA-II,Navier-Stokes,2,-1,1.3851099042,10000.0000000000,4,18
PISR-NSGA-II,Navier-Stokes,2,-1,0.9999999933,381.5020203510,6,8
PISR-NSGA-II,Navier-Stokes,2,-1,3464.2221048500,2789.6923046369,16,11
PISR-NSGA-II,Navier-Stokes,2,-1,1.0000000000,0.0000004608,1,18
PISR-NSGA-II,Navier-Stokes,2,-1,3.4391170670,0.3661787022,4,7
PISR-NSGA-II,Navier-Stokes,2,-1,2.4278110393,1.7081724613,4,7
PISR-NSGA-II,Navier-Stokes,2,-1,48.1833212059,6.8627001050,30,9
PISR-NSGA-II,Navier-Stokes,2,-1,0.0000000000,1.9826466307,1,13
PISR-NSGA-II,Navier-Stokes,2,-1,0.3198527557,10.4095226179,5,17
PISR-NSGA-II,Navier-Stokes,2,-1,10000.0000000000,10000.0000000000,22,8
PISR-NSGA-II,Navier-Stokes,2,-1,208.1445442166,14.1546454904,10,17
PISR-NSGA-II,Navier-Stokes,2,-1,1.4365314539,11.1189383782,7,17
PISR-NSGA-II,Navier-Stokes,2,-1,1.0000000000,1.3410499327,3,13
PISR-NSGA-II,Navier-Stokes,2,-1,1.6156128326,2550.1967694134,9,8
PISR-NSGA-II,Navier-Stokes,2,-1,0.0000000000,549.3407660904,1,13
PISR-NSGA-II,Navier-Stokes,2,-1,4.0000000000,8.8758581787,7,3
PISR-NSGA-II,Navier-Stokes,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,23
PISR-NSGA-II,Navier-Stokes,2,-1,1.0000000000,1.0000004608,3,13
PISR-NSGA-II,Navier-Stokes,2,-1,10000.0000000000,8456.9584102259,12,8
PISR-NSGA-II,Navier-Stokes,2,-1,7.0291577763,1.4759890123,7,2
PISR-NSGA-II,Navier-Stokes,2,-1,1.0681859734,2515.4903771601,24,14
PISR-NSGA-II,Navier-Stokes,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,23
PISR-NSGA-II,Navier-Stokes,2,-1,5.0570605665,3.4743747370,8,8
PISR-NSGA-II,Navier-Stokes,2,-1,0.0418581739,0.7902208494,9,13
PISR-NSGA-II,Navier-Stokes,2,-1,3.0902418250,1.1782378885,13,13
PISR-NSGA-II,Navier-Stokes,2,-1,4.0000000000,0.4179067108,3,8
PISR-NSGA-II,Navier-Stokes,2,-1,0.0000000000,2.4281436827,1,13
PISR-NSGA-II,Navier-Stokes,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,20
PISR-NSGA-II,Navier-Stokes,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,14
PISR-NSGA-II,Navier-Stokes,2,-1,0.4116954453,2501.3212200209,15,3
PISR-NSGA-II,Navier-Stokes,2,-1,6.2385206295,0.8007663479,17,14
PISR-NSGA-II,Navier-Stokes,2,-1,10000.0000000000,7515.6392702818,5,17
PISR-NSGA-II,Navier-Stokes,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,24
PISR-NSGA-II,Navier-Stokes,2,-1,0.0000000000,3.6057886729,7,3
PISR-NSGA-II,Navier-Stokes,2,-1,27.0458891565,99.3595869331,13,19
PISR-NSGA-II,Navier-Stokes,2,-1,10000.0000000000,10000.0000000000,17,19
PISR-NSGA-II,Navier-Stokes,2,-1,0.0000000000,2.5952394376,1,13
PISR-NSGA-II,Navier-Stokes,2,-1,0.2193139398,10000.0000000000,13,14
PISR-NSGA-II,Navier-Stokes,2,-1,0.3934893688,0.7145960262,4,7
PISR-NSGA-II,Navier-Stokes,2,-1,0.0168000123,10000.0000000000,20,16
PISR-NSGA-II,Navier-Stokes,2,-1,3470.6934384198,10000.0000000000,28,11
PISR-NSGA-II,Navier-Stokes,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,13
PISR-NSGA-II,Navier-Stokes,2,-1,2452.8761787142,2963.6303869541,11,10
PISR-NSGA-II,Navier-Stokes,2,-1,9973.9300728040,10000.0000000000,27,19
PISR-NSGA-II,Navier-Stokes,2,-1,10000.0000000000,10000.0000000000,13,8
PISR-NSGA-II,Navier-Stokes,2,-1,4.0000000000,0.4179067108,3,8
