method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,7.7906027228,0.0000000000,3,1
PISR-NSGA-II,Airy,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,13
PISR-NSGA-II,Airy,1,-1,32.1196428617,0.0000000000,4,3
PISR-NSGA-II,Airy,1,-1,1.9232504293,0.0000000000,7,1
PISR-NSGA-II,Airy,1,-1,22.9280885172,0.0000000000,3,2
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,14.3764692218,0.0000000000,6,3
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,32.1196428617,0.0000000000,4,3
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,2.3127375016,0.0000000000,7,2
PISR-NSGA-II,Airy,1,-1,1.9792437891,0.0000000000,4,1
PISR-NSGA-II,Airy,1,-1,32.1196428617,0.0000000000,4,3
PISR-NSGA-II,Airy,1,-1,7.7906027228,0.0000000000,3,1
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,1.5973214795,0.0000000000,8,1
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,1.9792437891,0.0000000000,4,1
PISR-NSGA-II,Airy,1,-1,32.1196428617,0.0000000000,4,3
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,9.9977401340,0.0000000000,9,4
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,1.5973214795,0.0000000000,8,1
PISR-NSGA-II,Airy,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,13
PISR-NSGA-II,Airy,1,-1,14.3764692218,0.0000000000,6,3
PISR-NSGA-II,Airy,1,-1,9.9977401340,0.0000000000,9,4
PISR-NSGA-II,Airy,1,-1,32.1196428617,0.0000000000,4,3
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,9.9977401340,0.0000000000,9,4
PISR-NSGA-II,Airy,1,-1,1.9232504293,0.0000000000,7,1
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,1.9792437891,0.0000000000,4,1
PISR-NSGA-II,Airy,1,-1,32.1196428617,0.0000000000,4,3
PISR-NSGA-II,Airy,1,-1,453.1080550086,0.0000000000,5,10
PISR-NSGA-II,Airy,1,-1,9.9977401340,0.0000000000,9,4
PISR-NSGA-II,Airy,1,-1,9.9977401340,0.0000000000,9,4
PISR-NSGA-II,Airy,1,-1,2.3127375016,0.0000000000,7,2
PISR-NSGA-II,Airy,1,-1,2.3127375016,0.0000000000,7,2
PISR-NSGA-II,Airy,1,-1,1.5973214795,0.0000000000,8,1
PISR-NSGA-II,Airy,1,-1,2.3127375016,0.0000000000,7,2
PISR-NSGA-II,Airy,1,-1,1.9792437891,0.0000000000,4,1
PISR-NSGA-II,Airy,1,-1,9.9977401340,0.0000000000,9,4
