method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Duffing,1,0.6558366932,0.0309664530,1,1
PI-NSGA-II,Duffing,1,0.1694041093,0.0000977224,29,1
PI-NSGA-II,Duffing,1,0.0060977758,1.1192423590,8,1
PI-NSGA-II,Duffing,1,0.0071244198,1.1516351220,7,1
PI-NSGA-II,Duffing,1,0.2231656666,0.0003489066,4,1
PI-NSGA-II,Duffing,1,0.6433802993,0.0313219345,1,1
PI-NSGA-II,Duffing,1,0.0150476222,0.6800537953,11,1
PI-NSGA-II,Duffing,1,0.0356389924,1.0973246935,8,1
PI-NSGA-II,Duffing,1,0.0513914562,0.6257427427,12,1
PI-NSGA-II,Duffing,1,0.0552501871,0.2270862398,4,1
PI-NSGA-II,Duffing,1,0.6611702012,0.0309851285,1,1
PI-NSGA-II,Duffing,1,0.6394902633,0.0310903275,1,1
PI-NSGA-II,Duffing,1,0.1266399502,0.0156103686,3,1
PI-NSGA-II,Duffing,1,0.6643723013,0.0309715625,1,1
PI-NSGA-II,Duffing,1,0.1266399502,0.0156103686,3,1
PI-NSGA-II,Duffing,1,0.6462477162,0.0310096500,1,1
PI-NSGA-II,Duffing,1,0.6520192092,0.0309679589,1,1
PI-NSGA-II,Duffing,1,0.7057048259,0.0311874823,1,1
PI-NSGA-II,Duffing,1,0.0071244198,1.1516351220,7,1
PI-NSGA-II,Duffing,1,0.6304711232,0.0309994553,1,1
PI-NSGA-II,Duffing,1,0.0297779228,0.6800532774,11,1
PI-NSGA-II,Duffing,1,0.0552501871,0.2270862398,4,1
PI-NSGA-II,Duffing,1,0.6782606839,0.0309911670,1,1
PI-NSGA-II,Duffing,1,0.0436249228,0.6257433667,13,1
PI-NSGA-II,Duffing,1,0.2491723089,0.0000914711,4,1
PI-NSGA-II,Duffing,1,0.0630869855,0.1916526045,6,1
PI-NSGA-II,Duffing,1,0.0769483658,0.1810392016,6,1
PI-NSGA-II,Duffing,1,0.0952368304,0.1278235063,4,1
PI-NSGA-II,Duffing,1,0.0938687175,0.1725357814,6,1
PI-NSGA-II,Duffing,1,0.2191645675,0.0000713876,5,1
PI-NSGA-II,Duffing,1,0.0513914562,0.6257427427,12,1
PI-NSGA-II,Duffing,1,0.0436262979,0.6257433667,12,1
PI-NSGA-II,Duffing,1,0.0356389924,1.0973246935,8,1
PI-NSGA-II,Duffing,1,0.0150476222,0.6800537953,11,1
PI-NSGA-II,Duffing,1,0.0297407595,0.6800537950,9,1
PI-NSGA-II,Duffing,1,0.0356389924,1.0973246935,8,1
PI-NSGA-II,Duffing,1,0.0297407595,0.6800537950,9,1
PI-NSGA-II,Duffing,1,0.1770490261,0.0008621053,2,1
PI-NSGA-II,Duffing,1,0.1770490261,0.0008621053,2,1
PI-NSGA-II,Duffing,1,0.0812235458,0.0312272056,16,1
PI-NSGA-II,Duffing,1,0.1618329179,0.0000387764,21,1
PI-NSGA-II,Duffing,1,0.1758450473,0.0008872149,5,1
PI-NSGA-II,Duffing,1,0.1019854887,0.0284201915,13,1
PI-NSGA-II,Duffing,1,0.1480602155,0.0001169004,19,1
PI-NSGA-II,Duffing,1,0.1551193746,0.0000702429,25,1
