gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.00635139,0,0.00635139,5.13636e-05
1,0.00276211,0,0.00276211,5.13636e-05
2,0.00273342,0,0.00273342,5.13636e-05
3,0.00271579,0,0.00271579,5.13636e-05
4,0.00270489,0,0.00270489,5.13636e-05
5,0.00269809,0,0.00269809,5.13636e-05
6,0.00269379,0,0.00269379,5.13636e-05
7,0.002691,0,0.002691,5.13636e-05
8,0.00268912,0,0.00268912,5.13636e-05
9,0.0026878,0,0.0026878,5.13636e-05
10,0.00268171,0,0.00268171,5.13636e-05
11,0.00268124,0,0.00268124,5.13636e-05
12,0.00268078,0,0.00268078,5.13636e-05
13,0.00280521,0,0.00280521,5.13636e-05
14,0.00275841,0,0.00275841,5.13636e-05
15,0.00272981,0,0.00272981,5.13636e-05
16,0.00271228,0,0.00271228,5.13636e-05
17,0.00270147,0,0.00270147,5.13636e-05
18,0.00269474,0,0.00269474,5.13636e-05
19,0.00280176,0,0.00280176,5.13636e-05
20,0.00268169,0,0.00268169,5.13636e-05
21,0.00268104,0,0.00268104,5.13636e-05
22,0.00276589,0,0.00276589,5.13636e-05
23,0.00274236,0,0.00274236,5.13636e-05
24,0.00272771,0,0.00272771,5.13636e-05
25,0.0025475,0,0.0025475,5.13636e-05
26,0.00258088,0,0.00258088,5.13636e-05
27,0.00248062,0,0.00248062,5.13636e-05
28,0.00241965,0,0.00241965,5.13636e-05
29,0.00238252,0,0.00238252,5.13636e-05
30,0.00226197,0,0.00226197,5.13636e-05
31,0.00226095,0,0.00226095,5.13636e-05
32,0.00231746,0,0.00231746,5.13636e-05
33,0.00230267,0,0.00230267,5.13636e-05
34,0.00229372,0,0.00229372,5.13636e-05
35,0.00228819,0,0.00228819,5.13636e-05
36,0.00228466,0,0.00228466,5.13636e-05
37,0.00228026,0,0.00228026,5.13636e-05
38,0.0022737,0,0.0022737,5.13636e-05
39,0.0022696,0,0.0022696,5.13636e-05
40,0.00225358,0,0.00225358,5.13636e-05
41,0.00225275,0,0.00225275,5.13636e-05
42,0.00225194,0,0.00225194,5.13636e-05
43,0.00225115,0,0.00225115,5.13636e-05
44,0.00225036,0,0.00225036,5.13636e-05
45,0.00234965,0,0.00234965,5.13636e-05
46,0.00217454,0,0.00217454,5.13636e-05
47,0.00216423,0,0.00216423,5.13636e-05
48,0.00215836,0,0.00215836,5.13636e-05
49,0.00215483,0,0.00215483,5.13636e-05
50,0.00191358,0,0.00191358,5.13636e-05
51,0.00190974,0,0.00190974,5.13636e-05
52,0.00190498,0,0.00190498,5.13636e-05
53,0.00190188,0,0.00190188,5.13636e-05
54,0.00184145,0,0.00184145,5.13636e-05
55,0.00184054,0,0.00184054,5.13636e-05
56,0.00183963,0,0.00183963,5.13636e-05
57,0.00183872,0,0.00183872,5.13636e-05
58,0.00183781,0,0.00183781,5.13636e-05
59,0.00183689,0,0.00183689,5.13636e-05
60,0.00182735,0,0.00182735,5.13636e-05
61,0.00182641,0,0.00182641,5.13636e-05
62,0.00182547,0,0.00182547,5.13636e-05
63,0.00160884,0,0.00160884,5.13636e-05
64,0.00160729,0,0.00160729,5.13636e-05
65,0.00160579,0,0.00160579,5.13636e-05
66,0.00160431,0,0.00160431,5.13636e-05
67,0.00160284,0,0.00160284,5.13636e-05
68,0.00160137,0,0.00160137,5.13636e-05
69,0.0015999,0,0.0015999,5.13636e-05
70,0.00158453,0,0.00158453,5.13636e-05
71,0.00158301,0,0.00158301,5.13636e-05
72,0.0015815,0,0.0015815,5.13636e-05
73,0.00157998,0,0.00157998,5.13636e-05
74,0.00157846,0,0.00157846,5.13636e-05
75,0.00136587,0,0.00136587,5.13636e-05
76,0.00135801,0,0.00135801,5.13636e-05
77,0.00135354,0,0.00135354,5.13636e-05
78,0.00135079,0,0.00135079,5.13636e-05
79,0.00109941,0,0.00109941,5.13636e-05
80,0.000969373,0,0.000969373,5.13636e-05
81,0.000967671,0,0.000967671,5.13636e-05
82,0.000965968,0,0.000965968,5.13636e-05
83,0.000739178,0,0.000739178,5.13636e-05
84,0.000731626,0,0.000731626,5.13636e-05
85,0.000730697,0,0.000730697,5.13636e-05
86,0.000729958,0,0.000729958,5.13636e-05
87,0.000729233,0,0.000729233,5.13636e-05
88,0.000728518,0,0.000728518,5.13636e-05
89,0.000727812,0,0.000727812,5.13636e-05
90,0.000721053,0,0.000721053,5.13636e-05
91,0.000720451,0,0.000720451,5.13636e-05
92,0.000719857,0,0.000719857,5.13636e-05
93,0.000719273,0,0.000719273,5.13636e-05
94,0.000718697,0,0.000718697,5.13636e-05
95,0.000705606,0,0.000705606,5.13636e-05
96,0.000705043,0,0.000705043,5.13636e-05
97,0.000704711,0,0.000704711,5.13636e-05
98,0.000704387,0,0.000704387,5.13636e-05
99,0.00070407,0,0.00070407,5.13636e-05
100,0.00123572,0,0.00123572,5.13636e-05
101,0.00123097,0,0.00123097,5.13636e-05
102,0.00122647,0,0.00122647,5.13636e-05
103,0.0012222,0,0.0012222,5.13636e-05
104,0.00121817,0,0.00121817,5.13636e-05
105,0.00121436,0,0.00121436,5.13636e-05
106,0.00121076,0,0.00121076,5.13636e-05
107,0.00120738,0,0.00120738,5.13636e-05
108,0.0012042,0,0.0012042,5.13636e-05
109,0.00120121,0,0.00120121,5.13636e-05
110,0.0011797,0,0.0011797,5.13636e-05
111,0.00117837,0,0.00117837,5.13636e-05
112,0.00117715,0,0.00117715,5.13636e-05
113,0.00117602,0,0.00117602,5.13636e-05
114,0.00117498,0,0.00117498,5.13636e-05
115,0.00117402,0,0.00117402,5.13636e-05
116,0.00117314,0,0.00117314,5.13636e-05
