x,u_exact,u_approx
0,1,1
0.01,0.995012,0.993719
0.02,0.99005,0.987477
0.03,0.985112,0.981274
0.04,0.980199,0.97511
0.05,0.97531,0.968985
0.06,0.970446,0.962899
0.07,0.965605,0.95685
0.08,0.960789,0.95084
0.09,0.955997,0.944867
0.1,0.951229,0.938932
0.11,0.946485,0.933035
0.12,0.941765,0.927174
0.13,0.937067,0.92135
0.14,0.932394,0.915563
0.15,0.927743,0.909812
0.16,0.923116,0.904097
0.17,0.918512,0.898418
0.18,0.913931,0.892774
0.19,0.909373,0.887166
0.2,0.904837,0.881594
0.21,0.900325,0.876056
0.22,0.895834,0.870553
0.23,0.891366,0.865085
0.24,0.88692,0.859651
0.25,0.882497,0.854251
0.26,0.878095,0.848885
0.27,0.873716,0.843553
0.28,0.869358,0.838254
0.29,0.865022,0.832989
0.3,0.860708,0.827757
0.31,0.856415,0.822557
0.32,0.852144,0.81739
0.33,0.847894,0.812256
0.34,0.843665,0.807154
0.35,0.839457,0.802084
0.36,0.83527,0.797046
0.37,0.831104,0.792039
0.38,0.826959,0.787064
0.39,0.822835,0.78212
0.4,0.818731,0.777207
0.41,0.814647,0.772325
0.42,0.810584,0.767474
0.43,0.806541,0.762653
0.44,0.802519,0.757862
0.45,0.798516,0.753102
0.46,0.794534,0.748371
0.47,0.790571,0.743671
0.48,0.786628,0.738999
0.49,0.782705,0.734357
0.5,0.778801,0.729744
0.51,0.774916,0.725161
0.52,0.771052,0.720605
0.53,0.767206,0.716079
0.54,0.763379,0.711581
0.55,0.759572,0.707111
0.56,0.755784,0.70267
0.57,0.752014,0.698256
0.58,0.748264,0.69387
0.59,0.744532,0.689511
0.6,0.740818,0.68518
0.61,0.737123,0.680876
0.62,0.733447,0.676599
0.63,0.729789,0.672349
0.64,0.726149,0.668126
0.65,0.722527,0.663929
0.66,0.718924,0.659759
0.67,0.715338,0.655614
0.68,0.71177,0.651496
0.69,0.70822,0.647404
0.7,0.704688,0.643337
0.71,0.701173,0.639296
0.72,0.697676,0.63528
0.73,0.694197,0.63129
0.74,0.690734,0.627324
0.75,0.687289,0.623384
0.76,0.683861,0.619468
0.77,0.680451,0.615577
0.78,0.677057,0.61171
0.79,0.67368,0.607867
0.8,0.67032,0.604049
0.81,0.666977,0.600255
0.82,0.66365,0.596484
0.83,0.66034,0.592737
0.84,0.657047,0.589014
0.85,0.65377,0.585314
0.86,0.650509,0.581638
0.87,0.647265,0.577984
0.88,0.644036,0.574353
0.89,0.640824,0.570746
0.9,0.637628,0.56716
0.91,0.634448,0.563598
0.92,0.631284,0.560058
0.93,0.628135,0.55654
0.94,0.625002,0.553044
0.95,0.621885,0.54957
0.96,0.618783,0.546118
0.97,0.615697,0.542687
0.98,0.612626,0.539278
0.99,0.609571,0.535891
1,0.606531,0.532524
