x,y,u_exact,u_approx
0.000000,0.000000,1.000000,0.997578
0.000000,0.033333,0.983471,0.982054
0.000000,0.066667,0.967216,0.966570
0.000000,0.100000,0.951229,0.951157
0.000000,0.133333,0.935507,0.935841
0.000000,0.166667,0.920044,0.920644
0.000000,0.200000,0.904837,0.905588
0.000000,0.233333,0.889882,0.890690
0.000000,0.266667,0.875173,0.875965
0.000000,0.300000,0.860708,0.861426
0.000000,0.333333,0.846482,0.847086
0.000000,0.366667,0.832491,0.832954
0.000000,0.400000,0.818731,0.819038
0.000000,0.433333,0.805198,0.805345
0.000000,0.466667,0.791890,0.791880
0.000000,0.500000,0.778801,0.778647
0.000000,0.533333,0.765928,0.765648
0.000000,0.566667,0.753269,0.752884
0.000000,0.600000,0.740818,0.740355
0.000000,0.633333,0.728574,0.728061
0.000000,0.666667,0.716531,0.715998
0.000000,0.700000,0.704688,0.704166
0.000000,0.733333,0.693041,0.692561
0.000000,0.766667,0.681586,0.681181
0.000000,0.800000,0.670320,0.670025
0.000000,0.833333,0.659241,0.659089
0.000000,0.866667,0.648344,0.648372
0.000000,0.900000,0.637628,0.637873
0.000000,0.933333,0.627089,0.627590
0.000000,0.966667,0.616724,0.617523
0.000000,1.000000,0.606531,0.607673
0.033333,0.000000,0.983471,0.982111
0.033333,0.033333,0.967216,0.966631
0.033333,0.066667,0.951229,0.951195
0.033333,0.100000,0.935507,0.935831
0.033333,0.133333,0.920044,0.920566
0.033333,0.166667,0.904837,0.905423
0.033333,0.200000,0.889882,0.890423
0.033333,0.233333,0.875173,0.875583
0.033333,0.266667,0.860708,0.860919
0.033333,0.300000,0.846482,0.846444
0.033333,0.333333,0.832491,0.832170
0.033333,0.366667,0.818731,0.818108
0.033333,0.400000,0.805198,0.804266
0.033333,0.433333,0.791890,0.790653
0.033333,0.466667,0.778801,0.777274
0.033333,0.500000,0.765928,0.764134
0.033333,0.533333,0.753269,0.751237
0.033333,0.566667,0.740818,0.738586
0.033333,0.600000,0.728574,0.726182
0.033333,0.633333,0.716531,0.714027
0.033333,0.666667,0.704688,0.702119
0.033333,0.700000,0.693041,0.690461
0.033333,0.733333,0.681586,0.679053
0.033333,0.766667,0.670320,0.667893
0.033333,0.800000,0.659241,0.656985
0.033333,0.833333,0.648344,0.646328
0.033333,0.866667,0.637628,0.635925
0.033333,0.900000,0.627089,0.625779
0.033333,0.933333,0.616724,0.615892
0.033333,0.966667,0.606531,0.606269
0.033333,1.000000,0.596506,0.596916
0.066667,0.000000,0.967216,0.966658
0.066667,0.033333,0.951229,0.951231
0.066667,0.066667,0.935507,0.935850
0.066667,0.100000,0.920044,0.920545
0.066667,0.133333,0.904837,0.905341
0.066667,0.166667,0.889882,0.890263
0.066667,0.200000,0.875173,0.875331
0.066667,0.233333,0.860708,0.860562
0.066667,0.266667,0.846482,0.845972
0.066667,0.300000,0.832491,0.831575
0.066667,0.333333,0.818731,0.817383
0.066667,0.366667,0.805198,0.803406
0.066667,0.400000,0.791890,0.789654
0.066667,0.433333,0.778801,0.776137
0.066667,0.466667,0.765928,0.762861
0.066667,0.500000,0.753269,0.749832
0.066667,0.533333,0.740818,0.737054
0.066667,0.566667,0.728574,0.724533
0.066667,0.600000,0.716531,0.712271
0.066667,0.633333,0.704688,0.700271
0.066667,0.666667,0.693041,0.688536
0.066667,0.700000,0.681586,0.677069
0.066667,0.733333,0.670320,0.665871
0.066667,0.766667,0.659241,0.654947
0.066667,0.800000,0.648344,0.644300
0.066667,0.833333,0.637628,0.633935
0.066667,0.866667,0.627089,0.623857
0.066667,0.900000,0.616724,0.614073
0.066667,0.933333,0.606531,0.604592
0.066667,0.966667,0.596506,0.595421
0.066667,1.000000,0.586646,0.586572
0.100000,0.000000,0.951229,0.951254
0.100000,0.033333,0.935507,0.935883
0.100000,0.066667,0.920044,0.920565
0.100000,0.100000,0.904837,0.905326
0.100000,0.133333,0.889882,0.890194
0.100000,0.166667,0.875173,0.875190
0.100000,0.200000,0.860708,0.860336
0.100000,0.233333,0.846482,0.845650
0.100000,0.266667,0.832491,0.831146
