method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,1.5383281763,0.0336826343,3,1
PISR-EMOA/D,Liouville,2,1.8002698560,0.0510450415,2,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,1.5383281763,0.0336826343,3,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,1.5383281763,0.0336826343,3,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,1.8390975890,0.0548158898,1,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
PISR-EMOA/D,Liouville,2,0.0000000000,0.0000000000,9,1
