method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Fisher,1,-1,1.3062241891,0.0000000000,7,3
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,22.2470882698,0.0000000000,3,5
PISR-NSGA-II,Fisher,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Fisher,1,-1,12.8340452766,0.0000000000,6,6
PISR-NSGA-II,Fisher,1,-1,2.1800686922,0.0000000000,4,3
PISR-NSGA-II,Fisher,1,-1,8.3844755582,0.0000000000,9,6
PISR-NSGA-II,Fisher,1,-1,4.2778481405,0.0000000000,7,5
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,4.2778481405,0.0000000000,7,5
PISR-NSGA-II,Fisher,1,-1,8.1598664038,0.0000000000,3,3
PISR-NSGA-II,Fisher,1,-1,8.1598664038,0.0000000000,3,3
PISR-NSGA-II,Fisher,1,-1,1.3062241891,0.0000000000,7,3
PISR-NSGA-II,Fisher,1,-1,22.2470882698,0.0000000000,3,5
PISR-NSGA-II,Fisher,1,-1,22.2470882698,0.0000000000,3,5
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,22.2470882698,0.0000000000,3,5
PISR-NSGA-II,Fisher,1,-1,3.8753994988,0.0000000000,8,5
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,8.3844755582,0.0000000000,9,6
PISR-NSGA-II,Fisher,1,-1,8.3844755582,0.0000000000,9,6
PISR-NSGA-II,Fisher,1,-1,3.8753994988,0.0000000000,8,5
PISR-NSGA-II,Fisher,1,-1,2.1800686922,0.0000000000,4,3
PISR-NSGA-II,Fisher,1,-1,4.2778481405,0.0000000000,7,5
PISR-NSGA-II,Fisher,1,-1,2.1800686922,0.0000000000,4,3
PISR-NSGA-II,Fisher,1,-1,4.2778481405,0.0000000000,7,5
PISR-NSGA-II,Fisher,1,-1,3.8753994988,0.0000000000,8,5
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,22.2470882698,0.0000000000,3,5
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,8.3844755582,0.0000000000,9,6
PISR-NSGA-II,Fisher,1,-1,31.2765880876,0.0000000000,4,6
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,12.8340452766,0.0000000000,6,6
PISR-NSGA-II,Fisher,1,-1,1.3062241891,0.0000000000,7,3
PISR-NSGA-II,Fisher,1,-1,4.2778481405,0.0000000000,7,5
PISR-NSGA-II,Fisher,1,-1,2.1800686922,0.0000000000,4,3
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,12.8340452766,0.0000000000,6,6
PISR-NSGA-II,Fisher,1,-1,8.1598664038,0.0000000000,3,3
PISR-NSGA-II,Fisher,1,-1,2.1800686922,0.0000000000,4,3
PISR-NSGA-II,Fisher,1,-1,1.3062241891,0.0000000000,7,3
PISR-NSGA-II,Fisher,1,-1,22.2470882698,0.0000000000,3,5
PISR-NSGA-II,Fisher,1,-1,4.2778481405,0.0000000000,7,5
PISR-NSGA-II,Fisher,1,-1,1.3062241891,0.0000000000,7,3
PISR-NSGA-II,Fisher,1,-1,3.8753994988,0.0000000000,8,5
PISR-NSGA-II,Fisher,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Fisher,1,-1,12.8340452766,0.0000000000,6,6
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,22.2470882698,0.0000000000,3,5
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,3.8753994988,0.0000000000,8,5
PISR-NSGA-II,Fisher,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Fisher,1,-1,2.1800686922,0.0000000000,4,3
PISR-NSGA-II,Fisher,1,-1,12.8340452766,0.0000000000,6,6
PISR-NSGA-II,Fisher,1,-1,22.2470882698,0.0000000000,3,5
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,3.8753994988,0.0000000000,8,5
PISR-NSGA-II,Fisher,1,-1,12.8340452766,0.0000000000,6,6
PISR-NSGA-II,Fisher,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Fisher,1,-1,4.2778481405,0.0000000000,7,5
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,3.8753994988,0.0000000000,8,5
PISR-NSGA-II,Fisher,1,-1,12.8340452766,0.0000000000,6,6
PISR-NSGA-II,Fisher,1,-1,1.3062241891,0.0000000000,7,3
PISR-NSGA-II,Fisher,1,-1,431.7462113198,0.0000000000,5,7
PISR-NSGA-II,Fisher,1,-1,5.8075680258,0.0000000000,1,1
PISR-NSGA-II,Fisher,1,-1,5.8075680258,0.0000000000,1,1
PISR-NSGA-II,Fisher,1,-1,0.0535409063,0.0000000000,1,16
PISR-NSGA-II,Fisher,1,-1,8.1598664038,0.0000000000,3,3
PISR-NSGA-II,Fisher,1,-1,0.0535409063,0.0000000000,1,16
PISR-NSGA-II,Fisher,1,-1,2.1586357771,0.0000000000,4,2
PISR-NSGA-II,Fisher,1,-1,8.8474701358,0.0000000000,1,15
PISR-NSGA-II,Fisher,1,-1,1069.1248979808,0.0000000000,5,8
PISR-NSGA-II,Fisher,1,-1,7.6763589979,0.0000000000,5,5
PISR-NSGA-II,Fisher,1,-1,10000.0000000000,0.0000000000,1,19
PISR-NSGA-II,Fisher,1,-1,1219.4406596488,0.0000000000,26,13
PISR-NSGA-II,Fisher,1,-1,5.8075680258,0.0000000000,1,1
PISR-NSGA-II,Fisher,1,-1,5.8075680258,0.0000000000,1,1
PISR-NSGA-II,Fisher,1,-1,3289.9601301150,0.0000000000,12,12
PISR-NSGA-II,Fisher,1,-1,0.2301465922,0.0000000000,1,15
PISR-NSGA-II,Fisher,1,-1,8141.9311352971,0.0000000000,8,14
