method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Laplace,1,-1,1.2607864285,0.0000000000,7,3
PISR-NSGA-II,Laplace,1,-1,445.9118523134,0.0000000000,5,7
PISR-NSGA-II,Laplace,1,-1,21.3685296603,0.0000000000,3,5
PISR-NSGA-II,Laplace,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Laplace,1,-1,13.0158350646,0.0000000000,6,6
PISR-NSGA-II,Laplace,1,-1,1.8187950768,0.0000000000,4,2
PISR-NSGA-II,Laplace,1,-1,8.8435596841,0.0000000000,9,6
PISR-NSGA-II,Laplace,1,-1,3.6887401577,0.0000000000,7,5
PISR-NSGA-II,Laplace,1,-1,445.9118523134,0.0000000000,5,7
PISR-NSGA-II,Laplace,1,-1,3.6887401577,0.0000000000,7,5
PISR-NSGA-II,Laplace,1,-1,7.4800790603,0.0000000000,3,3
PISR-NSGA-II,Laplace,1,-1,7.4800790603,0.0000000000,3,3
PISR-NSGA-II,Laplace,1,-1,1.2607864285,0.0000000000,7,3
PISR-NSGA-II,Laplace,1,-1,21.3685296603,0.0000000000,3,5
PISR-NSGA-II,Laplace,1,-1,21.3685296603,0.0000000000,3,5
PISR-NSGA-II,Laplace,1,-1,445.9118523134,0.0000000000,5,7
PISR-NSGA-II,Laplace,1,-1,21.3685296603,0.0000000000,3,5
PISR-NSGA-II,Laplace,1,-1,3.1888039777,0.0000000000,8,5
PISR-NSGA-II,Laplace,1,-1,445.9118523134,0.0000000000,5,7
PISR-NSGA-II,Laplace,1,-1,445.9118523134,0.0000000000,5,7
PISR-NSGA-II,Laplace,1,-1,445.9118523134,0.0000000000,5,7
PISR-NSGA-II,Laplace,1,-1,445.9118523134,0.0000000000,5,7
PISR-NSGA-II,Laplace,1,-1,8.8435596841,0.0000000000,9,6
PISR-NSGA-II,Laplace,1,-1,8.8435596841,0.0000000000,9,6
PISR-NSGA-II,Laplace,1,-1,3.1888039777,0.0000000000,8,5
PISR-NSGA-II,Laplace,1,-1,1.8187950768,0.0000000000,4,2
