x,u_exact,u_approx
0,1,0.761594
0.01,0.99995,0.761556
0.02,0.9998,0.761445
0.03,0.99955,0.761261
0.04,0.999201,0.761008
0.05,0.998751,0.760687
0.06,0.998203,0.7603
0.07,0.997555,0.759851
0.08,0.996809,0.759341
0.09,0.995964,0.758772
0.1,0.995021,0.758146
0.11,0.99398,0.757466
0.12,0.992843,0.756734
0.13,0.991609,0.755952
0.14,0.990279,0.755121
0.15,0.988855,0.754244
0.16,0.987335,0.753323
0.17,0.985722,0.75236
0.18,0.984016,0.751356
0.19,0.982218,0.750314
0.2,0.980328,0.749234
0.21,0.978348,0.748119
0.22,0.976279,0.746971
0.23,0.974121,0.74579
0.24,0.971875,0.744578
0.25,0.969544,0.743337
0.26,0.967127,0.742067
0.27,0.964625,0.74077
0.28,0.962041,0.739447
0.29,0.959375,0.7381
0.3,0.956628,0.736728
0.31,0.953802,0.735333
0.32,0.950897,0.733916
0.33,0.947916,0.732477
0.34,0.944859,0.731017
0.35,0.941728,0.729536
0.36,0.938524,0.728036
0.37,0.935249,0.726516
0.38,0.931903,0.724976
0.39,0.928489,0.723418
0.4,0.925007,0.721841
0.41,0.92146,0.720246
0.42,0.917849,0.718632
0.43,0.914174,0.717
0.44,0.910439,0.71535
0.45,0.906643,0.713681
0.46,0.902789,0.711994
0.47,0.898878,0.710289
0.48,0.894912,0.708564
0.49,0.890891,0.706821
0.5,0.886819,0.705059
0.51,0.882696,0.703278
0.52,0.878523,0.701477
0.53,0.874303,0.699656
0.54,0.870036,0.697815
0.55,0.865725,0.695954
0.56,0.86137,0.694072
0.57,0.856974,0.692168
0.58,0.852538,0.690243
0.59,0.848063,0.688296
0.6,0.843551,0.686327
0.61,0.839003,0.684335
0.62,0.834421,0.682321
0.63,0.829806,0.680282
0.64,0.82516,0.67822
0.65,0.820484,0.676134
0.66,0.815779,0.674024
0.67,0.811048,0.671889
0.68,0.806291,0.669728
0.69,0.80151,0.667542
0.7,0.796705,0.66533
0.71,0.79188,0.663093
0.72,0.787034,0.660829
0.73,0.78217,0.658538
0.74,0.777288,0.656221
0.75,0.77239,0.653877
0.76,0.767477,0.651505
0.77,0.76255,0.649106
0.78,0.757611,0.64668
0.79,0.75266,0.644226
0.8,0.7477,0.641745
0.81,0.742731,0.639235
0.82,0.737754,0.636698
0.83,0.73277,0.634133
0.84,0.727782,0.63154
0.85,0.722788,0.628919
0.86,0.717792,0.626271
0.87,0.712793,0.623594
0.88,0.707794,0.620891
0.89,0.702794,0.618159
0.9,0.697795,0.615401
0.91,0.692797,0.612615
0.92,0.687803,0.609802
0.93,0.682812,0.606963
0.94,0.677826,0.604097
0.95,0.672845,0.601206
0.96,0.667871,0.598288
0.97,0.662904,0.595345
0.98,0.657945,0.592376
0.99,0.652995,0.589383
1,0.648054,0.586365
